date,rate
2018-12-31,138.65
2019-01-02,138.694483
2019-01-03,138.718621
2019-01-04,138.723103
2019-01-07,138.708621
2019-01-08,138.722414
2019-01-09,138.714828
2019-01-10,138.716552
2019-01-11,138.722414
2019-01-14,138.728966
2019-01-15,138.745517
2019-01-16,138.751035
2019-01-17,138.765517
2019-01-18,138.733103
2019-01-21,138.757586
2019-01-22,138.754138
2019-01-23,138.754828
2019-01-24,138.755862
2019-01-25,138.755517
2019-01-28,138.622414
2019-01-29,138.63069
2019-01-30,138.508621
2019-01-31,138.306897
2019-02-01,138.102069
2019-02-04,138.151035
2019-02-06,138.121379
2019-02-07,138.161379
2019-02-08,138.136897
2019-02-11,138.606207
2019-02-12,138.725517
2019-02-13,138.746552
2019-02-14,138.748276
2019-02-15,138.746552
2019-02-18,138.475862
2019-02-19,138.690345
2019-02-20,138.743793
2019-02-21,138.558621
2019-02-22,138.502414
2019-02-25,138.462069
2019-02-26,138.59
2019-02-27,138.884483
2019-02-28,138.930345
2019-03-01,138.465862
2019-03-04,138.67069
2019-03-05,138.586552
2019-03-06,138.596207
2019-03-07,138.602759
2019-03-08,138.525172
2019-03-11,138.503793
2019-03-12,138.667241
2019-03-13,138.659655
2019-03-14,138.854483
2019-03-15,139.036897
2019-03-18,139.166897
2019-03-19,139.194828
2019-03-20,139.213103
2019-03-21,139.267241
2019-03-22,139.637586
2019-03-25,140.104828
2019-03-26,140.137414
2019-03-27,140.087586
2019-03-28,140.134483
2019-03-29,140.38
2019-04-01,140.639655
2019-04-02,140.808621
2019-04-03,141.045517
2019-04-04,141.151379
2019-04-05,141.146207
2019-04-08,141.108621
2019-04-09,141.188276
2019-04-10,141.218966
2019-04-11,141.214138
2019-04-12,141.225517
2019-04-15,141.235862
2019-04-16,141.233448
2019-04-17,141.23931
2019-04-18,141.25
2019-04-19,141.177931
2019-04-22,141.233103
2019-04-23,141.243448
2019-04-24,141.258966
2019-04-25,141.238276
2019-04-26,141.246207
2019-04-29,141.262759
2019-04-30,141.254138
2019-05-02,141.212069
2019-05-03,141.213448
2019-05-06,141.191724
2019-05-08,141.199655
2019-05-09,141.114138
2019-05-10,141.241379
2019-05-13,141.244828
2019-05-14,141.243103
2019-05-15,141.239655
2019-05-16,144.088276
2019-05-17,146.77931
2019-05-20,147.72931
2019-05-21,150.094828
2019-05-22,151.363793
2019-05-23,151.511035
2019-05-24,151.226552
2019-05-27,149.721379
2019-05-28,149.73
2019-05-29,149.628966
2019-05-30,149.004483
2019-05-31,147.75931
2019-06-03,147.824483
2019-06-10,149.223448
2019-06-11,150.60069
2019-06-12,151.142414
2019-06-13,151.688276
2019-06-14,153.336207
2019-06-17,156.230345
2019-06-18,156.393793
2019-06-19,156.573103
2019-06-20,156.591379
2019-06-21,156.607931
2019-06-24,156.654828
2019-06-25,156.687931
2019-06-26,159.393793
2019-06-27,163.025172
2019-06-28,162.011724
2019-07-02,158.437586
2019-07-03,157.708621
2019-07-04,156.49069
2019-07-05,156.437586
2019-07-08,156.737931
2019-07-09,157.067241
2019-07-10,157.300345
2019-07-11,157.776552
2019-07-12,158.218276
2019-07-15,158.825517
2019-07-16,159.841552
2019-07-17,159.357586
2019-07-18,159.506897
2019-07-19,159.646897
2019-07-22,159.973103
2019-07-23,160.083448
2019-07-24,160.307241
2019-07-25,160.362069
2019-07-26,160.213448
2019-07-29,160.223448
2019-07-30,160.124138
2019-07-31,159.613103
2019-08-01,159.307931
2019-08-02,159.181035
2019-08-05,158.684138
2019-08-06,158.492069
2019-08-07,158.26069
2019-08-08,157.827931
2019-08-09,158.094138
2019-08-16,158.555172
2019-08-17,158.475862
2019-08-19,158.517931
2019-08-20,158.477586
2019-08-21,158.481379
2019-08-22,158.133793
2019-08-23,157.344483
2019-08-26,157.297241
2019-08-27,157.13069
2019-08-28,157.223103
2019-08-29,157.124138
2019-08-30,156.854138
2019-09-02,156.447241
2019-09-03,156.462759
2019-09-04,156.362069
2019-09-05,156.256897
2019-09-06,156.378276
2019-09-11,156.23069
2019-09-12,156.134483
2019-09-13,155.996552
2019-09-16,156.11069
2019-09-17,156.143793
2019-09-18,156.197931
2019-09-19,156.167931
2019-09-20,156.075517
2019-09-23,156.058621
2019-09-24,156.016552
2019-09-25,156.012069
2019-09-26,156.066552
2019-09-27,156.061379
2019-09-30,156.171724
2019-10-01,156.180345
2019-10-02,156.197586
2019-10-03,156.188276
2019-10-04,156.227586
2019-10-07,156.306552
2019-10-08,156.298276
2019-10-09,156.275862
2019-10-10,156.104828
2019-10-11,155.972069
2019-10-14,155.908621
2019-10-15,155.926552
2019-10-16,155.911035
2019-10-17,155.860345
2019-10-18,155.82
2019-10-21,155.825862
2019-10-22,155.768276
2019-10-23,155.781379
2019-10-24,155.784828
2019-10-25,155.762759
2019-10-28,155.741724
2019-10-29,155.715862
2019-10-30,155.657586
2019-10-31,155.612759
2019-11-01,155.611379
2019-11-04,155.552759
2019-11-05,155.52931
2019-11-06,155.546552
2019-11-07,155.526552
2019-11-08,155.456207
2019-11-11,155.494879
2019-11-12,155.375517
2019-11-13,155.34069
2019-11-14,155.343793
2019-11-15,155.34
2019-11-18,155.312069
2019-11-19,155.276207
2019-11-20,155.255862
2019-11-21,155.237931
2019-11-22,155.244483
2019-11-25,155.317586
2019-11-26,155.251035
2019-11-27,155.246552
2019-11-28,155.242414
2019-11-29,155.214828
2019-12-02,155.195333
2019-12-03,155.182667
2019-12-04,155.109833
2019-12-05,155.0745
2019-12-06,155.045167
2019-12-09,154.914
2019-12-10,154.867
2019-12-11,154.872333
2019-12-12,154.899667
2019-12-13,154.866667
2019-12-16,154.859333
2019-12-17,154.892333
2019-12-18,154.811667
2019-12-19,154.786
2019-12-20,154.783165
2019-12-23,154.817167
2019-12-24,154.811233
2019-12-26,154.809
2019-12-27,155.066833
2019-12-30,154.847667
2019-12-31,154.808667
2020-01-02,154.775172
2020-01-03,154.822759
2020-01-06,154.834828
2020-01-07,154.897931
2020-01-08,154.955517
2020-01-09,154.841379
2020-01-10,154.794483
2020-01-13,154.802069
2020-01-14,154.781035
2020-01-15,154.744138
2020-01-16,154.709655
2020-01-17,154.552069
2020-01-20,154.50069
2020-01-21,154.573793
2020-01-22,154.491724
2020-01-23,154.484138
2020-01-24,154.535172
2020-01-27,154.487931
2020-01-28,154.484828
2020-01-29,154.494138
2020-01-30,154.474138
2020-01-31,154.397586
2020-02-03,154.433103
2020-02-04,154.412069
2020-02-06,154.317586
2020-02-07,154.413103
2020-02-10,154.356897
2020-02-11,154.391379
2020-02-12,154.334138
2020-02-13,154.305517
2020-02-14,154.277931
2020-02-17,154.192414
2020-02-18,154.216552
2020-02-19,154.211724
2020-02-20,154.169138
2020-02-21,154.178276
2020-02-24,154.167241
2020-02-25,154.16931
2020-02-26,154.158276
2020-02-27,154.165862
2020-02-28,154.133276
2020-03-02,154.217586
2020-03-03,154.238966
2020-03-04,154.173449
2020-03-05,154.158277
2020-03-06,154.304828
2020-03-09,155.071379
2020-03-10,156.987931
2020-03-11,157.634483
2020-03-12,158.395862
2020-03-13,158.472069
2020-03-16,157.59
2020-03-17,158.33069
2020-03-18,158.343793
2020-03-19,158.412586
2020-03-20,158.293579
2020-03-24,158.400131
2020-03-25,159.807931
2020-03-26,163.022414
2020-03-27,166.351724
2020-03-30,165.26
2020-03-31,165.923103
2020-04-01,166.101035
2020-04-02,166.292414
2020-04-03,166.457586
2020-04-06,166.535517
2020-04-07,166.806207
2020-04-08,167.39931
2020-04-09,167.167241
2020-04-10,166.64
2020-04-13,166.416552
2020-04-14,166.544138
2020-04-15,166.54
2020-04-16,166.636207
2020-04-17,166.437241
2020-04-20,162.913103
2020-04-21,162.172414
2020-04-22,160.03069
2020-04-23,159.763793
2020-04-24,160.069655
2020-04-28,160.351724
2020-04-29,161.065517
2020-04-30,160.842414
2020-05-04,159.0975
2020-05-05,159.443571
2020-05-06,159.471786
2020-05-07,159.837143
2020-05-08,159.707143
2020-05-11,159.604643
2020-05-12,159.805714
2020-05-13,160.2375
2020-05-14,160.538929
2020-05-15,159.721786
2020-05-18,160.02567
2020-05-19,160.177857
2020-05-20,160.293571
2020-05-21,160.3775
2020-05-28,160.603214
2020-05-29,162.283571
2020-06-01,163.050594
2020-06-02,164.388525
2020-06-03,164.431974
2020-06-04,163.69956
2020-06-05,163.284043
2020-06-08,163.271284
2020-06-09,163.62979
2020-06-10,164.115307
2020-06-11,164.184387
2020-06-12,164.251859
2020-06-15,164.225307
2020-06-16,164.547721
2020-06-17,164.815652
2020-06-18,165.365307
2020-06-19,166.131169
2020-06-22,166.175652
2020-06-23,166.401514
2020-06-24,167.270135
2020-06-25,166.794962
2020-06-26,167.052203
2020-06-29,167.465652
2020-06-30,167.732439
2020-07-02,167.208276
2020-07-03,166.632414
2020-07-06,166.122759
2020-07-07,166.396897
2020-07-08,166.633793
2020-07-09,166.480345
2020-07-10,166.184962
2020-07-13,166.313448
2020-07-14,166.377586
2020-07-15,166.407931
2020-07-16,166.533103
2020-07-17,166.85
2020-07-20,167.263103
2020-07-21,167.847241
2020-07-22,167.563103
2020-07-23,167.401379
2020-07-24,167.36
2020-07-27,166.906207
2020-07-28,166.432069
2020-07-29,166.187931
2020-07-30,166.910345
2020-08-03,166.698966
2020-08-04,167.262069
2020-08-05,167.653448
2020-08-06,168.063793
2020-08-07,167.72931
2020-08-10,167.836552
2020-08-11,168.070345
2020-08-12,168.0
2020-08-13,167.878966
2020-08-17,167.886552
2020-08-18,167.873793
2020-08-19,167.97069
2020-08-20,168.016552
2020-08-21,168.041724
2020-08-24,168.108966
2020-08-25,168.16069
2020-08-26,168.208621
2020-08-27,167.387241
2020-08-28,166.893103
2020-08-31,166.386552
2020-09-01,165.564828
2020-09-02,165.393448
2020-09-03,165.573103
2020-09-04,165.694828
2020-09-07,165.603103
2020-09-08,165.895517
2020-09-09,166.175517
2020-09-10,166.254483
2020-09-11,166.029655
2020-09-14,165.827241
2020-09-15,166.022069
2020-09-16,166.133103
2020-09-17,166.208621
2020-09-18,165.701035
2020-09-21,165.758621
2020-09-22,166.085862
2020-09-23,166.008621
2020-09-24,165.933793
2020-09-25,165.637241
2020-09-28,165.95
2020-09-29,165.706552
2020-09-30,165.632759
2020-10-01,165.218966
2020-10-02,164.646207
2020-10-05,164.371379
2020-10-06,164.03931
2020-10-07,163.903103
