effective_date,policy_rate
2018-01-01,6.00
2018-01-29,6.00
2018-05-28,6.50
2018-07-16,7.50
2018-09-28,8.50
2018-11-30,10.00
2019-01-31,10.25
2019-03-29,10.75
2019-05-21,12.25
2019-07-16,13.25
2020-03-17,12.50
2020-03-24,11.00
2020-04-16,9.00
2020-05-15,8.00
2020-06-25,7.00
2021-09-20,7.25
2021-11-19,8.75
2021-12-14,9.75
2022-04-07,12.25
2022-05-23,13.75
2022-07-07,15.00
2022-11-25,16.00
2023-01-23,17.00
2023-03-02,20.00
2023-04-04,21.00
2023-06-26,22.00
2024-06-10,20.50
2024-07-29,19.50
2024-09-12,17.50
2024-11-04,15.00
2024-12-16,13.00
2025-01-27,12.50
2025-03-07,12.00
2025-12-16,10.50
2026-04-27,11.50
