symbol,date,open,high,low,close,volume,issues
ABL,2020-07-03,0.0,75.0,75.0,75.8,125000.0,open<=0
ABL,2022-12-12,0.0,63.75,63.75,63.75,500.0,open<=0
ABOT,2022-04-07,0.0,686.0,686.0,686.0,50.0,open<=0
ABOT,2024-02-09,0.0,0.0,0.0,436.0,500.0,open<=0; high<=0; low<=0
AHCL,2020-04-24,0.0,26.3,26.3,27.5,4500.0,open<=0
AHCL,2020-10-14,0.0,38.11,38.11,39.0,500.0,open<=0
AHCL,2021-04-01,0.0,35.76,35.76,35.76,5500.0,open<=0
AHCL,2021-10-25,0.0,0.0,0.0,35.38,0.0,open<=0; high<=0; low<=0
AHCL,2021-12-27,0.0,36.56,36.56,36.56,1000.0,open<=0
AHCL,2022-04-22,0.0,38.49,38.49,38.49,10000.0,open<=0
AHCL,2023-01-04,0.0,34.33,34.33,34.33,500.0,open<=0
AHCL,2023-09-14,0.0,0.0,0.0,26.8,500.0,open<=0; high<=0; low<=0
ATLH,2020-01-23,0.0,366.5,366.5,380.0,200.0,open<=0
ATLH,2020-03-30,0.0,350.0,350.0,355.0,200.0,open<=0
ATLH,2020-07-17,0.0,395.0,395.0,395.0,100.0,open<=0
ATLH,2021-03-18,0.0,449.99,449.99,449.99,100.0,open<=0
ATLH,2021-11-19,0.0,437.67,437.67,437.67,2600.0,open<=0
ATLH,2021-12-06,0.0,429.5,429.5,429.5,2400.0,open<=0
ATLH,2022-01-26,0.0,400.0,400.0,400.0,100.0,open<=0
ATLH,2022-04-04,0.0,393.0,393.0,393.0,100.0,open<=0
ATLH,2022-07-27,0.0,355.0,355.0,355.0,100.0,open<=0
ATLH,2022-08-26,0.0,342.0,342.0,342.0,900.0,open<=0
ATLH,2022-09-02,0.0,332.7,332.7,332.7,1100.0,open<=0
ATLH,2022-09-29,0.0,337.86,337.86,337.86,600.0,open<=0
ATLH,2022-10-27,0.0,339.99,339.99,339.99,1000.0,open<=0
ATLH,2022-10-31,0.0,335.0,335.0,335.0,600.0,open<=0
ATLH,2022-11-07,0.0,329.0,329.0,329.0,5000.0,open<=0
ATLH,2022-11-10,0.0,338.99,338.99,338.99,5800.0,open<=0
ATLH,2022-11-11,0.0,338.99,338.99,338.99,1000.0,open<=0
ATLH,2022-12-27,0.0,299.0,299.0,299.0,200.0,open<=0
