date,open,high,low,close,volume,is_anomaly
2021-09-13,69.0,69.5,69.0,69.5,33000,False
2021-09-14,69.6,70.45,69.5,69.68,40000,False
2021-09-15,69.88,70.95,69.25,69.25,9500,False
2021-09-16,70.43,70.5,68.25,69.38,37000,False
2021-09-17,70.1,70.2,69.5,69.5,6000,False
2021-09-20,70.7,71.0,69.26,69.61,68500,False
2021-09-21,69.95,69.95,69.61,69.61,6500,False
2021-09-22,69.2,69.2,68.0,68.88,143000,False
2021-09-23,69.94,69.94,68.35,68.47,17000,False
2021-09-24,69.99,70.0,67.65,67.98,22000,False
2021-09-27,68.5,71.99,68.5,69.01,36000,False
2021-09-28,68.02,70.0,68.02,69.97,97500,False
2021-09-29,69.5,69.5,68.0,68.18,15000,False
2021-09-30,69.87,69.88,67.75,68.0,116500,False
2021-10-01,69.19,69.59,67.5,68.06,24000,False
2021-10-04,67.51,68.75,67.51,68.67,18500,False
2021-10-05,68.25,68.25,68.2,68.23,5000,False
2021-10-06,68.88,68.9,68.36,68.37,50500,False
2021-10-07,68.5,68.5,68.15,68.15,34500,False
2021-10-08,68.51,68.8,68.0,68.5,219000,False
2021-10-11,68.48,70.8,68.48,70.28,1320500,False
2021-10-12,70.1,75.55,70.0,75.55,7750000,False
2021-10-13,81.0,81.0,77.9,79.56,5842000,False
2021-10-14,77.11,80.89,77.11,79.45,1474000,False
2021-10-15,78.1,79.0,77.5,78.15,22500,False
2021-10-18,78.0,79.01,76.5,77.76,1161000,False
2021-10-20,77.76,79.84,77.76,79.01,219500,False
2021-10-21,79.5,80.25,78.8,79.5,263500,False
2021-10-22,79.0,79.0,78.5,78.78,9000,False
2021-10-25,78.0,78.2,78.0,78.0,57500,False
2021-10-26,78.0,79.8,78.0,78.67,168500,False
2021-10-27,79.16,79.45,79.0,79.0,195000,False
2021-10-28,79.35,80.0,79.0,79.2,1104000,False
2021-10-29,79.0,79.4,79.0,79.0,42500,False
2021-11-01,79.0,80.49,79.0,79.99,131500,False
2021-11-02,79.01,79.89,79.0,79.0,386500,False
2021-11-03,80.5,80.5,78.54,78.54,31500,False
2021-11-04,78.6,78.6,77.01,77.18,291500,False
2021-11-05,77.5,78.97,77.5,78.67,288000,False
2021-11-08,78.18,78.18,76.05,77.32,7500,False
2021-11-09,76.02,77.0,76.02,76.8,7000,False
2021-11-11,76.81,79.0,76.8,78.25,312000,False
2021-11-12,78.25,79.99,78.24,78.82,33500,False
2021-11-15,77.65,79.0,77.65,77.91,143000,False
2021-11-16,79.49,79.49,78.0,78.53,652000,False
2021-11-17,78.55,79.02,78.01,79.0,2626000,False
2021-11-18,79.5,79.85,78.7,79.0,302000,False
2021-11-19,79.49,79.6,78.92,79.0,793500,False
2021-11-22,79.95,79.95,78.01,78.46,54000,False
2021-11-23,78.9,79.0,77.98,78.0,307000,False
2021-11-24,77.51,78.99,77.5,78.25,40000,False
2021-11-25,78.5,78.5,76.2,76.2,10000,False
2021-11-26,77.4,79.99,77.0,78.59,88500,False
2021-11-29,78.02,79.0,78.0,78.63,125000,False
2021-11-30,79.49,79.49,77.02,77.92,43500,False
2021-12-01,78.5,78.99,77.15,77.51,44000,False
2021-12-02,77.99,77.99,75.0,75.33,22500,False
2021-12-03,77.73,80.0,76.0,78.24,97000,False
2021-12-06,78.01,79.0,76.9,76.97,55500,False
2021-12-07,76.63,77.4,74.0,77.3,833000,False
2021-12-08,78.0,78.0,76.85,77.43,56000,False
2021-12-09,77.0,77.0,75.75,76.7,33500,False
2021-12-10,76.0,76.99,76.0,76.94,36000,False
2021-12-14,77.0,77.0,73.05,74.1,689000,False
2021-12-15,75.29,75.3,73.9,73.99,151000,False
2021-12-16,73.8,77.98,73.27,75.61,494500,False
2021-12-17,74.6,76.5,74.5,75.87,26000,False
2021-12-20,75.87,78.0,75.8,77.08,1872000,False
2021-12-21,77.01,78.5,76.5,76.68,111500,False
2021-12-22,77.9,79.0,77.0,77.5,3161000,False
2021-12-23,78.4,78.74,77.5,77.6,27500,False
2021-12-24,77.65,78.68,77.55,78.05,41500,False
2021-12-27,78.5,79.15,78.15,78.27,54000,False
2021-12-28,78.0,80.98,77.9,80.22,1267000,False
2021-12-29,80.01,80.99,80.0,80.4,82000,False
2021-12-30,80.99,82.2,80.51,82.2,2825500,False
2021-12-31,82.0,83.5,82.0,82.27,172500,False
2022-01-03,82.85,82.85,82.01,82.26,83500,False
2022-01-04,82.0,84.5,80.75,82.93,59000,False
2022-01-05,82.7,84.49,82.7,83.36,85500,False
2022-01-06,83.52,84.8,83.1,84.25,25000,False
2022-01-07,85.0,89.5,85.0,86.24,57500,False
2022-01-10,87.0,88.4,85.11,86.94,48000,False
2022-01-11,86.0,87.75,85.99,87.01,34500,False
2022-01-12,87.99,90.16,87.99,88.16,143500,False
2022-01-13,88.75,89.0,87.3,87.77,196000,False
2022-01-14,88.95,88.95,87.26,87.76,2500,False
2022-01-17,88.49,88.5,86.5,86.85,80500,False
2022-01-18,86.5,89.5,85.51,85.67,52500,False
2022-01-19,85.0,85.01,84.7,84.7,7000,False
2022-01-20,85.48,85.48,84.98,85.0,3500,False
2022-01-21,85.02,89.89,85.0,88.82,49000,False
2022-01-24,88.35,88.35,87.3,87.3,26500,False
2022-01-25,85.11,86.4,85.0,86.4,3000,False
2022-01-26,86.4,86.4,85.0,85.0,2500,False
2022-01-27,88.5,89.89,88.01,89.0,705500,False
2022-01-28,90.0,90.0,89.0,89.0,148000,False
2022-01-31,89.98,89.99,89.0,89.11,56500,False
2022-02-01,89.21,91.8,89.21,90.97,288000,False
2022-02-02,91.99,91.99,91.0,91.43,7500,False
2022-02-03,91.95,91.95,90.51,90.99,48500,False
2022-02-04,90.1,91.75,90.1,90.5,62000,False
2022-02-07,90.0,90.5,89.15,89.38,15000,False
2022-02-08,89.99,90.6,89.1,89.39,34500,False
2022-02-09,90.9,90.9,89.0,89.0,29500,False
2022-02-10,88.5,88.75,86.0,86.58,37500,False
2022-02-11,86.61,88.0,86.52,87.15,181000,False
2022-02-14,87.0,87.0,87.0,87.0,1500,False
2022-02-15,87.99,90.8,87.11,89.93,90500,False
2022-02-17,85.51,89.45,85.1,85.99,262500,False
2022-02-18,86.11,87.75,85.99,87.09,132000,False
2022-02-21,86.51,87.49,86.4,86.5,39000,False
2022-02-22,86.56,87.0,86.5,86.63,170000,False
2022-02-23,86.51,88.4,86.5,86.5,27000,False
2022-02-24,86.5,86.5,86.5,86.5,171000,False
2022-02-25,87.45,88.97,86.5,86.5,23000,False
2022-02-28,86.0,86.0,84.99,85.5,27000,False
2022-03-01,86.0,86.0,86.0,86.0,2000,False
2022-03-02,85.9,86.0,85.9,86.0,16000,False
2022-03-03,86.0,86.0,86.0,86.0,2000,False
2022-03-04,86.0,86.07,86.0,86.0,21000,False
2022-03-07,86.0,87.0,86.0,86.0,95000,False
2022-03-08,86.15,87.46,86.0,86.0,120500,False
2022-03-09,86.12,86.5,86.0,86.0,140500,False
2022-03-10,87.0,87.0,86.0,86.0,12500,False
2022-03-11,86.03,87.0,86.03,86.9,12000,False
2022-03-14,86.99,87.7,86.5,87.5,32000,False
2022-03-15,86.5,86.99,84.01,85.5,612500,False
2022-03-16,85.01,85.25,84.9,85.15,179000,False
2022-03-17,85.06,85.06,85.0,85.01,5000,False
2022-03-18,85.0,85.01,85.0,85.0,160000,False
2022-03-21,85.98,85.98,85.0,85.0,3000,False
2022-03-22,85.0,85.02,84.0,84.99,140500,False
2022-03-24,84.0,84.98,84.0,84.98,10500,False
2022-03-25,85.0,85.0,85.0,85.0,3500,False
2022-03-28,85.0,85.0,85.0,85.0,100000,False
2022-03-29,84.0,84.0,83.0,83.11,22500,False
2022-03-30,83.5,83.51,83.5,83.51,10000,False
2022-03-31,83.5,88.0,83.5,86.95,12000,False
2022-04-01,84.61,86.89,83.55,83.82,12500,False
2022-04-04,83.82,83.82,83.5,83.5,3000,False
2022-04-05,84.0,84.0,84.0,84.0,5000,False
2022-04-06,84.0,84.0,84.0,84.0,500,False
2022-04-07,84.26,84.26,84.0,84.06,12000,False
2022-04-08,85.5,86.0,85.5,85.75,5000,False
2022-04-11,87.5,87.5,85.0,85.6,31000,False
2022-04-13,85.0,85.0,85.0,85.0,7000,False
2022-04-14,85.0,85.1,84.99,85.0,26500,False
2022-04-15,85.0,85.0,85.0,85.0,10000,False
2022-04-18,85.0,85.0,84.02,84.02,83500,False
2022-04-19,84.0,84.0,83.0,83.0,25000,False
2022-04-20,84.0,84.0,81.01,81.13,1500,False
2022-04-21,82.5,83.6,81.13,82.19,41500,False
2022-04-22,82.5,82.99,82.01,82.01,4000,False
2022-04-25,82.5,82.99,82.5,82.67,4000,False
2022-04-26,82.67,85.0,82.67,84.31,29500,False
2022-04-28,81.01,82.31,76.14,79.8,105000,False
2022-05-09,80.0,80.1,78.0,78.0,53500,False
2022-05-10,78.0,78.0,77.1,77.59,12500,False
2022-05-11,76.51,76.51,76.51,76.51,1000,False
2022-05-12,76.9,77.0,75.01,75.81,239500,False
2022-05-13,75.02,76.02,75.02,76.0,3000,False
2022-05-16,75.99,76.0,75.99,76.0,3000,False
2022-05-17,79.0,79.5,78.0,79.5,3000,False
2022-05-20,79.5,79.5,78.0,78.0,2500,False
2022-05-24,77.01,77.01,77.0,77.0,2000,False
2022-05-25,76.05,76.05,75.5,75.5,15000,False
2022-05-26,75.5,76.0,70.4,70.73,400500,False
2022-05-27,71.0,72.0,70.65,70.95,130000,False
2022-05-30,71.0,71.89,71.0,71.26,12500,False
2022-05-31,71.79,71.8,71.1,71.11,11000,False
2022-06-01,71.6,73.15,71.6,73.0,28500,False
