date,open,high,low,close,volume,is_anomaly
2021-09-13,790.0,800.5,788.0,790.38,108300,False
2021-09-14,792.0,797.0,775.0,780.99,6200,False
2021-09-15,780.0,780.0,765.0,769.33,200,False
2021-09-16,779.9,779.9,767.9,768.13,5500,False
2021-09-17,765.25,769.5,755.0,761.22,17850,False
2021-09-20,760.0,768.0,758.0,762.37,8050,False
2021-09-21,760.0,760.0,745.0,753.15,12600,False
2021-09-22,749.0,752.99,735.0,741.46,84200,False
2021-09-23,749.99,797.0,745.0,788.72,13950,False
2021-09-24,775.0,790.0,765.0,780.59,30300,False
2021-09-27,779.0,780.0,722.05,755.67,29600,False
2021-09-28,760.0,786.0,760.0,781.83,10050,False
2021-09-29,766.0,776.97,760.0,770.34,4150,False
2021-09-30,770.0,777.0,770.0,772.86,19450,False
2021-10-01,770.0,775.0,760.02,775.0,31650,False
2021-10-04,778.99,780.0,770.0,779.0,20350,False
2021-10-05,777.77,783.0,770.0,771.11,8850,False
2021-10-06,761.01,779.91,761.01,776.35,5650,False
2021-10-07,770.0,779.0,770.0,774.79,7450,False
2021-10-08,774.98,777.95,760.5,772.91,1850,False
2021-10-11,760.15,760.15,758.0,758.0,2050,False
2021-10-12,750.01,780.0,750.0,777.96,11150,False
2021-10-13,765.0,779.0,762.0,777.51,11800,False
2021-10-14,778.8,778.8,764.0,772.94,8700,False
2021-10-15,770.0,780.0,770.0,780.0,1200,False
2021-10-18,779.9,779.92,779.9,779.91,550,False
2021-10-20,775.0,780.0,765.0,774.32,93600,False
2021-10-21,775.0,777.5,770.1,776.39,41650,False
2021-10-22,765.02,774.99,765.02,770.0,700,False
2021-10-25,768.0,768.0,768.0,768.0,250,False
2021-10-27,770.0,770.0,711.0,725.55,51750,False
2021-10-28,730.34,765.0,730.34,752.49,26250,False
2021-10-29,747.0,768.0,747.0,762.17,22800,False
2021-11-01,762.0,769.5,760.0,768.82,24600,False
2021-11-02,760.52,766.14,759.99,764.75,7750,False
2021-11-03,764.75,764.9,764.75,764.9,500,False
2021-11-04,755.1,764.9,752.0,753.38,11300,False
2021-11-05,760.0,769.0,752.0,765.28,11550,False
2021-11-08,757.0,765.0,757.0,764.62,1100,False
2021-11-09,769.0,769.0,760.0,760.0,2050,False
2021-11-10,769.9,769.9,755.0,759.95,9700,False
2021-11-11,759.95,770.0,755.0,765.33,9450,False
2021-11-12,760.15,760.15,749.5,749.93,87100,False
2021-11-15,763.9,763.9,745.0,754.07,1550,False
2021-11-16,768.0,768.0,741.0,759.51,10850,False
2021-11-17,759.99,759.99,746.0,747.67,550,False
2021-11-18,750.0,760.0,747.67,759.41,1650,False
2021-11-19,760.0,763.5,760.0,762.6,14450,False
2021-11-22,759.99,759.99,759.99,759.99,100,False
2021-11-23,759.97,764.0,759.97,762.19,2000,False
2021-11-24,743.1,755.0,743.1,754.99,5050,False
2021-11-25,742.0,742.01,730.0,733.0,13650,False
2021-11-26,739.0,739.0,732.0,737.6,10200,False
2021-11-29,737.6,738.0,730.08,737.99,1550,False
2021-11-30,740.0,759.85,739.89,749.15,5350,False
2021-12-01,750.0,750.0,737.01,747.28,4700,False
2021-12-02,732.01,732.51,700.0,715.41,21600,False
2021-12-03,710.0,715.41,690.0,705.79,20000,False
2021-12-06,700.0,714.98,700.0,709.09,1600,False
2021-12-07,685.15,755.0,685.15,713.52,59750,False
2021-12-08,710.1,720.0,699.99,700.0,9400,False
2021-12-09,695.2,696.0,690.0,690.0,850,False
2021-12-10,683.0,690.0,675.0,690.0,7800,False
2021-12-13,689.9,694.0,689.9,691.7,1050,False
2021-12-14,708.9,708.9,681.01,696.73,19950,False
2021-12-15,700.0,719.99,699.0,716.23,96150,False
2021-12-16,707.0,714.0,700.0,701.41,13450,False
2021-12-17,701.41,711.0,690.0,705.4,11400,False
2021-12-20,709.0,713.0,705.0,713.0,1500,False
2021-12-21,710.0,718.0,705.0,713.92,10350,False
2021-12-22,710.0,717.99,710.0,716.25,1850,False
2021-12-23,720.0,720.0,707.0,718.95,2450,False
2021-12-24,720.0,762.0,720.0,751.65,5650,False
2021-12-27,745.0,745.0,740.0,740.0,2500,False
2021-12-28,745.0,745.0,735.3,735.3,250,False
2021-12-29,735.0,742.0,730.0,737.45,20250,False
2021-12-30,730.1,734.99,716.1,727.14,39100,False
2021-12-31,719.98,724.0,705.01,717.51,50600,False
2022-01-03,718.5,729.99,700.01,723.36,10500,False
2022-01-04,715.0,764.0,715.0,745.64,27200,False
2022-01-05,746.0,755.0,741.0,750.51,3150,False
2022-01-06,745.0,753.0,731.11,745.34,12200,False
2022-01-07,740.0,750.0,728.0,739.95,12400,False
2022-01-10,740.0,753.0,740.0,751.2,5750,False
2022-01-11,759.87,759.87,741.0,752.22,8850,False
2022-01-12,762.0,762.0,742.2,752.69,8700,False
2022-01-13,742.1,752.0,740.0,740.0,5350,False
2022-01-14,748.95,748.95,735.1,745.59,7750,False
2022-01-17,760.0,760.0,713.81,741.64,13600,False
2022-01-18,755.0,741.64,736.0,739.58,2500,True
2022-01-19,754.7,754.7,730.0,730.83,1450,False
2022-01-20,730.0,734.0,730.0,731.98,450,False
2022-01-21,731.98,735.0,730.0,730.0,400,False
2022-01-24,749.99,749.99,712.03,723.99,2600,False
2022-01-25,723.99,724.0,723.99,724.0,300,False
2022-01-26,720.5,724.0,720.5,721.67,150,False
2022-01-27,713.18,722.0,713.18,717.0,850,False
2022-01-28,720.0,720.0,714.0,717.5,850,False
2022-01-31,717.02,719.98,706.57,719.98,1100,False
2022-02-01,719.99,720.0,714.05,714.05,950,False
2022-02-02,719.99,721.0,712.11,719.99,3250,False
2022-02-03,720.5,720.5,715.0,718.9,1300,False
2022-02-04,711.0,718.9,711.0,716.0,300,False
2022-02-07,714.01,716.0,714.01,715.0,650,False
2022-02-08,718.99,748.0,713.0,736.68,3000,False
2022-02-09,723.98,744.1,723.81,739.46,4100,False
2022-02-10,721.14,739.89,721.14,730.99,2250,False
2022-02-11,725.0,732.99,722.0,723.82,7500,False
2022-02-14,719.0,724.82,716.1,721.43,3100,False
2022-02-15,716.6,720.0,716.6,719.59,3900,False
2022-02-16,720.0,720.0,712.0,712.23,2900,False
2022-02-17,712.13,719.89,709.0,710.46,950,False
2022-02-18,714.99,723.0,705.0,714.32,4750,False
2022-02-21,714.1,720.0,714.1,718.0,850,False
2022-02-22,705.13,721.99,705.13,720.25,3300,False
2022-02-23,715.01,716.5,710.0,716.5,2050,False
2022-02-24,723.79,723.79,692.01,699.0,4000,False
2022-02-25,690.0,700.0,680.0,690.02,6050,False
2022-02-28,699.0,700.1,689.5,699.0,24400,False
2022-03-01,705.0,705.0,695.0,699.99,7450,False
2022-03-02,690.0,696.9,683.1,696.9,300,False
2022-03-03,691.51,691.51,683.0,684.25,1550,False
2022-03-04,684.0,709.0,684.0,697.25,900,False
2022-03-07,680.0,690.0,671.0,684.5,4350,False
2022-03-08,675.0,715.0,675.0,698.16,2350,False
2022-03-09,698.16,698.16,698.16,698.16,50,False
2022-03-10,718.99,718.99,697.0,698.17,4600,False
2022-03-11,690.1,698.5,675.01,698.16,1250,False
2022-03-15,710.0,710.0,700.0,700.0,1650,False
2022-03-16,702.0,702.0,700.0,700.0,300,False
2022-03-18,680.0,680.0,679.0,679.8,250,False
2022-03-21,689.99,699.0,679.8,694.58,3500,False
2022-03-22,700.0,701.0,685.1,699.78,1500,False
2022-03-24,700.0,700.0,695.0,697.92,850,False
2022-03-25,698.98,698.99,698.98,698.99,250,False
