date,open,high,low,close,volume,is_anomaly
2021-09-13,40.0,40.0,39.8,40.0,7000,False
2021-09-14,40.5,40.5,40.0,40.0,16000,False
2021-09-15,40.0,40.0,40.0,40.0,1370000,False
2021-09-16,40.0,40.5,40.0,40.5,529500,False
2021-09-17,40.0,40.5,40.0,40.01,92000,False
2021-09-20,40.02,40.02,39.25,39.5,69000,False
2021-09-21,39.99,40.1,39.5,39.9,156000,False
2021-09-22,38.9,38.9,37.2,37.55,134000,False
2021-09-23,38.0,38.0,36.8,36.95,130000,False
2021-09-24,36.5,36.95,36.01,36.29,292000,False
2021-09-27,37.48,37.48,34.5,34.99,236500,False
2021-09-28,35.5,36.0,34.99,36.0,149000,False
2021-09-29,35.21,36.5,35.1,35.1,6500,False
2021-09-30,35.9,35.9,34.25,35.26,95500,False
2021-10-01,35.0,36.95,35.0,35.18,209500,False
2021-10-04,35.0,35.25,35.0,35.1,193000,False
2021-10-05,35.2,35.2,34.81,34.81,122000,False
2021-10-06,34.94,35.0,34.5,34.91,98000,False
2021-10-07,34.72,34.9,34.1,34.85,20000,False
2021-10-08,34.25,34.25,33.8,33.8,60500,False
2021-10-11,33.76,33.76,32.75,33.06,1820000,False
2021-10-12,32.75,33.47,32.66,33.47,3500,False
2021-10-13,33.0,33.47,33.0,33.0,157000,False
2021-10-14,33.0,33.5,32.99,33.0,318500,False
2021-10-15,33.25,33.48,33.0,33.1,752500,False
2021-10-18,33.5,34.0,33.2,33.87,448500,False
2021-10-20,33.7,34.85,33.7,34.48,431500,False
2021-10-21,34.5,35.2,34.5,34.97,428000,False
2021-10-22,35.3,37.59,35.1,37.59,461500,False
2021-10-25,40.0,40.0,38.0,38.03,132000,False
2021-10-26,37.72,38.99,37.55,37.82,373500,False
2021-10-27,37.6,40.65,37.01,39.44,347500,False
2021-10-28,39.75,39.75,38.0,38.95,7500,False
2021-10-29,41.4,41.4,38.32,39.0,304500,False
2021-11-01,39.35,39.4,38.39,39.0,25500,False
2021-11-02,39.0,39.0,37.6,37.6,350500,False
2021-11-03,38.0,38.6,38.0,38.5,183000,False
2021-11-04,38.7,38.75,38.5,38.5,285000,False
2021-11-05,38.5,39.79,38.1,38.11,326500,False
2021-11-08,38.99,39.5,38.99,39.5,91500,False
2021-11-09,39.9,39.9,39.0,39.0,320500,False
2021-11-10,39.0,39.0,38.65,38.85,244500,False
2021-11-11,38.75,38.75,38.0,38.08,140000,False
2021-11-12,37.5,37.75,37.3,37.38,32500,False
2021-11-15,37.84,38.0,37.6,37.87,33000,False
2021-11-16,37.87,38.0,37.87,37.92,16500,False
2021-11-17,38.49,38.49,37.9,37.9,31500,False
2021-11-18,37.2,37.2,37.0,37.01,16000,False
2021-11-19,37.6,39.78,37.25,38.59,94000,False
2021-11-22,38.7,38.7,38.0,38.02,77000,False
2021-11-23,37.55,37.55,37.0,37.5,17500,False
2021-11-24,37.45,38.95,37.25,37.54,1167500,False
2021-11-25,37.5,37.5,37.5,37.5,20000,False
2021-11-26,37.5,39.0,37.5,38.98,632500,False
2021-11-29,38.9,40.0,38.9,39.81,267000,False
2021-11-30,39.6,40.0,39.55,39.98,781500,False
2021-12-01,39.9,40.0,39.6,39.99,125500,False
2021-12-02,38.5,38.5,37.0,37.53,224500,False
2021-12-03,35.55,38.0,35.51,37.13,343500,False
2021-12-06,36.5,37.26,36.5,36.56,2000,False
2021-12-07,37.8,39.3,37.8,38.24,32500,False
2021-12-08,38.24,39.8,38.24,38.4,5000,False
2021-12-09,38.5,39.45,37.0,39.45,22500,False
2021-12-13,38.0,39.0,37.2,37.21,44000,False
2021-12-14,37.42,37.42,37.42,37.42,500,False
2021-12-15,38.4,39.75,37.0,39.75,72500,False
2021-12-16,38.01,38.06,37.65,37.85,140000,False
2021-12-17,37.85,39.0,37.85,38.94,67000,False
2021-12-20,38.94,39.35,38.17,38.77,140000,False
2021-12-21,39.5,39.73,37.5,39.04,251000,False
2021-12-22,39.04,39.04,38.5,38.99,603000,False
2021-12-23,39.0,39.4,38.56,39.0,9000,False
2021-12-24,39.0,39.3,38.94,39.06,14500,False
2021-12-27,39.0,39.01,38.58,39.0,85000,False
2021-12-28,38.9,39.01,38.9,39.0,21500,False
2021-12-29,39.0,40.45,39.0,39.88,240500,False
2021-12-30,39.88,39.88,39.88,39.88,500,False
2021-12-31,39.8,40.0,39.75,40.0,250500,False
2022-01-04,39.99,40.0,39.99,40.0,12000,False
2022-01-05,40.0,40.0,39.01,39.69,19500,False
2022-01-06,39.0,39.89,39.0,39.81,5500,False
2022-01-07,39.81,39.95,39.81,39.95,2000,False
2022-01-10,39.5,40.0,39.5,40.0,616500,False
2022-01-11,40.0,40.5,39.75,40.32,482000,False
2022-01-12,40.45,41.15,40.1,40.43,438000,False
2022-01-13,40.47,40.5,40.25,40.5,149000,False
2022-01-14,41.8,41.8,40.85,41.0,233500,False
2022-01-17,41.0,41.0,40.11,40.12,12500,False
2022-01-18,40.0,40.25,40.0,40.25,2000,False
2022-01-19,40.0,40.0,39.02,39.23,109000,False
2022-01-21,38.51,41.25,38.51,40.51,27000,False
2022-01-24,40.75,40.75,40.7,40.7,1000,False
2022-01-25,40.0,40.7,40.0,40.0,5500,False
2022-01-26,40.0,40.01,39.7,39.7,184000,False
2022-01-27,40.0,42.0,40.0,40.65,118500,False
2022-01-28,40.55,40.8,40.55,40.8,150000,False
2022-01-31,40.8,40.8,39.15,39.58,242500,False
2022-02-01,39.99,40.9,39.6,40.31,901000,False
2022-02-02,40.9,42.0,40.5,41.08,403500,False
2022-02-03,41.01,42.0,41.0,41.82,491000,False
2022-02-04,41.85,44.95,41.85,43.42,568500,False
2022-02-07,43.42,43.88,42.0,42.22,75000,False
2022-02-08,42.22,42.5,41.5,41.84,213000,False
2022-02-09,40.5,40.85,38.71,39.91,1081500,False
2022-02-10,40.0,40.05,38.55,38.86,121000,False
2022-02-11,38.86,39.44,38.0,38.23,37500,False
2022-02-14,38.2,39.75,37.5,38.93,159500,False
2022-02-15,38.51,38.51,38.2,38.46,36500,False
2022-02-16,38.05,38.05,38.0,38.0,17500,False
2022-02-17,38.48,38.55,37.5,38.13,43500,False
2022-02-18,38.4,38.5,38.0,38.0,12500,False
2022-02-21,37.8,38.99,37.25,38.22,228000,False
2022-02-22,37.7,38.4,37.02,38.02,198000,False
2022-02-23,37.56,38.02,36.73,36.92,103500,False
2022-02-24,36.5,36.96,34.75,35.56,265000,False
2022-02-25,35.75,38.2,35.15,37.44,214000,False
2022-02-28,36.95,38.03,36.95,37.67,16000,False
2022-03-01,37.02,37.75,36.5,37.26,518000,False
2022-03-02,36.5,37.0,36.5,36.65,6000,False
2022-03-03,36.55,36.62,36.5,36.52,33500,False
