date,open,high,low,close,volume,is_anomaly
2021-09-13,21.91,21.93,21.6,21.85,51000,False
2021-09-14,21.88,22.0,21.58,22.0,182500,False
2021-09-15,21.8,22.5,21.74,22.19,316000,False
2021-09-16,22.16,22.55,22.15,22.45,53000,False
2021-09-17,22.48,24.1,22.48,23.22,1215500,False
2021-09-20,22.98,23.45,22.4,22.43,388500,False
2021-09-21,22.96,23.2,22.5,22.53,286000,False
2021-09-22,22.98,23.05,22.4,22.88,380000,False
2021-09-23,23.41,23.49,22.55,22.88,53500,False
2021-09-24,22.5,22.87,22.4,22.53,209000,False
2021-09-27,22.53,22.97,21.5,21.93,385000,False
2021-09-28,22.01,22.45,21.8,22.3,293500,False
2021-09-29,22.37,23.38,21.5,22.26,418500,False
2021-09-30,22.21,22.8,22.2,22.69,87500,False
2021-10-01,22.28,23.23,22.28,22.94,87500,False
2021-10-04,22.35,22.9,22.25,22.85,6527500,False
2021-10-05,22.5,22.6,22.4,22.52,34500,False
2021-10-06,22.5,22.55,22.0,22.08,162000,False
2021-10-07,22.24,22.35,22.08,22.32,33500,False
2021-10-08,22.0,22.44,22.0,22.03,26000,False
2021-10-11,21.81,22.45,21.81,22.13,81000,False
2021-10-12,21.81,22.35,21.7,22.27,109500,False
2021-10-13,22.5,23.25,22.2,22.21,121000,False
2021-10-14,22.97,23.25,22.5,23.17,321000,False
2021-10-15,23.38,23.44,22.75,22.98,115000,False
2021-10-18,23.26,24.7,22.27,24.09,1253500,False
2021-10-20,24.7,24.99,24.5,24.55,495000,False
2021-10-21,24.95,25.2,24.0,24.61,1391000,False
2021-10-22,24.06,24.61,23.98,24.2,221500,False
2021-10-25,23.4,23.75,22.75,22.91,172000,False
2021-10-26,22.51,22.9,22.0,22.09,439500,False
2021-10-27,22.35,22.94,22.35,22.53,24000,False
2021-10-28,22.41,22.77,22.25,22.55,156500,False
2021-10-29,22.8,23.2,22.4,23.12,103500,False
2021-11-01,23.22,23.22,22.51,22.95,375000,False
2021-11-02,23.0,23.4,23.0,23.03,81500,False
2021-11-03,23.0,23.0,22.9,22.9,23500,False
2021-11-04,22.91,23.1,22.91,23.09,65500,False
2021-11-05,22.81,23.3,22.81,23.27,23500,False
2021-11-08,22.9,23.19,22.9,23.16,292000,False
