date,open,high,low,close,volume,is_anomaly
2021-09-13,237.8,249.0,237.5,242.18,3260760,False
2021-09-14,241.0,241.0,224.02,225.05,3250460,False
2021-09-15,225.5,225.5,215.0,219.68,1849630,False
2021-09-16,220.15,222.6,215.0,216.78,911707,False
2021-09-17,218.9,222.5,215.5,218.33,1183849,False
2021-09-20,219.02,219.02,210.25,213.28,1186420,False
2021-09-21,215.0,217.99,198.15,201.24,1841022,False
2021-09-22,201.31,202.0,186.5,192.38,1584352,False
2021-09-23,193.9,195.99,180.81,185.4,964382,False
2021-09-24,185.01,185.45,178.0,181.71,1404623,False
2021-09-27,180.0,180.0,168.2,174.96,1233935,False
2021-09-28,178.88,186.24,174.51,184.94,1019347,False
2021-09-29,185.38,185.38,171.07,173.59,1430941,False
2021-09-30,173.0,182.4,170.0,178.78,1055473,False
2021-10-01,181.89,185.9,178.0,183.24,904771,False
2021-10-04,181.0,190.4,178.0,188.04,853439,False
2021-10-05,188.05,191.0,186.0,188.36,973704,False
2021-10-06,188.01,192.0,181.1,182.09,783830,False
2021-10-07,183.01,190.5,183.01,186.5,920920,False
2021-10-08,187.0,188.0,184.0,185.64,312913,False
2021-10-11,186.0,188.0,178.0,179.81,379870,False
2021-10-12,179.99,180.0,171.01,177.97,868528,False
2021-10-13,179.2,183.85,169.5,172.08,1147490,False
2021-10-14,174.1,182.95,172.1,180.99,658874,False
2021-10-15,181.8,184.5,174.74,183.46,1290476,False
2021-10-18,181.1,181.5,175.85,177.92,583945,False
2021-10-20,179.1,184.9,179.1,183.21,1293356,False
2021-10-21,183.3,183.5,175.51,177.84,683018,False
2021-10-22,178.0,178.9,166.5,173.13,1634398,False
2021-10-25,173.45,173.45,169.51,170.4,226656,False
2021-10-26,170.99,171.99,168.0,168.81,205808,False
2021-10-27,170.99,175.22,170.99,172.23,495801,False
2021-10-28,171.21,173.5,170.52,171.28,276654,False
2021-10-29,171.01,171.99,167.65,169.03,277546,False
2021-11-01,171.0,181.7,170.69,181.14,2240298,False
2021-11-02,182.4,191.44,180.0,185.8,2761497,False
2021-11-03,186.25,191.0,183.0,189.45,2784763,False
2021-11-04,190.2,199.49,189.4,197.93,3193899,False
2021-11-05,197.0,197.8,190.0,191.48,1778734,False
2021-11-08,190.01,196.39,187.4,190.38,2576814,False
2021-11-09,189.7,189.7,178.5,179.57,1119788,False
2021-11-10,180.0,183.45,176.75,179.71,825358,False
2021-11-11,179.85,181.99,172.99,173.83,690180,False
2021-11-12,173.0,174.0,163.0,164.85,949783,False
2021-11-15,165.9,166.95,160.1,163.65,518022,False
2021-11-16,168.51,171.0,166.15,169.82,1569258,False
2021-11-17,169.0,169.0,162.5,164.68,722949,False
2021-11-18,163.5,168.5,162.8,167.1,1159520,False
2021-11-19,169.1,170.5,164.0,164.8,931702,False
2021-11-22,164.5,164.5,159.37,160.68,727865,False
2021-11-23,160.0,162.7,148.71,151.48,1155528,False
2021-11-24,152.0,152.0,145.55,147.72,1039874,False
2021-11-25,148.0,150.08,145.6,148.71,801008,False
2021-11-26,149.0,152.5,145.91,147.72,960560,False
2021-11-29,145.01,152.9,143.0,150.82,1481745,False
2021-11-30,150.5,151.9,145.7,146.92,1361153,False
2021-12-01,147.9,149.75,146.0,147.2,314823,False
2021-12-02,147.8,147.8,136.16,136.16,1055472,False
2021-12-03,130.0,134.0,125.95,127.51,1174543,False
2021-12-06,128.75,129.89,121.5,124.29,1027052,False
2021-12-07,125.49,133.61,125.05,132.31,1408410,False
2021-12-08,133.5,134.3,127.56,129.5,915369,False
2021-12-09,129.0,129.0,122.11,125.41,563947,False
2021-12-10,124.98,128.0,121.01,125.07,850096,False
2021-12-13,125.75,126.89,123.01,123.98,422847,False
2021-12-14,125.4,133.2,123.0,131.94,1301033,False
2021-12-15,137.0,141.83,135.5,141.83,1852708,False
2021-12-16,141.51,144.99,139.0,140.37,1983220,False
2021-12-17,138.01,138.01,133.1,135.47,908489,False
2021-12-20,133.0,138.7,132.35,135.76,852154,False
2021-12-21,136.0,141.2,134.5,135.47,1515778,False
2021-12-22,136.0,136.45,134.51,134.91,334698,False
2021-12-23,134.9,138.65,134.55,136.96,542573,False
2021-12-24,137.5,138.5,134.55,134.91,382814,False
2021-12-27,135.5,138.75,134.53,136.43,501956,False
2021-12-28,136.0,137.5,134.09,136.24,473431,False
2021-12-29,136.0,146.45,136.0,146.18,3880163,False
2021-12-30,147.0,147.8,140.5,141.73,1595254,False
2021-12-31,141.7,148.9,141.0,144.03,2455511,False
2022-01-03,144.53,146.48,142.71,143.33,645203,False
2022-01-04,143.15,150.72,143.15,149.12,2651565,False
2022-01-05,148.5,155.23,145.0,152.22,2807151,False
2022-01-06,152.54,154.99,146.01,147.29,1896535,False
2022-01-07,147.0,152.88,145.01,152.12,1831701,False
2022-01-10,151.01,161.55,151.01,159.84,2915523,False
2022-01-11,160.5,162.0,158.5,160.36,1916609,False
2022-01-12,162.76,165.5,158.05,158.92,2195199,False
2022-01-13,158.89,161.82,157.0,160.52,1109579,False
2022-01-14,162.0,163.25,158.91,159.5,1078927,False
2022-01-17,159.56,160.49,152.11,154.14,795699,False
2022-01-18,156.0,159.95,155.0,157.06,1132778,False
2022-01-19,158.0,159.6,145.29,146.7,1402975,False
2022-01-20,144.87,145.88,137.15,145.09,1460125,False
2022-01-21,145.5,148.68,144.25,145.46,731979,False
2022-01-24,145.0,145.0,140.6,143.12,1062410,False
2022-01-25,145.0,147.01,144.23,144.86,729960,False
2022-01-26,144.55,147.48,142.3,145.83,450070,False
2022-01-27,146.51,148.98,143.5,145.87,544342,False
2022-01-28,145.01,149.0,145.01,147.23,507022,False
2022-01-31,149.49,152.9,148.11,151.31,1317676,False
2022-02-01,151.5,156.68,151.26,155.6,2601745,False
2022-02-02,157.0,159.39,156.12,158.39,1655803,False
2022-02-03,161.7,161.7,154.0,154.54,1189030,False
2022-02-04,153.0,157.59,152.11,156.86,1144310,False
2022-02-07,158.25,161.55,154.55,156.04,1593834,False
2022-02-08,154.25,155.99,153.02,155.1,580657,False
2022-02-09,155.88,157.01,152.55,153.4,907105,False
2022-02-10,154.3,154.85,152.4,152.91,222091,False
2022-02-11,152.91,154.25,151.12,152.32,227636,False
2022-02-14,150.7,152.8,144.2,146.15,741034,False
2022-02-15,145.99,150.89,143.3,149.23,844242,False
2022-02-16,151.0,151.3,147.25,148.2,410766,False
2022-02-17,148.0,148.25,142.5,144.78,568084,False
2022-02-18,144.5,147.8,144.05,146.76,416518,False
2022-02-21,146.99,147.0,143.33,143.71,289497,False
2022-02-22,142.99,143.0,137.55,139.1,548468,False
2022-02-23,140.15,140.98,138.02,139.72,302197,False
2022-02-24,135.0,135.49,129.25,129.27,807298,False
2022-02-25,131.98,132.98,127.11,128.01,789411,False
2022-02-28,128.0,134.15,125.0,133.22,631504,False
2022-03-01,136.5,141.5,132.25,140.08,1733211,False
2022-03-02,137.8,138.7,135.0,137.68,704647,False
2022-03-03,138.25,139.0,133.25,133.75,769635,False
2022-03-04,134.0,135.75,131.02,132.71,218830,False
2022-03-07,128.0,129.5,122.76,122.88,791527,False
2022-03-08,121.0,126.5,119.5,120.46,770620,False
2022-03-09,120.0,122.99,117.5,120.24,452685,False
2022-03-10,124.69,125.0,122.3,123.83,579109,False
2022-03-11,122.9,125.8,122.0,122.66,602915,False
2022-03-14,121.0,122.6,117.5,119.24,380910,False
2022-03-15,119.5,124.03,119.0,123.82,502593,False
2022-03-16,123.82,126.26,123.8,124.39,734455,False
2022-03-17,125.24,126.4,121.51,122.22,376445,False
2022-03-18,119.16,119.17,117.0,117.55,495386,False
2022-03-21,118.0,119.0,117.2,118.18,309361,False
2022-03-22,118.22,119.0,117.55,117.68,138423,False
2022-03-24,117.0,120.0,114.35,119.27,532185,False
2022-03-25,119.0,122.44,118.15,120.54,835154,False
2022-03-28,120.4,122.5,118.2,121.73,433950,False
2022-03-29,123.5,126.26,123.0,125.75,1196048,False
2022-03-30,125.95,128.88,123.0,126.86,1782836,False
2022-03-31,125.62,129.9,125.62,128.68,1410648,False
2022-04-01,127.8,134.7,126.2,131.36,3067371,False
2022-04-04,125.0,127.0,122.0,122.44,724056,False
2022-04-05,122.44,124.5,120.0,122.35,361711,False
2022-04-06,122.26,126.0,122.26,124.32,547560,False
2022-04-07,124.26,127.0,124.05,124.67,403501,False
2022-04-08,125.0,131.8,125.0,129.64,1572766,False
2022-04-11,136.01,139.36,136.01,139.36,963087,False
2022-04-12,142.0,149.81,142.0,148.57,1961774,False
2022-04-13,148.49,151.49,143.75,144.93,1753732,False
2022-04-14,144.5,155.79,142.0,155.79,2463369,False
2022-04-15,160.7,166.5,158.2,159.77,3349480,False
2022-04-18,159.77,164.7,157.0,161.91,2521134,False
2022-04-19,162.0,163.0,156.61,157.58,896471,False
2022-04-20,163.11,164.99,157.0,158.77,2038756,False
2022-04-21,157.96,164.89,153.5,162.43,2155742,False
2022-04-22,166.0,167.5,161.5,162.09,1822519,False
2022-04-25,162.4,164.9,159.0,159.76,1163449,False
2022-04-26,159.5,159.5,153.3,154.1,577156,False
2022-04-27,153.99,164.0,151.02,160.44,2722114,False
2022-04-28,156.8,158.9,152.9,155.88,1465807,False
2022-05-06,155.88,155.88,148.0,148.96,604053,False
2022-05-09,149.0,149.0,137.79,137.79,1898419,False
2022-05-10,137.3,143.5,133.5,142.44,3418642,False
2022-05-11,142.8,143.0,131.76,135.46,1858624,False
2022-05-12,135.51,143.15,135.0,140.81,2435135,False
2022-05-13,141.0,151.29,139.35,149.87,2954889,False
2022-05-16,146.0,153.99,142.5,148.22,2035582,False
2022-05-17,150.25,158.6,149.55,151.69,4845519,False
2022-05-18,150.0,155.27,148.2,150.24,2063611,False
2022-05-19,150.25,152.9,149.15,150.27,1035430,False
2022-05-20,150.98,154.96,149.51,152.31,1095635,False
2022-05-23,151.0,151.89,148.0,150.46,499910,False
2022-05-24,150.46,154.5,149.25,150.54,1094575,False
2022-05-25,151.89,160.9,150.0,156.06,1884844,False
2022-05-26,155.0,164.95,153.67,163.86,2507807,False
2022-05-27,170.0,174.74,162.0,163.55,4451316,False
2022-05-30,165.01,167.99,163.1,163.4,1302628,False
2022-05-31,163.0,166.15,162.0,163.96,912099,False
2022-06-01,164.0,164.8,161.3,162.46,1046554,False
2022-06-02,161.51,166.2,161.02,164.11,2009798,False
2022-06-03,166.3,166.35,152.12,153.69,2697750,False
2022-06-06,152.52,157.75,151.01,156.84,1475118,False
2022-06-07,157.5,158.44,152.0,153.77,1087023,False
2022-06-08,154.0,155.5,152.5,154.55,599654,False
2022-06-09,154.95,157.2,154.5,155.54,663857,False
2022-06-10,156.5,156.5,154.0,155.69,165655,False
2022-06-13,155.9,156.25,152.99,155.27,504520,False
2022-06-14,153.61,158.9,153.61,158.05,759217,False
2022-06-15,158.25,163.5,158.25,159.99,1548641,False
2022-06-16,160.98,163.0,160.0,161.28,848903,False
2022-06-17,161.9,168.88,161.0,166.19,2470907,False
2022-06-20,167.55,167.97,162.52,163.4,1117476,False
2022-06-21,163.75,175.65,163.0,174.53,2605049,False
2022-06-22,178.0,178.75,172.5,174.89,2337940,False
2022-06-23,175.5,183.55,175.5,179.41,2979142,False
2022-06-24,179.25,181.9,165.96,169.57,2773591,False
2022-06-27,171.98,177.6,169.52,176.28,1621001,False
2022-06-28,178.0,182.0,177.0,179.32,2476035,False
2022-06-29,179.05,179.98,175.0,176.61,760916,False
2022-06-30,177.0,177.5,173.1,175.78,688714,False
2022-07-01,175.5,176.5,166.25,168.42,3245659,False
2022-07-04,168.5,168.5,163.6,165.91,783190,False
2022-07-05,166.4,167.12,163.4,164.04,1161001,False
2022-07-06,164.0,166.5,162.11,162.81,539783,False
2022-07-07,161.7,162.99,156.3,157.6,2469053,False
2022-07-13,157.0,163.88,153.75,162.11,1046138,False
2022-07-14,164.31,165.0,161.0,162.11,1064740,False
2022-07-15,160.5,161.45,155.61,156.2,1316402,False
2022-07-18,153.0,153.0,148.0,149.14,1272935,False
2022-07-19,149.55,151.99,139.7,142.2,3303596,False
2022-07-20,141.45,143.49,139.1,140.69,1499847,False
2022-07-21,140.75,142.24,134.4,135.24,1597263,False
2022-07-22,136.15,141.0,133.01,139.92,1445948,False
2022-07-25,138.0,141.2,137.01,140.07,569397,False
2022-07-26,139.0,142.2,138.6,140.56,1157460,False
2022-07-27,141.0,141.5,137.5,139.08,1638030,False
2022-07-28,139.01,143.5,138.16,138.82,2015710,False
2022-07-29,139.0,139.75,135.02,135.92,937047,False
2022-08-01,136.98,136.98,132.2,132.99,583507,False
2022-08-02,130.11,139.9,130.0,138.83,2344398,False
2022-08-03,140.9,145.9,140.61,144.69,2963668,False
2022-08-04,146.0,146.5,141.62,142.23,1618975,False
