date,open,high,low,close,volume,is_anomaly
2021-09-13,68.98,68.98,68.0,68.11,956391,False
2021-09-14,68.55,68.79,67.91,68.11,129549,False
2021-09-15,68.55,69.24,68.0,69.0,236016,False
2021-09-16,69.25,69.25,68.8,69.0,125637,False
2021-09-17,68.51,69.69,68.5,69.51,767881,False
2021-09-20,69.5,70.0,69.0,70.0,274642,False
2021-09-21,70.0,70.0,68.5,68.9,51074,False
2021-09-22,68.22,69.7,67.0,69.31,133275,False
2021-09-23,69.99,69.99,68.55,68.77,472264,False
2021-09-24,69.25,69.9,68.3,69.07,52716,False
2021-09-27,69.98,69.98,68.0,68.63,315123,False
2021-09-28,68.78,68.9,68.0,68.31,461162,False
2021-09-29,69.85,70.0,67.5,67.79,290262,False
2021-09-30,68.5,69.5,67.81,69.15,708407,False
2021-10-01,69.75,70.0,68.2,69.29,105734,False
2021-10-04,68.06,69.69,68.06,68.99,72436,False
2021-10-05,68.1,69.0,67.7,68.01,328927,False
2021-10-06,68.99,68.99,67.75,67.79,155081,False
2021-10-07,68.5,69.0,67.8,68.04,288969,False
2021-10-08,68.75,69.0,67.52,68.98,55315,False
2021-10-11,69.5,69.5,68.0,68.44,194809,False
2021-10-12,68.01,69.74,67.75,69.5,600294,False
2021-10-13,70.0,70.0,69.5,69.71,769580,False
2021-10-14,69.01,72.8,69.01,70.69,2266926,False
2021-10-15,70.99,71.25,69.2,70.51,871113,False
2021-10-18,71.49,71.49,65.23,68.07,1854491,False
2021-10-20,68.79,70.49,67.99,69.57,796490,False
2021-10-21,70.41,72.0,69.1,71.5,1607718,False
2021-10-22,71.9,71.99,70.4,71.0,151177,False
2021-10-25,71.9,71.9,70.21,70.67,92443,False
2021-10-26,70.67,71.0,70.3,70.75,99990,False
2021-10-27,70.0,71.35,70.0,70.25,131601,False
2021-10-28,70.4,71.3,70.0,70.03,975300,False
2021-10-29,70.45,70.98,70.0,70.16,245345,False
2021-11-01,71.25,71.25,70.4,70.95,209469,False
2021-11-02,71.0,71.49,71.0,71.25,97115,False
2021-11-03,71.49,71.5,70.55,71.44,23844,False
2021-11-04,71.7,71.7,71.0,71.51,266466,False
2021-11-05,71.7,72.0,71.01,71.76,252646,False
2021-11-08,71.03,71.7,71.0,71.24,246633,False
2021-11-09,72.0,72.0,69.9,70.17,704652,False
2021-11-10,71.7,71.7,70.0,70.98,281176,False
2021-11-11,70.15,70.8,70.01,70.07,721717,False
2021-11-12,71.45,71.45,69.71,70.13,88534,False
2021-11-15,69.2,71.29,69.2,70.98,33556,False
2021-11-16,71.4,71.4,69.11,70.51,254895,False
2021-11-17,70.9,72.25,70.1,71.98,144512,False
2021-11-18,72.2,72.5,70.4,71.5,346041,False
2021-11-19,70.8,73.5,70.8,73.34,853511,False
2021-11-22,74.5,77.0,74.0,74.12,1121176,False
2021-11-23,75.49,75.49,73.5,74.94,1014595,False
2021-11-24,74.94,74.94,72.52,73.07,232515,False
2021-11-25,72.6,72.75,72.0,72.5,132357,False
2021-11-26,73.0,74.15,72.5,72.72,465058,False
2021-11-29,72.8,73.7,72.7,73.28,136770,False
2021-11-30,74.75,75.45,72.5,72.7,526695,False
2021-12-01,72.63,73.75,72.5,73.19,226200,False
2021-12-02,73.0,73.0,71.0,71.05,120461,False
2021-12-03,71.5,73.0,70.02,71.53,680548,False
2021-12-06,72.8,73.02,71.01,71.55,14330,False
2021-12-07,72.8,72.8,71.0,71.22,85210,False
2021-12-08,72.7,72.7,71.2,71.69,10034,False
2021-12-09,72.99,72.99,71.0,71.21,164156,False
2021-12-10,72.98,72.98,69.77,69.99,253377,False
2021-12-13,69.8,72.0,69.5,71.15,280887,False
2021-12-14,71.15,71.49,70.5,70.97,24682,False
2021-12-15,71.99,71.99,69.0,69.24,466991,False
2021-12-16,69.35,70.0,68.0,68.19,143891,False
2021-12-17,69.97,69.97,67.71,68.68,2599089,False
2021-12-20,69.94,71.5,69.0,69.55,342151,False
2021-12-21,69.1,70.0,69.0,69.12,391975,False
2021-12-22,69.01,69.4,68.7,69.0,131174,False
2021-12-23,68.5,71.0,68.5,68.95,236225,False
2021-12-24,70.49,70.49,68.51,69.0,384890,False
2021-12-27,69.02,69.05,68.75,68.88,45495,False
2021-12-28,69.0,69.0,68.28,68.96,920290,False
2021-12-29,68.4,70.74,68.4,69.39,87826,False
2021-12-30,68.51,69.5,68.5,68.83,168344,False
2021-12-31,68.05,69.7,68.05,69.01,150688,False
2022-01-03,68.51,69.25,68.25,69.02,91935,False
2022-01-04,69.0,70.35,69.0,69.32,42498,False
2022-01-05,69.95,69.95,68.99,69.0,101773,False
2022-01-06,69.25,69.4,68.45,68.5,177193,False
2022-01-07,69.45,69.45,68.51,69.0,217570,False
2022-01-10,69.05,70.5,69.0,70.09,258825,False
2022-01-11,70.49,70.49,69.3,69.92,324542,False
2022-01-12,69.92,70.75,69.92,70.24,528242,False
2022-01-13,70.64,71.4,70.01,70.13,1505238,False
2022-01-14,70.15,71.0,70.0,70.04,128686,False
2022-01-17,71.28,71.28,69.9,70.34,20073,False
2022-01-18,70.34,70.34,68.88,69.26,472488,False
2022-01-19,69.85,70.0,69.06,69.25,187343,False
2022-01-20,69.02,70.24,68.61,70.0,322294,False
2022-01-21,71.0,71.55,69.5,71.33,1037766,False
2022-01-24,71.78,72.0,70.4,71.83,126910,False
2022-01-25,72.0,72.0,70.05,71.11,198734,False
2022-01-26,71.49,72.1,70.65,72.0,131574,False
2022-01-27,72.48,72.48,71.51,72.0,13213,False
2022-01-28,72.47,72.47,71.25,72.0,10702,False
2022-01-31,72.35,75.25,71.75,74.98,1838610,False
2022-02-01,75.9,75.9,74.02,75.0,129011,False
2022-02-02,75.0,75.5,74.0,75.45,153691,False
2022-02-03,74.6,75.89,74.6,74.89,59171,False
2022-02-04,75.5,75.5,74.26,74.92,37359,False
2022-02-07,76.0,76.0,74.08,74.5,138675,False
2022-02-08,74.07,74.74,73.5,73.6,201676,False
2022-02-09,74.0,78.49,72.51,76.82,4470267,False
2022-02-10,76.84,77.35,75.52,75.9,523337,False
2022-02-11,76.0,76.19,75.2,76.14,242783,False
2022-02-14,75.99,76.2,75.1,76.05,155162,False
2022-02-15,76.14,76.3,75.45,76.03,148088,False
2022-02-16,76.85,76.85,75.55,75.97,39397,False
2022-02-17,75.51,76.4,75.32,75.98,108981,False
2022-02-18,76.5,76.5,75.49,75.86,106485,False
2022-02-21,76.25,77.0,76.25,76.61,476591,False
2022-02-22,76.0,76.89,75.5,76.45,1164419,False
2022-02-23,76.84,76.84,75.56,76.66,142801,False
2022-02-24,74.06,76.65,74.06,75.33,504705,False
2022-02-25,75.05,76.5,75.05,76.02,210628,False
2022-02-28,76.35,76.5,75.0,76.16,600985,False
2022-03-01,75.51,76.49,75.51,76.03,42876,False
2022-03-02,76.49,76.49,75.27,75.87,56456,False
2022-03-03,76.39,76.39,75.05,76.1,334533,False
2022-03-04,76.49,77.0,75.8,76.18,3044315,False
2022-03-07,75.8,76.64,74.01,75.73,415000,False
2022-03-08,76.5,76.5,74.9,75.03,166497,False
2022-03-09,75.2,75.84,74.05,74.38,585216,False
2022-03-10,76.15,76.15,74.62,75.46,406771,False
2022-03-11,75.5,76.0,74.15,74.56,345928,False
2022-03-14,74.5,75.0,74.0,74.11,207617,False
2022-03-15,74.01,75.89,74.01,75.08,93487,False
2022-03-16,74.2,76.39,74.2,75.87,1409748,False
2022-03-17,68.56,70.5,68.1,68.79,838903,False
2022-03-18,69.4,70.0,67.2,69.36,1372034,False
2022-03-21,69.25,69.25,68.0,68.77,118994,False
2022-03-22,69.0,69.0,67.8,67.81,326722,False
2022-03-24,67.29,68.95,67.29,67.94,309058,False
2022-03-25,67.95,68.0,67.61,67.99,23684,False
2022-03-28,67.99,68.0,67.7,67.81,295733,False
2022-03-29,67.81,68.19,66.99,67.04,1294503,False
2022-03-30,67.04,67.65,67.0,67.57,241115,False
2022-03-31,67.55,68.0,67.37,67.94,186432,False
2022-04-01,68.5,68.5,67.05,67.97,71865,False
2022-04-04,67.75,67.97,65.15,67.42,133213,False
2022-04-05,67.95,67.95,66.9,67.09,186855,False
2022-04-06,67.05,68.05,67.0,67.08,162517,False
2022-04-07,69.55,69.55,66.1,67.0,150354,False
2022-04-08,68.25,69.45,68.0,68.69,900316,False
2022-04-11,69.0,72.85,69.0,72.48,1122084,False
2022-04-12,72.5,73.5,71.0,72.86,904437,False
2022-04-13,72.8,72.8,71.6,72.05,214300,False
2022-04-14,72.0,72.45,71.51,72.42,200367,False
2022-04-15,71.5,72.35,71.2,71.49,82182,False
2022-04-18,70.5,71.98,70.21,70.8,778386,False
2022-04-19,71.0,71.0,69.5,69.63,386663,False
2022-04-20,70.9,70.9,68.9,69.06,195782,False
2022-04-21,69.99,69.99,67.05,67.16,507116,False
2022-04-22,67.99,68.5,66.0,66.74,672517,False
2022-04-25,68.0,68.05,66.6,67.96,285707,False
2022-04-26,67.8,67.8,67.0,67.29,130970,False
2022-04-27,67.94,68.0,66.9,67.83,25735,False
2022-04-28,67.98,68.9,67.5,68.24,653876,False
2022-05-06,68.48,68.5,67.05,67.98,166852,False
2022-05-09,67.7,67.99,66.0,66.06,1033465,False
2022-05-10,68.0,68.0,65.01,66.25,323632,False
2022-05-11,66.98,67.0,64.5,66.57,2409897,False
2022-05-12,66.9,66.9,64.98,66.0,1364067,False
2022-05-13,66.99,68.25,66.12,67.96,2252994,False
2022-05-16,66.95,67.25,64.8,66.86,192251,False
2022-05-17,66.99,67.0,65.5,66.52,289002,False
2022-05-18,66.55,68.5,66.01,66.76,811505,False
2022-05-19,67.4,67.4,66.29,66.35,42941,False
2022-05-20,66.99,67.4,66.11,66.99,199140,False
2022-05-23,66.01,67.0,66.01,66.63,46373,False
2022-05-24,67.4,67.4,65.95,66.0,34563,False
2022-05-25,66.0,66.95,64.8,65.86,152260,False
2022-05-26,66.5,66.5,65.01,65.47,82522,False
2022-05-27,65.5,66.49,65.49,66.03,2883098,False
2022-05-30,66.8,66.8,65.51,65.69,164636,False
2022-05-31,65.07,67.5,64.85,65.31,2171078,False
2022-06-01,65.9,65.9,65.0,65.0,946715,False
2022-06-02,64.11,65.5,64.11,64.76,327617,False
2022-06-03,65.99,65.99,62.56,63.0,86035,False
2022-06-06,63.89,64.47,63.0,63.99,42232,False
2022-06-07,64.99,64.99,63.0,64.0,66418,False
2022-06-08,64.85,64.85,63.05,63.98,92209,False
2022-06-09,64.0,64.05,62.66,63.45,761710,False
2022-06-10,64.39,64.39,62.4,62.52,77986,False
2022-06-13,63.9,63.9,58.1,58.36,314985,False
2022-06-14,59.0,59.0,57.15,58.96,65116,False
2022-06-15,59.95,59.95,57.25,58.47,20698,False
2022-06-16,58.47,59.49,58.0,59.0,1316191,False
2022-06-17,59.0,60.5,58.5,60.0,86194,False
2022-06-20,60.0,60.02,59.0,59.15,168045,False
2022-06-21,59.99,60.35,58.55,59.49,304835,False
2022-06-22,60.2,61.25,60.0,60.95,645984,False
2022-06-23,61.98,63.7,61.0,62.55,516100,False
2022-06-24,63.9,63.9,57.86,59.2,1092608,False
2022-06-27,60.5,61.0,58.61,60.82,42278,False
2022-06-28,59.51,63.88,59.02,59.67,74728,False
2022-06-29,60.8,60.8,56.99,57.34,508234,False
2022-06-30,57.46,58.84,56.8,58.06,330998,False
2022-07-01,59.49,60.75,58.0,59.83,499219,False
2022-07-04,60.8,60.8,58.5,58.94,38706,False
2022-07-05,59.9,59.9,57.99,58.07,51922,False
2022-07-06,58.22,58.98,57.6,58.06,144321,False
2022-07-07,58.5,58.5,57.4,58.0,46184,False
2022-07-13,58.0,60.5,57.31,58.5,772095,False
2022-07-14,59.9,60.25,58.65,59.95,73117,False
2022-07-15,60.0,60.3,58.65,59.15,614088,False
2022-07-18,57.5,59.0,57.45,57.8,45592,False
2022-07-19,57.7,58.5,56.5,57.08,179308,False
2022-07-20,57.99,58.99,55.57,58.47,178203,False
2022-07-21,59.99,60.0,57.25,58.23,397363,False
2022-07-22,57.6,59.8,57.5,57.85,239844,False
2022-07-25,58.0,58.0,54.11,55.92,28531,False
2022-07-26,55.03,56.89,55.03,55.93,42598,False
2022-07-27,56.4,56.99,56.0,56.57,83545,False
2022-07-28,56.59,59.0,56.59,58.56,561916,False
2022-07-29,57.9,58.98,57.52,57.52,7468,False
2022-08-01,58.5,58.5,57.0,57.2,105991,False
2022-08-02,58.0,60.0,56.98,57.05,964566,False
2022-08-03,57.5,58.38,57.15,57.34,499159,False
2022-08-04,57.99,58.0,57.05,57.23,239571,False
2022-08-05,57.8,59.0,57.2,58.3,184228,False
2022-08-10,58.5,59.45,58.0,58.24,230405,False
2022-08-11,58.75,58.75,57.56,57.58,302671,False
2022-08-12,57.5,58.9,57.5,58.01,507461,False
2022-08-15,58.95,61.0,57.91,59.94,995438,False
2022-08-16,59.95,60.75,59.95,60.01,1015780,False
2022-08-17,61.5,61.5,60.0,60.66,574976,False
2022-08-18,60.01,61.0,59.05,60.07,979484,False
2022-08-19,61.0,61.0,59.0,60.02,99737,False
2022-08-22,60.05,60.05,59.0,59.24,32593,False
2022-08-23,59.0,61.44,59.0,59.23,73210,False
2022-08-24,60.2,60.21,58.7,59.64,149028,False
2022-08-25,59.98,59.98,58.3,58.77,641437,False
2022-08-26,58.26,59.99,57.52,58.08,136321,False
2022-08-29,58.48,58.9,57.36,58.66,19797,False
2022-08-30,59.9,59.9,57.2,57.25,430701,False
2022-08-31,57.25,57.25,55.25,55.93,4622794,False
2022-09-01,56.49,56.65,55.93,56.09,90124,False
2022-09-02,56.15,56.75,56.0,56.34,157705,False
2022-09-05,56.02,56.4,56.0,56.0,51162,False
2022-09-06,56.5,56.5,55.5,56.5,21165,False
2022-09-07,56.2,56.95,56.2,56.75,52308,False
2022-09-08,56.99,56.99,56.03,56.23,65094,False
2022-09-09,56.88,57.38,56.2,56.36,689,False
2022-09-12,56.5,56.9,56.0,56.25,22364,False
2022-09-13,56.0,56.4,55.8,56.18,109736,False
2022-09-14,56.65,56.69,56.01,56.04,346719,False
