date,open,high,low,close,volume,is_anomaly
2021-09-13,9.89,10.18,9.7,9.79,44967500,False
2021-09-14,9.74,9.79,9.01,9.08,71674000,False
2021-09-15,9.19,9.19,8.75,8.97,23288500,False
2021-09-16,9.01,9.02,8.75,8.79,11675500,False
2021-09-17,8.8,9.19,8.8,8.93,20913000,False
2021-09-20,8.93,8.93,8.74,8.8,11308000,False
2021-09-21,8.8,8.93,8.4,8.54,18201500,False
2021-09-22,8.5,8.53,7.75,8.14,33465000,False
2021-09-23,8.23,8.25,7.68,7.82,13828500,False
2021-09-24,7.67,7.93,7.5,7.56,29571500,False
2021-09-27,7.45,7.45,6.76,7.01,32168500,False
2021-09-28,7.14,7.94,7.1,7.84,33641500,False
2021-09-29,7.91,7.93,7.3,7.73,35627500,False
2021-09-30,7.59,8.33,7.48,8.18,29767000,False
2021-10-01,8.25,8.39,8.15,8.2,14237000,False
2021-10-04,7.92,8.21,7.91,8.08,13120000,False
2021-10-05,8.12,8.16,7.89,7.92,13046500,False
2021-10-06,7.93,8.07,7.61,7.67,10146500,False
2021-10-07,7.7,7.87,7.66,7.71,6775000,False
2021-10-08,7.7,7.71,7.44,7.5,7650000,False
2021-10-11,7.6,7.66,7.25,7.28,5520000,False
2021-10-12,7.3,7.4,7.0,7.27,9643500,False
2021-10-13,7.3,7.5,6.88,6.98,12044500,False
2021-10-14,7.0,7.4,6.9,7.32,9738500,False
2021-10-15,7.35,7.58,7.15,7.53,16174500,False
2021-10-18,7.38,7.52,7.24,7.29,7264500,False
2021-10-20,7.43,7.64,7.36,7.53,15608500,False
2021-10-21,7.55,7.64,7.29,7.34,6795000,False
2021-10-22,7.29,7.35,7.09,7.22,10572000,False
2021-10-25,7.29,7.32,7.08,7.12,4649500,False
2021-10-26,7.2,7.3,7.07,7.09,7305000,False
2021-10-27,7.35,7.37,7.12,7.17,8925500,False
2021-10-28,7.18,7.23,7.07,7.1,8780500,False
2021-10-29,7.1,7.14,6.98,7.03,6954000,False
2021-11-01,7.16,7.65,7.08,7.47,24506500,False
2021-11-02,7.47,7.76,7.35,7.5,19268000,False
2021-11-03,7.43,7.72,7.43,7.65,14502000,False
2021-11-04,7.7,8.05,7.65,7.98,30351500,False
2021-11-05,8.05,8.05,7.75,7.77,16768000,False
2021-11-08,7.83,7.93,7.61,7.63,11316000,False
2021-11-09,7.68,7.68,7.25,7.27,14060000,False
2021-11-10,7.27,7.35,7.2,7.28,3908500,False
2021-11-11,7.3,7.35,7.06,7.1,8222500,False
2021-11-12,7.1,7.14,6.98,7.0,9292500,False
2021-11-15,7.02,7.25,6.98,7.12,7236500,False
2021-11-16,7.21,7.29,7.12,7.25,6780000,False
2021-11-17,7.27,7.27,6.95,7.01,7416500,False
2021-11-18,7.06,7.1,6.94,7.05,8911500,False
2021-11-19,7.08,7.16,6.98,7.04,5927000,False
2021-11-22,7.01,7.01,6.49,6.83,21603000,False
2021-11-23,6.85,6.9,6.5,6.52,13762500,False
2021-11-24,6.55,6.6,6.15,6.32,14779000,False
2021-11-25,6.35,6.51,6.26,6.44,12229000,False
2021-11-26,6.4,6.58,6.35,6.43,15036000,False
2021-11-29,6.38,6.72,6.2,6.61,12590000,False
2021-11-30,6.65,6.8,6.52,6.55,4448500,False
2021-12-01,6.55,6.66,6.5,6.56,3192000,False
2021-12-02,6.59,6.59,5.81,5.95,22828500,False
2021-12-03,5.82,6.09,5.6,5.79,16964500,False
2021-12-06,5.91,5.98,5.71,5.84,7160000,False
2021-12-07,5.9,6.1,5.86,6.06,9517000,False
2021-12-08,6.12,6.16,5.9,5.92,8999000,False
2021-12-09,5.91,5.99,5.7,5.82,8424000,False
2021-12-10,5.84,5.89,5.62,5.68,7190000,False
2021-12-13,5.66,5.72,5.56,5.65,7301500,False
2021-12-14,5.65,6.07,5.57,5.99,16139000,False
2021-12-15,6.2,6.82,6.2,6.75,34603000,False
2021-12-16,6.7,6.82,6.35,6.44,18967500,False
2021-12-17,6.39,6.45,6.15,6.39,11587000,False
2021-12-20,6.23,6.35,6.06,6.17,13939000,False
2021-12-21,6.16,6.69,6.15,6.53,18722500,False
2021-12-22,6.61,6.69,6.44,6.47,5944000,False
2021-12-23,6.41,6.61,6.35,6.47,4875000,False
2021-12-24,6.43,6.55,6.25,6.3,4650500,False
2021-12-27,6.35,6.54,6.3,6.32,10878500,False
2021-12-28,6.31,6.44,6.22,6.31,4400500,False
2021-12-29,6.35,6.95,6.3,6.89,47423000,False
2021-12-30,7.0,7.0,6.61,6.66,11050000,False
2021-12-31,6.7,7.08,6.65,6.81,39830000,False
2022-01-03,6.85,6.9,6.6,6.65,10207000,False
2022-01-04,6.66,6.88,6.63,6.82,15047500,False
2022-01-05,6.82,6.96,6.67,6.85,11223500,False
2022-01-06,6.81,6.87,6.65,6.66,8809500,False
2022-01-07,6.62,6.82,6.6,6.72,5234194,False
2022-01-10,6.74,6.9,6.68,6.79,10757194,False
2022-01-11,6.83,6.85,6.7,6.74,4780880,False
2022-01-12,6.82,7.05,6.82,6.88,22765269,False
2022-01-13,7.1,7.35,6.99,7.31,74075598,False
2022-01-14,7.39,7.46,7.13,7.16,23680163,False
2022-01-17,7.11,7.15,6.91,6.95,12901420,False
2022-01-18,6.95,7.09,6.92,6.96,6813050,False
2022-01-19,6.95,6.99,6.4,6.51,15505699,False
2022-01-20,6.49,6.49,6.23,6.4,18841454,False
2022-01-21,6.46,6.54,6.34,6.37,7179122,False
2022-01-24,6.34,6.34,5.98,6.18,25459827,False
2022-01-25,6.18,6.29,6.13,6.16,8821178,False
2022-01-26,6.18,6.21,6.05,6.17,5021527,False
2022-01-27,6.19,6.21,6.02,6.1,7671215,False
2022-01-28,6.15,6.18,6.05,6.11,4211807,False
2022-01-31,6.11,6.25,6.11,6.19,6746040,False
2022-02-01,6.21,6.43,6.15,6.38,13352876,False
2022-02-02,6.42,6.45,6.33,6.42,6192028,False
2022-02-03,6.49,6.54,6.26,6.32,7397729,False
2022-02-04,6.36,6.38,6.21,6.24,4530307,False
2022-02-07,6.23,6.27,6.09,6.12,7870622,False
2022-02-08,6.12,6.15,6.08,6.1,2573235,False
2022-02-09,6.07,6.17,6.07,6.11,4711066,False
2022-02-10,6.12,6.18,6.07,6.09,2967445,False
2022-02-11,6.07,6.1,6.03,6.06,2064198,False
2022-02-14,6.05,6.13,5.96,5.98,4913840,False
2022-02-15,5.98,6.08,5.92,6.01,3600838,False
2022-02-16,6.07,6.09,5.98,6.01,2209052,False
2022-02-17,6.01,6.04,5.9,5.97,2735378,False
2022-02-18,5.95,5.99,5.9,5.94,3668273,False
2022-02-21,5.97,5.97,5.85,5.9,3426979,False
2022-02-22,5.88,5.89,5.64,5.71,7539633,False
2022-02-23,5.79,5.81,5.63,5.69,4533522,False
2022-02-24,5.51,5.53,5.12,5.15,13893536,False
2022-02-25,5.2,5.36,5.18,5.28,8396355,False
2022-02-28,5.32,5.6,5.12,5.53,8435763,False
2022-03-01,5.66,5.83,5.51,5.65,6086228,False
2022-03-02,5.52,5.62,5.38,5.58,4901965,False
2022-03-03,5.51,5.75,5.51,5.58,3669324,False
2022-03-04,5.6,5.75,5.42,5.5,1940934,False
2022-03-07,5.35,5.38,5.15,5.21,6280941,False
2022-03-08,5.18,5.33,5.15,5.19,3580160,False
2022-03-09,5.16,5.31,5.13,5.16,2859534,False
2022-03-10,5.35,5.38,5.22,5.26,3079849,False
2022-03-11,5.22,5.27,5.12,5.13,2985532,False
2022-03-14,5.19,5.19,4.99,5.04,2709574,False
2022-03-15,5.04,5.15,5.02,5.14,2610323,False
2022-03-16,5.16,5.35,5.14,5.21,5483194,False
2022-03-17,5.2,5.3,5.16,5.19,1438795,False
2022-03-18,5.14,5.19,5.0,5.02,5201417,False
2022-03-21,5.02,5.07,4.97,5.02,4961040,False
2022-03-22,5.05,5.09,4.98,5.0,2462082,False
2022-03-24,5.05,5.1,4.96,5.09,2395589,False
2022-03-25,5.12,5.37,5.05,5.25,9406818,False
2022-03-28,5.25,5.28,5.1,5.25,2707833,False
2022-03-29,5.28,5.48,5.27,5.32,11087451,False
2022-03-30,5.28,5.38,5.13,5.19,5344011,False
2022-03-31,5.12,5.35,5.12,5.21,12103938,False
2022-04-01,5.21,5.43,5.09,5.32,17599081,False
2022-04-04,5.09,5.32,5.05,5.09,4018515,False
2022-04-05,5.08,5.17,5.05,5.06,1916671,False
2022-04-06,5.15,5.18,5.1,5.12,1066630,False
2022-04-07,5.15,5.19,5.04,5.09,4201457,False
2022-04-08,5.1,5.26,5.01,5.2,15090122,False
2022-04-11,5.45,6.09,5.45,6.0,40149171,False
2022-04-12,6.05,6.1,5.77,6.04,29751224,False
2022-04-13,6.06,6.06,5.75,5.81,14890990,False
2022-04-14,5.81,6.81,5.66,6.75,99122084,False
2022-04-15,7.0,7.14,6.66,6.72,71320713,False
2022-04-18,6.7,6.85,6.4,6.49,17787449,False
2022-04-19,6.41,6.59,6.02,6.14,18326925,False
2022-04-20,6.5,6.6,6.22,6.31,23759268,False
2022-04-21,6.25,6.66,6.12,6.5,19858684,False
2022-04-22,6.79,6.85,6.6,6.66,23649550,False
2022-04-25,6.72,6.84,6.35,6.39,16406922,False
2022-04-26,6.39,6.39,6.17,6.23,6745822,False
2022-04-27,6.2,6.87,6.15,6.79,63683022,False
2022-04-28,6.67,6.73,6.26,6.35,34661433,False
2022-05-06,6.35,6.35,6.09,6.11,9126622,False
2022-05-09,6.02,6.08,5.4,5.56,23858892,False
2022-05-10,5.62,5.79,5.46,5.69,19092200,False
2022-05-11,5.71,5.74,5.04,5.26,24780960,False
2022-05-12,5.27,5.51,5.19,5.41,13992916,False
2022-05-13,5.36,5.59,5.32,5.49,20897533,False
2022-05-16,5.3,5.35,5.08,5.18,14168680,False
2022-05-17,5.21,5.44,5.18,5.28,15472098,False
2022-05-18,5.19,5.25,5.05,5.22,24142935,False
2022-05-19,5.28,5.36,5.22,5.26,7515538,False
2022-05-20,5.3,5.39,5.24,5.26,5958271,False
2022-05-23,5.1,5.19,5.06,5.15,5457120,False
2022-05-24,5.15,5.28,5.1,5.16,8296084,False
2022-05-25,5.11,5.33,5.1,5.29,12760688,False
2022-05-26,5.26,5.65,5.2,5.59,19647019,False
2022-05-27,5.71,6.23,5.68,5.73,64002196,False
2022-05-30,5.73,5.83,5.62,5.65,9972736,False
2022-05-31,5.7,5.83,5.66,5.68,6030695,False
2022-06-01,5.68,5.73,5.55,5.57,8989146,False
2022-06-02,5.62,5.62,5.32,5.4,9870697,False
2022-06-03,5.53,5.55,5.11,5.16,20266734,False
2022-06-06,5.18,5.28,5.08,5.23,9897734,False
2022-06-07,5.24,5.31,5.16,5.23,3219442,False
2022-06-08,5.25,5.28,5.14,5.23,4830520,False
2022-06-09,5.24,5.32,5.2,5.22,6651051,False
2022-06-10,5.25,5.28,5.19,5.26,2764206,False
2022-06-13,5.28,5.28,5.04,5.11,6893694,False
2022-06-14,5.12,5.21,5.07,5.19,4875000,False
2022-06-15,5.25,5.29,5.15,5.16,3826904,False
2022-06-16,5.14,5.23,5.08,5.14,5885356,False
