date,open,high,low,close,volume,is_anomaly
2021-09-13,11.55,11.7,11.45,11.5,170000,False
2021-09-14,11.5,12.0,11.5,11.96,1066500,False
2021-09-15,11.88,11.88,11.5,11.53,133500,False
2021-09-16,11.71,11.71,11.53,11.56,18500,False
2021-09-17,11.77,11.77,11.5,11.56,209000,False
2021-09-20,11.55,11.68,11.51,11.68,96500,False
2021-09-21,11.68,11.7,11.6,11.67,120000,False
2021-09-22,11.5,11.67,11.5,11.55,227000,False
2021-09-23,11.5,11.6,11.5,11.6,36500,False
2021-09-24,11.5,11.7,11.5,11.7,2607500,False
2021-09-27,11.55,11.75,11.55,11.75,72500,False
2021-09-28,11.7,12.25,11.6,12.22,8353500,False
2021-09-29,12.22,12.22,11.75,12.04,36023000,False
2021-09-30,12.0,12.08,11.5,11.72,18527000,False
2021-10-01,11.57,11.65,11.51,11.55,327000,False
2021-10-04,11.5,11.69,11.5,11.6,327000,False
2021-10-05,11.74,11.8,11.5,11.59,5133500,False
2021-10-06,11.74,11.74,11.57,11.66,53500,False
2021-10-07,11.74,11.75,11.7,11.75,139500,False
2021-10-08,11.8,11.8,11.6,11.6,143000,False
2021-10-11,11.57,11.74,11.52,11.54,149000,False
2021-10-12,11.55,11.6,11.5,11.51,484500,False
2021-10-13,11.51,11.7,11.5,11.56,75000,False
2021-10-14,11.5,11.65,11.5,11.51,42000,False
2021-10-15,11.6,11.75,11.6,11.68,72000,False
2021-10-18,11.86,11.86,11.6,11.61,21500,False
2021-10-20,11.7,11.73,11.6,11.6,388500,False
2021-10-21,11.7,11.85,11.6,11.66,441000,False
2021-10-22,11.93,11.93,11.75,11.8,33500,False
2021-10-25,11.92,11.93,11.7,11.81,142000,False
2021-10-26,11.89,11.89,11.7,11.81,18000,False
2021-10-27,11.89,11.9,11.71,11.9,12000,False
2021-10-28,11.7,11.7,11.6,11.7,189000,False
2021-10-29,11.65,11.65,11.61,11.65,166000,False
2021-11-01,11.65,11.8,11.61,11.79,76500,False
2021-11-02,11.79,11.79,11.66,11.66,23500,False
2021-11-03,11.66,11.75,11.65,11.66,66000,False
2021-11-04,11.93,11.93,11.67,11.77,26500,False
2021-11-05,11.81,11.88,11.66,11.72,32000,False
2021-11-08,11.82,11.9,11.71,11.74,80500,False
2021-11-09,11.74,11.82,11.61,11.64,261500,False
2021-11-10,11.55,11.99,11.5,11.65,463000,False
2021-11-11,11.65,11.83,11.65,11.7,1342000,False
2021-11-12,11.56,11.75,11.56,11.68,32500,False
2021-11-15,11.7,11.73,11.61,11.65,20500,False
2021-11-16,11.8,11.8,11.61,11.71,73000,False
2021-11-17,11.62,11.7,11.62,11.66,38000,False
2021-11-18,11.61,11.73,11.6,11.68,53500,False
2021-11-19,11.74,11.74,11.7,11.71,5000,False
2021-11-22,11.89,11.89,11.64,11.65,130500,False
2021-11-23,11.71,11.71,11.61,11.65,194000,False
2021-11-24,11.55,11.61,11.55,11.58,63000,False
2021-11-25,11.83,11.84,11.63,11.71,121000,False
2021-11-26,11.62,11.84,11.62,11.78,65000,False
2021-11-29,11.8,12.14,11.78,12.01,764000,False
2021-11-30,12.05,12.05,11.9,12.0,584000,False
2021-12-01,11.8,12.0,11.8,12.0,736500,False
2021-12-02,11.9,12.2,11.46,11.7,29583500,False
2021-12-03,11.51,12.19,11.51,12.02,762500,False
2021-12-06,11.71,12.02,11.71,11.92,35500,False
2021-12-07,11.96,12.0,11.9,12.0,60500,False
2021-12-08,12.05,12.1,12.02,12.07,22500,False
2021-12-09,12.04,12.04,11.98,12.0,35500,False
2021-12-10,11.97,11.99,11.79,11.99,57500,False
2021-12-13,11.9,12.14,11.87,12.0,99500,False
2021-12-14,11.95,12.01,11.95,12.01,124000,False
2021-12-15,11.97,12.05,11.97,12.01,108500,False
2021-12-16,12.02,12.2,12.0,12.15,124500,False
2021-12-17,12.01,12.17,12.0,12.15,17000,False
2021-12-20,12.15,12.18,12.0,12.18,42000,False
2021-12-21,12.19,12.19,12.01,12.01,6000,False
2021-12-22,12.15,12.15,12.1,12.1,34500,False
2021-12-23,12.15,12.15,12.1,12.1,40500,False
2021-12-24,12.2,12.2,12.0,12.11,156500,False
2021-12-27,12.18,12.28,12.16,12.25,2120500,False
2021-12-28,12.25,12.35,12.25,12.25,14000,False
2021-12-29,12.25,12.35,12.25,12.27,51500,False
2021-12-30,12.34,12.34,12.1,12.1,52000,False
2021-12-31,12.45,12.45,12.13,12.16,18500,False
2022-01-03,12.37,12.38,12.3,12.3,104500,False
2022-01-04,12.33,12.39,12.25,12.26,62500,False
2022-01-05,12.3,12.45,12.29,12.34,18500,False
2022-01-06,12.35,12.4,12.3,12.3,79500,False
2022-01-07,12.31,12.47,12.25,12.25,77500,False
2022-01-10,12.31,12.42,12.25,12.4,226500,False
2022-01-11,12.72,12.72,12.4,12.45,122500,False
2022-01-12,12.45,12.5,12.41,12.43,131500,False
2022-01-13,12.5,12.5,12.4,12.48,78500,False
2022-01-14,12.31,12.58,12.3,12.5,359500,False
2022-01-17,12.52,12.55,12.45,12.55,37000,False
2022-01-18,12.5,12.57,12.5,12.55,34000,False
2022-01-19,12.6,12.75,12.5,12.6,515000,False
2022-01-20,12.6,12.69,12.6,12.66,30000,False
2022-01-21,12.79,13.0,12.69,12.95,400000,False
2022-01-24,12.9,13.32,12.9,13.1,213000,False
2022-01-25,13.2,13.2,12.85,12.93,97000,False
2022-01-26,12.79,13.0,12.79,12.94,29000,False
2022-01-27,13.0,13.0,12.95,12.98,50500,False
2022-01-28,13.39,13.39,12.95,13.05,30500,False
2022-01-31,12.6,13.1,12.6,13.01,270500,False
2022-02-01,13.0,13.29,13.0,13.14,235500,False
2022-02-02,12.99,13.08,12.74,13.0,288500,False
2022-02-03,13.0,13.0,12.9,12.99,72000,False
2022-02-04,12.99,13.0,12.92,12.98,206000,False
2022-02-07,13.0,13.0,12.99,12.99,172000,False
2022-02-08,13.0,13.0,12.85,12.96,391500,False
2022-02-09,13.0,13.0,12.93,12.95,532500,False
2022-02-10,12.9,13.0,12.86,12.89,409000,False
2022-02-11,12.81,13.0,12.81,12.98,5400000,False
2022-02-14,12.99,12.99,12.89,12.96,66000,False
2022-02-15,13.25,13.25,12.86,12.99,19000,False
2022-02-16,12.99,13.0,12.95,12.95,78500,False
2022-02-17,13.14,13.14,12.9,13.04,110500,False
2022-02-18,13.05,13.3,13.05,13.25,276000,False
2022-02-21,13.2,13.88,13.11,13.56,3031500,False
2022-02-22,13.33,13.85,13.33,13.8,126000,False
2022-02-23,13.89,14.75,13.75,14.49,358500,False
2022-02-24,14.44,14.44,13.8,14.22,225000,False
2022-02-25,14.22,14.35,13.52,14.0,172000,False
2022-02-28,13.9,14.0,13.6,13.63,170000,False
2022-03-01,13.8,13.89,13.65,13.81,106500,False
2022-03-02,13.92,13.92,13.71,13.72,73000,False
2022-03-03,13.8,14.08,13.79,14.02,109000,False
2022-03-04,14.05,14.15,13.91,13.96,131000,False
2022-03-07,13.96,14.47,13.8,14.34,33000,False
2022-03-08,14.3,14.3,14.0,14.05,46500,False
2022-03-09,14.24,14.24,13.91,13.97,48000,False
2022-03-10,14.01,14.18,14.01,14.1,25000,False
2022-03-11,14.2,14.2,14.01,14.09,23000,False
2022-03-14,14.22,14.22,13.88,14.04,26000,False
2022-03-15,14.0,14.1,13.91,14.0,43000,False
2022-03-16,14.01,14.09,13.71,14.01,96500,False
2022-03-17,13.94,14.15,13.86,14.0,23000,False
2022-03-18,14.25,14.25,14.16,14.25,82000,False
2022-03-21,14.01,14.33,14.01,14.3,78000,False
2022-03-22,14.3,14.55,14.13,14.5,213500,False
2022-03-24,14.5,14.88,14.5,14.5,337000,False
2022-03-25,14.5,14.65,14.2,14.25,127500,False
2022-03-28,14.44,14.5,14.3,14.5,5016000,False
2022-03-29,14.5,14.5,14.3,14.48,30500,False
2022-03-30,14.48,14.74,14.43,14.74,35000,False
2022-03-31,14.75,15.0,14.5,14.94,5152500,False
2022-04-01,14.85,15.2,14.85,15.08,113500,False
2022-04-04,15.1,15.48,14.9,14.99,72500,False
2022-04-05,15.44,15.44,15.05,15.06,60000,False
2022-04-06,15.24,15.25,15.16,15.24,47500,False
2022-04-07,15.2,15.45,15.2,15.25,24000,False
2022-04-08,15.2,15.24,14.98,15.19,88000,False
2022-04-11,15.34,15.35,15.0,15.15,231000,False
2022-04-12,15.15,15.15,14.51,14.95,126000,False
2022-04-13,15.0,15.0,14.89,14.91,94000,False
2022-04-14,14.92,15.15,14.88,14.95,3560500,False
2022-04-15,15.17,15.17,14.95,15.03,2555000,False
2022-04-18,15.03,15.1,14.9,14.97,142500,False
2022-04-19,15.04,15.05,14.87,14.99,45500,False
2022-04-20,15.09,15.13,14.95,14.99,78500,False
2022-04-21,14.9,15.0,14.86,14.89,62000,False
2022-04-22,14.9,15.1,14.9,15.05,61500,False
2022-04-25,15.2,15.2,14.66,15.0,78500,False
2022-04-26,15.1,15.1,14.9,14.91,29000,False
2022-04-27,14.91,14.91,14.86,14.87,31000,False
2022-04-28,14.65,14.91,14.5,14.67,315000,False
2022-05-06,14.41,15.1,14.17,14.85,143500,False
2022-05-09,14.85,14.9,14.5,14.73,117000,False
2022-05-10,14.9,14.9,14.56,14.65,59000,False
2022-05-11,14.83,14.83,14.0,14.25,226000,False
2022-05-12,14.6,14.78,14.11,14.49,150500,False
2022-05-13,14.64,14.83,14.56,14.6,58000,False
2022-05-16,14.3,14.79,14.3,14.5,266500,False
2022-05-17,14.5,14.5,14.26,14.33,146500,False
2022-05-18,14.38,14.49,14.23,14.24,618000,False
2022-05-19,14.18,14.41,14.18,14.37,737000,False
2022-05-20,14.2,14.6,14.2,14.53,712000,False
2022-05-23,14.45,14.65,14.45,14.6,696500,False
2022-05-24,14.79,14.79,14.4,14.4,739500,False
2022-05-25,14.4,14.48,14.21,14.42,506000,False
2022-05-26,14.3,14.5,14.13,14.35,272000,False
2022-05-27,14.5,14.59,14.32,14.5,31500,False
2022-05-30,14.4,14.5,14.4,14.48,20500,False
2022-05-31,14.51,14.55,14.31,14.47,56500,False
2022-06-01,14.46,14.5,14.46,14.47,43000,False
2022-06-02,14.25,14.49,14.0,14.04,204500,False
2022-06-03,14.0,14.25,13.8,13.88,44500,False
2022-06-06,13.85,13.85,13.51,13.74,68000,False
2022-06-07,13.6,13.9,13.51,13.59,59500,False
2022-06-08,13.5,13.77,13.5,13.67,48000,False
2022-06-09,13.77,13.77,13.56,13.7,46500,False
2022-06-10,13.72,13.72,13.7,13.7,15500,False
2022-06-13,13.7,13.7,13.62,13.69,33000,False
2022-06-14,13.7,13.7,13.68,13.68,15000,False
2022-06-15,13.88,13.88,13.6,13.69,39500,False
2022-06-16,13.8,13.89,13.66,13.85,28000,False
2022-06-17,13.89,13.89,13.59,13.71,278000,False
2022-06-20,13.92,13.92,13.65,13.73,39000,False
2022-06-21,13.75,13.75,13.6,13.63,128500,False
2022-06-22,13.87,13.87,13.65,13.82,13500,False
2022-06-23,13.7,13.98,13.7,13.9,40000,False
2022-06-24,14.0,14.0,13.52,13.59,99500,False
2022-06-27,13.6,13.7,13.6,13.6,43000,False
2022-06-28,13.65,13.65,13.42,13.45,197500,False
2022-06-29,13.41,13.7,13.4,13.55,16500,False
2022-06-30,13.7,13.7,13.52,13.52,71500,False
2022-07-01,13.67,13.71,13.65,13.71,9000,False
2022-07-04,13.8,13.9,13.29,13.37,128500,False
2022-07-05,13.5,13.55,13.37,13.44,35000,False
2022-07-06,13.6,13.74,13.6,13.7,53500,False
