date,open,high,low,close,volume,is_anomaly
2021-09-13,24.5,25.3,24.5,24.76,3258500,False
2021-09-14,24.7,24.7,23.75,24.38,919500,False
2021-09-15,24.4,26.0,24.32,25.74,1173500,False
2021-09-16,25.8,27.67,25.8,27.67,1724000,False
2021-09-17,28.79,29.74,27.05,27.59,4175500,False
2021-09-20,27.7,27.7,26.03,26.2,1701500,False
2021-09-21,26.4,27.5,26.28,26.56,742000,False
2021-09-22,26.49,27.05,25.5,26.98,3306000,False
2021-09-23,26.99,27.25,25.8,26.01,1274500,False
2021-09-24,25.75,26.5,25.0,25.58,1686000,False
2021-09-27,25.8,26.15,25.5,26.14,480000,False
2021-09-28,26.15,26.88,26.15,26.5,1217500,False
2021-09-29,26.3,26.6,25.25,25.9,175500,False
2021-09-30,25.9,26.5,25.76,26.32,384000,False
2021-10-01,26.0,27.45,26.0,26.96,2410500,False
2021-10-04,26.97,27.0,26.25,26.92,598500,False
2021-10-05,26.5,27.51,26.35,26.56,695500,False
2021-10-06,26.31,26.45,25.6,26.05,985500,False
2021-10-07,26.01,26.95,26.0,26.43,108500,False
2021-10-08,26.05,26.5,26.0,26.39,62000,False
2021-10-11,26.49,26.5,25.5,25.82,141000,False
2021-10-12,25.5,26.6,25.02,26.5,941500,False
2021-10-13,26.5,28.2,26.0,27.03,11617000,False
2021-10-14,27.18,27.98,27.01,27.31,266500,False
2021-10-15,27.25,27.3,26.2,26.5,858500,False
2021-10-18,26.8,27.25,26.06,26.61,966500,False
2021-10-20,26.55,27.15,26.55,26.94,1675500,False
2021-10-21,26.89,28.0,26.62,27.12,1602500,False
2021-10-22,27.13,27.15,26.25,26.82,373000,False
2021-10-25,26.5,26.82,26.0,26.36,422500,False
2021-10-26,25.56,26.85,25.56,26.65,134000,False
2021-10-27,26.85,27.0,26.66,26.92,82000,False
2021-10-28,26.89,27.75,26.61,27.38,361000,False
2021-10-29,27.99,28.31,27.0,28.21,676500,False
2021-11-01,28.4,28.5,27.76,28.49,577500,False
2021-11-02,28.49,29.15,28.2,28.66,2439500,False
2021-11-03,28.35,28.9,27.61,27.93,817000,False
2021-11-04,27.52,28.89,27.52,28.5,1100500,False
2021-11-05,28.5,28.5,27.45,27.55,523000,False
2021-11-08,27.84,27.84,27.25,27.35,487000,False
2021-11-09,27.64,27.75,26.76,27.02,1180000,False
2021-11-10,27.0,27.39,26.37,26.5,1139000,False
2021-11-11,27.28,27.28,25.75,25.86,816000,False
2021-11-12,25.81,25.9,25.0,25.36,728000,False
2021-11-15,24.75,25.51,24.25,25.35,211000,False
2021-11-16,25.5,26.4,25.16,25.8,705500,False
2021-11-17,25.7,26.7,25.7,26.01,1103000,False
2021-11-18,26.0,26.0,25.3,25.67,434500,False
2021-11-19,25.93,26.5,25.63,26.2,1204500,False
2021-11-22,26.76,27.7,25.3,25.93,1942000,False
2021-11-23,25.93,25.95,24.56,25.33,987000,False
2021-11-24,25.4,25.4,24.5,24.64,772000,False
2021-11-25,24.64,24.65,24.1,24.39,1136500,False
2021-11-26,24.11,24.56,24.0,24.06,973500,False
2021-11-29,23.76,25.73,23.76,25.15,1238500,False
2021-11-30,26.16,26.16,24.3,24.56,923500,False
2021-12-01,24.99,24.99,24.0,24.3,867500,False
2021-12-02,24.72,24.72,22.48,22.87,1202500,False
2021-12-03,22.99,23.6,22.5,23.24,1651000,False
2021-12-06,23.2,23.8,23.03,23.68,210500,False
2021-12-07,24.1,25.45,23.75,25.02,1265500,False
2021-12-08,25.5,25.55,24.75,24.97,437500,False
2021-12-09,25.0,25.0,24.01,24.25,684000,False
2021-12-10,23.9,24.0,23.5,23.7,155500,False
2021-12-13,23.7,24.1,23.13,23.25,80000,False
2021-12-14,23.5,23.95,23.25,23.75,206500,False
2021-12-15,24.0,24.9,24.0,24.15,497500,False
2021-12-16,24.01,24.25,23.51,23.69,94000,False
2021-12-17,24.0,24.24,23.0,24.03,249500,False
2021-12-20,23.75,24.25,23.75,23.79,211500,False
2021-12-21,24.0,24.0,23.5,23.63,100000,False
2021-12-22,23.25,24.29,23.25,23.73,306500,False
2021-12-23,24.13,24.25,23.6,23.67,138500,False
2021-12-24,23.95,23.99,23.5,23.68,42000,False
2021-12-27,23.89,23.89,22.8,22.9,616500,False
2021-12-28,23.0,23.65,22.8,23.11,609500,False
2021-12-29,23.35,23.3,22.6,22.67,354500,True
2021-12-30,22.9,23.28,22.4,23.0,2156500,False
2021-12-31,23.1,23.47,22.65,23.0,69500,False
2022-01-03,23.49,23.7,23.19,23.61,126500,False
2022-01-04,23.42,24.25,23.42,24.05,1021500,False
2022-01-05,24.24,24.25,23.82,24.0,392000,False
2022-01-06,23.99,23.99,23.76,23.77,8000,False
2022-01-07,23.5,24.24,23.5,24.0,518000,False
2022-01-10,24.3,25.8,24.3,25.8,2010000,False
2022-01-11,26.65,27.1,26.02,26.75,2702500,False
2022-01-12,26.75,27.45,26.4,26.52,2562000,False
2022-01-13,26.5,26.9,26.05,26.43,608500,False
2022-01-14,26.2,26.89,26.2,26.52,171000,False
2022-01-17,25.81,27.25,25.81,26.66,1571500,False
2022-01-18,26.99,26.99,26.6,26.75,480000,False
2022-01-19,26.8,26.8,26.4,26.53,58000,False
2022-01-20,26.99,26.75,25.6,26.1,381000,True
2022-01-21,26.5,26.5,26.01,26.13,985500,False
2022-01-24,26.2,26.2,26.0,26.2,58500,False
2022-01-25,26.0,26.5,25.7,25.84,1146000,False
2022-01-26,26.5,26.5,25.71,25.85,638000,False
2022-01-27,26.1,26.1,25.5,25.7,263500,False
2022-01-28,25.7,27.0,25.56,26.56,3993500,False
2022-01-31,26.99,27.0,26.56,26.8,1316000,False
2022-02-01,26.9,27.3,26.65,27.11,1177000,False
2022-02-02,27.27,28.19,27.25,27.97,1966000,False
2022-02-03,28.4,28.4,27.3,27.92,1256000,False
2022-02-04,27.92,28.0,27.4,27.6,88000,False
2022-02-07,27.6,27.89,27.0,27.04,508000,False
2022-02-08,26.78,26.99,26.5,26.58,242500,False
2022-02-09,26.62,27.05,26.3,26.47,525000,False
2022-02-10,26.61,26.97,26.0,26.04,361500,False
2022-02-11,26.0,26.9,26.0,26.5,999500,False
2022-02-14,26.71,26.8,26.3,26.5,327500,False
2022-02-15,26.5,27.0,26.5,26.9,3967500,False
2022-02-16,27.05,27.29,26.8,27.0,10139000,False
2022-02-17,26.98,27.0,26.26,26.52,211500,False
2022-02-18,26.36,26.85,26.1,26.44,181000,False
2022-02-21,26.01,26.74,26.0,26.26,56000,False
2022-02-22,25.51,26.9,25.0,26.21,764500,False
2022-02-23,26.11,26.5,25.61,25.9,1145500,False
2022-02-24,25.51,26.1,24.76,25.0,1092000,False
2022-02-25,24.87,25.57,24.8,25.0,716500,False
2022-02-28,25.0,25.0,24.9,24.98,567000,False
2022-03-01,24.9,25.27,24.9,25.22,190500,False
2022-03-02,24.75,25.5,24.75,25.27,323000,False
2022-03-03,25.49,25.85,25.2,25.5,112500,False
2022-03-04,25.45,25.5,25.0,25.07,39000,False
2022-03-07,24.75,25.0,24.24,24.85,210500,False
2022-03-08,25.0,25.1,25.0,25.0,76000,False
2022-03-09,24.51,25.2,24.51,25.0,28500,False
2022-03-10,25.2,26.35,25.1,25.8,496500,False
2022-03-11,25.3,26.0,25.21,25.67,195000,False
2022-03-14,25.6,25.9,25.2,25.6,147000,False
2022-03-15,25.5,25.98,25.5,25.5,83500,False
2022-03-16,25.75,26.14,25.6,26.02,582500,False
2022-03-17,25.9,25.9,25.7,25.85,14000,False
2022-03-18,25.55,25.55,24.84,25.0,145000,False
2022-03-21,24.8,25.0,24.75,24.82,66500,False
2022-03-22,24.85,25.0,24.65,24.75,80500,False
2022-03-24,24.75,25.75,24.5,25.09,357000,False
2022-03-25,25.35,25.75,24.9,25.01,1089000,False
2022-03-28,25.4,25.5,24.9,25.46,446500,False
2022-03-29,25.45,25.7,25.25,25.65,357000,False
2022-03-30,25.05,26.16,25.05,26.0,1223000,False
2022-03-31,26.4,26.45,25.62,26.32,235000,False
2022-04-01,26.3,27.0,26.3,26.82,315500,False
2022-04-04,26.0,26.48,25.45,25.54,219000,False
2022-04-05,26.0,27.0,25.99,26.23,453000,False
2022-04-06,25.7,26.5,25.7,26.5,148000,False
2022-04-07,26.5,26.79,26.35,26.76,13500,False
2022-04-08,27.5,27.9,26.9,27.73,621000,False
2022-04-11,28.5,28.69,28.1,28.38,345500,False
2022-04-12,28.2,28.74,27.51,27.87,457000,False
2022-04-13,28.19,29.0,27.52,27.76,434000,False
2022-04-14,27.4,28.0,27.25,27.8,205500,False
2022-04-15,27.51,27.99,26.4,26.57,1128500,False
2022-04-18,27.25,27.25,25.99,26.02,202000,False
2022-04-19,25.95,26.4,25.9,26.0,267000,False
2022-04-20,25.81,26.25,25.6,26.25,138500,False
2022-04-21,26.1,26.25,25.5,25.99,22000,False
2022-04-22,25.6,26.0,25.5,25.55,55000,False
2022-04-25,26.0,26.4,25.6,25.89,277500,False
2022-04-26,25.5,26.0,25.25,26.0,79500,False
2022-04-27,25.95,26.0,25.5,25.77,72000,False
2022-04-28,25.4,25.6,24.8,25.14,826500,False
2022-05-06,25.2,25.2,24.75,24.8,91000,False
2022-05-09,24.8,24.8,22.94,22.94,804500,False
2022-05-10,23.02,23.5,22.85,23.24,699500,False
