date,open,high,low,close,volume,is_anomaly
2021-09-13,19.3,19.33,18.9,19.0,796500,False
2021-09-14,19.19,19.19,18.43,18.56,2821500,False
2021-09-15,18.61,18.65,18.34,18.53,609000,False
2021-09-16,18.56,18.85,18.4,18.41,657500,False
2021-09-17,18.73,18.85,17.87,18.04,7478000,False
2021-09-20,18.04,18.04,17.53,17.85,1073000,False
2021-09-21,17.7,17.9,17.3,17.39,5113500,False
2021-09-22,17.4,17.99,17.25,17.9,6069000,False
2021-09-23,18.13,18.13,17.58,17.84,2833000,False
2021-09-24,17.88,17.88,17.4,17.46,1495500,False
2021-09-27,17.5,17.72,17.01,17.5,707000,False
2021-09-28,17.47,17.71,16.96,17.32,975500,False
2021-09-29,17.31,17.49,16.7,17.0,1967000,False
2021-09-30,17.0,18.17,16.75,17.95,2469500,False
2021-10-01,17.85,17.88,17.46,17.6,829000,False
2021-10-04,17.5,17.65,17.22,17.61,592500,False
2021-10-05,17.46,17.58,16.52,16.71,3315000,False
2021-10-06,16.71,16.8,16.16,16.37,1565000,False
2021-10-07,16.9,17.55,16.9,17.31,2556500,False
2021-10-08,17.34,17.35,16.75,16.83,776500,False
2021-10-11,16.76,16.76,16.1,16.3,866000,False
2021-10-12,16.15,17.19,15.99,16.76,1929500,False
2021-10-13,16.78,16.85,16.1,16.18,917500,False
2021-10-14,16.05,17.39,16.0,17.39,3256000,False
2021-10-15,17.7,17.93,17.27,17.51,1287500,False
2021-10-18,17.45,17.51,16.8,16.95,405500,False
2021-10-20,17.2,17.94,17.2,17.7,1971500,False
2021-10-21,17.94,18.39,17.7,18.03,1911000,False
2021-10-22,18.28,19.1,18.28,18.44,4321500,False
2021-10-25,19.1,19.1,17.76,17.95,576500,False
2021-10-26,18.0,18.25,17.41,17.52,1671500,False
2021-10-27,17.98,18.6,17.65,17.9,1970500,False
2021-10-28,18.43,19.24,18.3,19.22,7615500,False
2021-10-29,19.5,20.2,19.06,20.04,7627500,False
2021-11-01,20.65,21.54,20.65,21.49,13626500,False
2021-11-02,21.9,22.09,20.89,21.01,9644500,False
2021-11-03,21.29,21.29,20.74,20.82,3561500,False
2021-11-04,20.69,20.94,20.24,20.59,2924500,False
2021-11-05,20.58,21.23,20.41,20.57,4457000,False
2021-11-08,20.5,20.7,19.96,20.09,1690000,False
2021-11-09,20.11,20.11,18.75,18.97,4864000,False
2021-11-10,19.1,19.2,18.3,18.81,5465000,False
2021-11-11,18.85,19.05,18.5,18.53,1083000,False
2021-11-12,18.63,18.63,18.2,18.47,1257000,False
2021-11-15,18.5,18.57,18.11,18.2,1181000,False
2021-11-16,18.15,19.0,18.15,18.72,2079500,False
2021-11-17,18.55,18.85,18.3,18.49,968000,False
2021-11-18,18.51,19.62,18.51,19.04,10452500,False
2021-11-19,19.28,19.6,18.8,19.14,4331500,False
2021-11-22,19.15,19.29,18.58,18.72,1452000,False
2021-11-23,18.8,18.9,17.8,17.98,2379500,False
2021-11-24,17.85,18.39,17.7,17.91,2191500,False
2021-11-25,17.85,17.85,17.3,17.58,2971000,False
2021-11-26,17.52,17.93,17.3,17.64,2636000,False
2021-11-29,17.79,18.88,17.7,18.67,3103000,False
2021-11-30,18.93,19.18,18.25,18.46,1658000,False
2021-12-01,18.5,19.31,18.5,18.9,4578000,False
