date,open,high,low,close,volume,is_anomaly
2021-09-13,106.49,106.5,105.4,106.0,769231,False
2021-09-14,106.0,106.69,105.85,106.56,654687,False
2021-09-15,106.89,106.89,106.1,106.54,749368,False
2021-09-16,106.1,106.7,106.05,106.46,267156,False
2021-09-17,106.0,109.5,105.99,109.04,1850620,False
2021-09-20,106.0,106.44,105.1,105.96,292267,False
2021-09-21,106.0,106.0,105.01,105.13,109507,False
2021-09-22,105.11,105.24,104.0,104.27,315685,False
2021-09-23,105.69,105.69,104.0,104.33,300541,False
2021-09-24,105.39,105.39,103.8,104.01,349184,False
2021-09-27,104.69,105.15,104.6,105.1,556450,False
2021-09-28,105.53,105.53,104.6,104.95,498215,False
2021-09-29,105.0,105.38,103.75,104.1,2193396,False
2021-09-30,104.39,104.39,101.55,102.06,1461163,False
2021-10-01,102.0,102.5,101.26,101.47,452986,False
2021-10-04,101.47,101.47,100.5,100.81,954061,False
2021-10-05,101.0,101.05,99.5,99.65,1593133,False
2021-10-06,99.08,100.0,99.08,99.32,458614,False
2021-10-07,99.9,100.0,99.01,99.82,840642,False
2021-10-08,99.9,100.0,98.4,98.78,1230782,False
2021-10-11,99.0,99.0,97.0,97.28,1037945,False
2021-10-12,97.21,97.5,95.4,96.09,2306128,False
2021-10-13,96.8,97.1,96.01,96.43,3052154,False
2021-10-14,96.25,101.9,96.25,99.47,880796,False
2021-10-15,99.5,101.5,97.51,100.48,448944,False
2021-10-18,100.5,100.5,98.4,99.18,865481,False
2021-10-20,100.49,100.55,99.05,99.71,722796,False
2021-10-21,99.84,100.63,99.5,99.9,4940251,False
2021-10-22,100.8,100.85,99.0,99.22,1216962,False
2021-10-25,99.75,100.25,99.75,99.97,184163,False
2021-10-26,99.8,100.5,99.79,100.11,320509,False
2021-10-27,100.45,103.0,100.0,102.12,1156362,False
2021-10-28,102.01,102.5,101.83,102.4,361594,False
2021-10-29,102.25,103.15,102.25,102.79,1340401,False
2021-11-01,103.0,104.1,103.0,103.98,1502190,False
2021-11-02,103.7,104.15,103.7,103.99,1232905,False
2021-11-03,104.5,105.0,103.75,104.91,1381543,False
2021-11-04,104.95,105.58,104.5,105.2,822730,False
2021-11-05,101.99,102.5,101.0,101.76,667451,False
2021-11-08,101.5,104.0,101.5,103.58,1116785,False
2021-11-09,103.89,105.1,103.8,104.22,2145962,False
2021-11-10,104.91,105.15,104.0,104.85,764631,False
2021-11-11,104.56,105.99,104.55,105.57,780033,False
2021-11-12,105.9,105.95,104.25,104.57,506321,False
2021-11-15,104.5,105.99,104.0,105.7,777170,False
2021-11-16,105.75,106.2,105.4,105.97,962951,False
2021-11-17,105.97,106.5,105.4,106.07,746088,False
2021-11-18,106.35,106.5,105.01,105.73,1101426,False
2021-11-19,105.09,106.8,105.09,106.29,1472457,False
2021-11-22,106.0,106.0,104.75,105.03,387223,False
2021-11-23,105.5,105.5,104.01,104.1,470257,False
2021-11-24,104.49,104.49,101.0,101.03,1233337,False
2021-11-25,102.49,102.49,100.05,100.14,1007375,False
2021-11-26,100.9,101.75,99.9,100.83,715598,False
2021-11-29,100.83,103.25,100.21,102.63,741128,False
2021-11-30,102.65,103.2,100.1,100.81,10728365,False
2021-12-01,100.99,102.02,100.2,101.65,1175149,False
2021-12-02,101.9,101.9,98.06,99.05,1680465,False
2021-12-03,99.01,101.25,98.0,99.38,1536719,False
2021-12-06,100.0,100.3,98.55,98.61,454995,False
2021-12-07,99.8,100.0,99.0,99.21,780006,False
2021-12-08,99.99,99.99,98.0,98.88,649092,False
2021-12-09,99.0,100.0,98.5,99.76,211230,False
2021-12-10,100.0,101.2,99.5,100.55,429324,False
2021-12-13,100.75,101.0,99.89,100.42,473128,False
2021-12-14,100.2,100.9,100.05,100.38,357369,False
2021-12-15,100.85,101.2,100.25,100.61,795547,False
2021-12-16,100.5,100.5,99.24,99.45,547028,False
2021-12-17,99.01,100.0,98.6,99.04,1123166,False
2021-12-20,99.65,99.9,98.75,99.06,1097887,False
2021-12-21,99.1,99.75,98.5,98.98,469785,False
2021-12-22,99.0,99.49,98.9,99.41,283791,False
2021-12-23,99.25,99.55,98.99,98.99,985160,False
2021-12-24,99.49,99.49,98.95,98.99,219565,False
2021-12-27,99.39,99.39,98.0,98.22,407004,False
2021-12-28,98.2,98.74,97.25,97.59,704103,False
2021-12-29,97.6,98.6,97.6,98.06,480311,False
2021-12-30,98.45,99.0,98.0,98.5,306942,False
2021-12-31,98.75,100.9,98.75,100.26,780087,False
2022-01-03,100.27,101.5,100.0,101.25,341757,False
2022-01-04,101.65,101.75,100.7,101.04,757324,False
2022-01-05,101.0,101.89,100.6,101.32,304109,False
2022-01-06,101.15,102.0,101.0,101.77,907855,False
2022-01-07,101.5,103.98,101.5,103.75,1003110,False
2022-01-10,103.8,104.89,103.1,103.71,978888,False
2022-01-11,103.25,104.55,103.25,103.99,646293,False
2022-01-12,103.35,104.99,103.35,104.69,761744,False
2022-01-13,104.5,104.69,103.51,104.2,386159,False
2022-01-14,104.2,105.25,104.0,104.97,737440,False
2022-01-17,104.99,105.55,104.65,105.37,509980,False
2022-01-18,105.15,105.49,105.0,105.3,367877,False
2022-01-19,104.5,105.3,104.02,104.2,157210,False
2022-01-20,103.85,104.3,103.5,104.09,306981,False
2022-01-21,104.09,104.5,103.7,104.13,333382,False
2022-01-24,104.0,105.7,104.0,105.54,969123,False
2022-01-25,105.7,107.0,105.25,106.63,1349241,False
2022-01-26,107.09,107.09,105.51,105.94,370904,False
2022-01-27,105.6,106.0,105.51,105.66,464406,False
2022-01-28,106.24,106.4,105.69,106.0,224451,False
