date,open,high,low,close,volume,is_anomaly
2021-09-13,117.4,118.5,113.5,114.59,316600,False
2021-09-14,115.0,115.0,108.11,111.21,357800,False
2021-09-15,113.25,113.25,107.91,110.13,290400,False
2021-09-16,108.2,111.0,108.0,109.44,175700,False
2021-09-17,110.1,111.44,106.56,107.31,359800,False
2021-09-20,107.0,107.47,102.71,103.53,337500,False
2021-09-21,103.74,104.5,95.99,97.44,620200,False
2021-09-22,97.99,99.0,91.0,97.8,1057600,False
2021-09-23,99.97,99.97,93.0,96.1,254900,False
2021-09-24,93.12,97.0,92.0,93.8,702000,False
2021-09-27,93.01,94.8,90.01,92.96,236400,False
2021-09-28,93.01,95.0,91.0,93.75,707500,False
2021-09-29,93.75,94.8,86.72,87.24,870000,False
2021-09-30,87.0,87.5,84.0,87.13,523500,False
2021-10-01,87.65,90.0,87.35,88.53,408700,False
2021-10-04,88.0,89.8,85.41,88.76,420600,False
2021-10-05,89.0,94.75,89.0,93.04,1471600,False
2021-10-06,92.01,92.68,88.21,89.26,364400,False
2021-10-07,90.8,91.8,87.75,88.22,376400,False
2021-10-08,87.1,88.89,85.4,86.25,257800,False
2021-10-11,85.02,85.25,79.86,80.1,385200,False
2021-10-12,80.1,80.1,75.75,77.07,512300,False
2021-10-13,78.1,79.39,71.29,71.38,524200,False
2021-10-14,71.5,76.29,70.0,75.42,527600,False
2021-10-15,76.4,76.45,73.5,75.39,457400,False
2021-10-18,73.0,74.85,72.05,72.54,261900,False
2021-10-20,73.4,74.66,73.0,74.19,208500,False
2021-10-21,74.01,77.35,73.66,74.92,613300,False
2021-10-22,73.0,75.05,71.51,73.39,214400,False
2021-10-25,72.28,74.48,72.28,73.97,39900,False
2021-10-26,74.0,75.0,73.5,74.05,65300,False
2021-10-27,74.5,76.4,74.5,75.02,125800,False
2021-10-28,75.02,76.8,72.65,73.32,296700,False
2021-10-29,73.5,78.8,73.0,77.4,965800,False
2021-11-01,79.5,83.2,79.5,83.2,836100,False
2021-11-02,86.1,88.0,84.64,87.42,1475300,False
2021-11-03,87.42,90.7,85.2,88.24,1264200,False
2021-11-04,88.4,90.89,86.31,88.88,826100,False
2021-11-05,89.29,95.54,86.01,92.99,2278200,False
2021-11-08,92.9,93.49,89.0,90.18,498800,False
2021-11-09,89.11,90.0,83.42,83.48,793400,False
2021-11-10,84.18,85.5,83.48,83.94,403900,False
2021-11-11,84.49,85.9,81.1,82.0,243100,False
2021-11-12,80.5,81.99,78.11,79.81,215900,False
2021-11-15,80.0,80.59,78.51,80.02,158500,False
2021-11-16,82.99,85.75,81.01,85.18,557900,False
2021-11-17,85.0,85.99,81.65,82.49,225700,False
