date,open,high,low,close,volume,is_anomaly
2021-09-13,295.4,299.7,294.05,295.41,86400,False
2021-09-14,295.41,298.0,287.1,293.6,93300,False
2021-09-15,294.99,296.0,286.8,288.74,79500,False
2021-09-16,287.02,290.0,285.0,285.58,71000,False
2021-09-17,285.1,287.5,280.01,284.0,60500,False
2021-09-20,283.5,294.0,277.0,288.8,61500,False
2021-09-21,289.86,303.33,267.14,277.98,666900,False
2021-09-22,278.0,279.9,263.0,273.82,108000,False
2021-09-23,275.0,275.0,265.0,266.97,96900,False
2021-09-24,263.0,266.99,250.0,260.97,458200,False
2021-09-27,259.0,262.0,249.5,254.78,350200,False
2021-09-28,255.5,262.0,245.35,256.8,622900,False
2021-09-29,256.8,260.0,244.0,254.58,283000,False
2021-09-30,252.5,269.99,247.0,263.46,297800,False
2021-10-01,262.0,282.82,262.0,263.98,157000,False
2021-10-04,262.9,264.0,260.15,262.09,36500,False
2021-10-05,262.2,267.8,257.0,259.54,113700,False
2021-10-06,258.0,258.89,243.0,245.11,161200,False
2021-10-07,246.0,250.0,239.0,242.79,96500,False
2021-10-08,239.1,260.99,237.0,244.47,783500,False
2021-10-11,243.97,244.45,232.05,236.0,107500,False
2021-10-12,234.0,246.0,233.5,242.08,253100,False
2021-10-13,246.5,254.67,241.15,244.84,154800,False
2021-10-14,245.0,255.0,240.0,251.19,374000,False
2021-10-15,249.89,251.0,246.0,247.92,53900,False
2021-10-18,242.0,247.93,236.99,237.72,189400,False
2021-10-20,240.0,242.0,236.52,238.14,109600,False
2021-10-21,239.0,239.0,233.17,234.44,75200,False
2021-10-22,232.25,232.25,226.01,228.51,72300,False
2021-10-25,230.05,230.05,222.65,223.27,25500,False
2021-10-26,224.3,226.0,216.11,220.74,59500,False
2021-10-27,224.47,230.2,222.0,225.53,156500,False
2021-10-28,226.0,230.99,226.0,228.61,105100,False
2021-10-29,230.0,237.0,225.5,235.42,235900,False
2021-11-01,237.99,248.5,237.99,243.42,498600,False
2021-11-02,244.98,251.0,242.0,244.18,255500,False
2021-11-03,244.5,247.33,242.06,244.35,219400,False
2021-11-04,245.51,245.51,240.1,241.42,122300,False
2021-11-05,241.31,247.35,239.0,239.68,468500,False
2021-11-08,241.5,241.5,235.0,236.84,109900,False
2021-11-09,236.0,236.0,225.01,226.82,106200,False
2021-11-10,225.33,232.5,225.25,225.83,102300,False
2021-11-11,229.0,231.5,219.01,220.5,197900,False
2021-11-12,220.5,224.93,212.0,212.51,94300,False
2021-11-15,214.7,215.5,212.0,212.93,90900,False
2021-11-16,214.99,224.94,214.0,222.83,227000,False
2021-11-17,221.11,226.0,215.0,218.17,223500,False
2021-11-18,220.5,224.05,216.4,217.07,159100,False
2021-11-19,217.0,219.7,215.25,216.03,114700,False
2021-11-22,225.0,225.0,212.0,213.2,70900,False
2021-11-23,211.2,220.0,201.21,207.86,354800,False
2021-11-24,203.97,218.0,198.0,199.89,932500,False
2021-11-25,202.0,202.9,197.01,199.71,320700,False
2021-11-26,197.05,208.99,197.05,203.11,279800,False
2021-11-29,203.2,217.9,201.5,212.58,563300,False
2021-11-30,215.8,220.0,209.0,211.42,210000,False
2021-12-01,213.0,218.99,213.0,217.22,257600,False
2021-12-02,215.1,215.1,200.93,201.42,502500,False
2021-12-03,197.02,203.99,193.6,199.96,172900,False
2021-12-06,203.0,204.0,199.0,199.43,54100,False
2021-12-07,200.11,203.89,199.9,203.13,59400,False
2021-12-08,203.0,204.5,201.1,202.82,43700,False
2021-12-09,201.06,201.25,198.0,199.29,64200,False
2021-12-10,198.5,201.55,196.5,198.03,39800,False
2021-12-13,194.5,199.0,194.5,195.02,28500,False
2021-12-14,198.0,199.88,193.58,198.73,62700,False
2021-12-15,200.05,212.0,200.05,208.43,247700,False
2021-12-16,208.51,208.51,200.0,201.02,106500,False
2021-12-17,198.99,206.0,196.05,200.79,123600,False
2021-12-20,200.8,215.84,200.79,214.94,449200,False
2021-12-21,216.02,231.06,216.0,227.27,1420800,False
