date,open,high,low,close,volume,is_anomaly
2021-09-13,8.0,8.0,8.0,8.0,1000,False
2021-09-14,8.0,8.0,7.95,7.95,31000,False
2021-09-15,7.8,7.8,7.8,7.8,500,False
2021-09-16,7.85,7.85,7.85,7.85,500,False
2021-09-17,7.84,7.84,7.83,7.83,4500,False
2021-09-20,7.8,7.9,7.75,7.9,31000,False
2021-09-21,7.75,8.0,7.74,7.74,14000,False
2021-09-22,7.7,7.7,7.7,7.7,3500,False
2021-09-23,7.7,8.0,7.6,8.0,52000,False
2021-09-24,7.6,7.6,7.6,7.6,1000,False
2021-09-28,7.6,7.6,7.6,7.6,8000,False
2021-09-30,7.6,7.79,6.63,7.79,116500,False
2021-10-01,7.99,7.99,7.99,7.99,500,False
2021-10-05,7.9,7.93,7.04,7.93,46000,False
2021-10-06,7.51,8.38,7.51,8.38,1500,False
2021-10-07,7.6,8.0,7.5,8.0,12000,False
2021-10-08,8.19,8.19,8.19,8.19,3000,False
2021-10-13,8.6,8.6,7.55,7.55,1000,False
2021-10-14,7.61,7.99,7.61,7.99,10500,False
2021-10-18,8.6,8.6,8.39,8.39,7000,False
2021-10-20,8.3,8.3,7.4,7.5,15500,False
2021-10-21,7.45,7.45,7.4,7.4,10000,False
2021-10-22,7.61,7.61,7.61,7.61,1000,False
2021-10-25,0.0,0.0,0.0,7.61,0,True
2021-10-26,7.5,7.5,7.4,7.4,6500,False
2021-10-27,8.37,8.37,7.55,7.55,8500,False
2021-10-28,7.4,7.4,7.4,7.4,1000,False
2021-10-29,7.4,7.4,7.01,7.25,44000,False
2021-11-01,7.55,7.55,7.55,7.55,1000,False
2021-11-03,8.24,8.24,7.25,7.45,102500,False
2021-11-04,7.4,7.4,7.14,7.4,11000,False
2021-11-05,7.4,7.59,7.4,7.59,5500,False
2021-11-08,7.4,7.4,7.4,7.4,55000,False
2021-11-09,7.4,7.4,7.3,7.3,35000,False
2021-11-10,7.25,7.25,7.25,7.25,7000,False
2021-11-12,7.25,7.25,7.25,7.25,6500,False
2021-11-15,7.25,7.26,7.25,7.26,21000,False
2021-11-16,7.4,7.4,7.25,7.25,39000,False
2021-11-17,7.25,7.25,7.25,7.25,35500,False
2021-11-18,7.25,7.25,7.15,7.15,20500,False
2021-11-19,7.25,7.25,7.0,7.0,12000,False
2021-11-22,7.1,7.1,7.1,7.1,500,False
2021-11-23,7.07,7.16,7.0,7.0,24500,False
2021-11-24,7.01,7.24,7.01,7.24,2500,False
2021-11-25,7.0,7.2,7.0,7.2,4000,False
2021-11-26,7.24,7.25,7.24,7.25,10000,False
2021-11-29,7.21,7.21,7.21,7.21,500,False
2021-11-30,7.01,7.1,7.0,7.1,10500,False
2021-12-01,7.25,7.25,7.25,7.25,1000,False
2021-12-02,6.85,6.85,6.85,6.85,1500,False
2021-12-08,7.0,7.0,6.9,7.0,2500,False
2021-12-09,7.25,7.25,7.0,7.0,16000,False
2021-12-15,7.2,7.24,7.1,7.1,8000,False
2021-12-16,6.75,6.8,6.75,6.8,1500,False
2021-12-17,7.0,7.1,6.8,7.1,4500,False
2021-12-20,6.8,7.05,6.8,7.05,4500,False
2021-12-23,6.8,7.0,6.8,7.0,1000,False
2021-12-24,6.8,6.8,6.75,6.76,15500,False
2021-12-27,6.75,6.75,6.01,6.5,280500,False
2021-12-28,6.65,6.65,6.65,6.65,1000,False
2021-12-29,6.65,6.65,6.5,6.5,2000,False
2021-12-30,6.51,6.66,6.51,6.66,11500,False
2021-12-31,6.6,6.7,6.5,6.7,13500,False
2022-01-03,6.6,6.6,6.6,6.6,3000,False
2022-01-04,6.74,6.74,6.69,6.7,5000,False
2022-01-05,6.52,6.52,6.52,6.52,500,False
2022-01-06,6.51,6.62,6.51,6.62,4000,False
2022-01-07,6.75,6.75,6.72,6.72,1500,False
2022-01-10,6.6,6.6,6.5,6.55,140000,False
2022-01-11,6.75,6.95,6.75,6.95,6000,False
2022-01-12,6.55,6.95,6.55,6.88,51500,False
2022-01-13,6.9,6.92,6.8,6.9,5500,False
2022-01-14,6.9,6.95,6.9,6.9,20500,False
2022-01-17,7.4,7.4,6.52,6.91,2500,False
2022-01-18,6.81,6.91,6.8,6.81,14000,False
2022-01-20,7.0,7.0,6.81,7.0,1000,False
2022-01-21,7.15,7.15,6.51,6.51,1500,False
2022-01-24,7.24,7.24,6.98,6.98,1000,False
2022-01-25,6.75,6.85,6.75,6.85,8000,False
2022-01-26,6.8,6.8,6.8,6.8,52000,False
2022-01-27,6.85,6.85,6.8,6.85,36500,False
2022-02-01,6.7,7.1,6.7,7.1,23500,False
