date,open,high,low,close,volume,is_anomaly
2021-09-13,635.0,652.0,632.01,646.0,9150,False
2021-09-14,633.0,645.49,633.0,638.0,400,False
2021-09-15,651.98,651.98,630.0,630.0,2400,False
2021-09-16,620.05,632.95,620.0,632.95,2400,False
2021-09-17,620.0,638.0,620.0,634.66,3850,False
2021-09-20,628.0,638.0,628.0,636.17,6800,False
2021-09-21,624.0,645.0,624.0,626.5,4300,False
2021-09-22,620.0,622.0,607.0,613.0,6850,False
2021-09-23,625.0,636.0,620.0,633.14,19800,False
2021-09-24,639.0,639.0,620.0,628.03,12200,False
2021-09-27,622.0,634.0,610.0,629.75,13850,False
2021-09-28,620.99,630.0,620.0,629.82,7250,False
2021-09-29,616.0,620.0,614.0,616.36,12350,False
2021-09-30,615.0,629.9,607.15,619.67,25800,False
2021-10-01,612.0,616.0,610.0,616.0,2300,False
2021-10-04,623.98,625.5,617.0,624.14,12950,False
2021-10-05,627.45,627.45,616.0,619.99,23050,False
2021-10-06,627.0,628.0,619.0,619.03,132000,False
2021-10-07,613.0,619.03,613.0,617.0,2100,False
2021-10-08,615.9,616.0,581.0,589.18,7750,False
2021-10-11,589.0,600.0,584.9,587.01,29050,False
2021-10-12,570.11,595.0,570.0,590.43,15350,False
2021-10-13,585.1,620.0,578.1,592.27,28650,False
2021-10-14,605.25,605.25,560.01,575.1,11800,False
2021-10-15,599.75,618.23,586.5,617.61,151350,False
2021-10-18,614.0,634.9,614.0,627.8,7600,False
2021-10-20,617.0,640.0,617.0,639.04,11700,False
2021-10-21,625.01,650.0,625.01,645.11,8500,False
2021-10-22,620.0,649.99,620.0,645.27,13000,False
2021-10-25,633.99,639.0,625.01,634.9,809600,False
2021-10-26,633.0,633.0,633.0,633.0,200,False
2021-10-27,610.01,637.5,610.01,634.0,5350,False
2021-10-28,635.0,644.0,627.0,636.95,10600,False
2021-10-29,623.02,638.95,623.02,637.0,500,False
2021-11-01,633.0,639.0,621.0,635.08,5600,False
2021-11-02,649.5,649.5,637.99,639.22,5650,False
2021-11-03,639.0,639.0,639.0,639.0,3200,False
2021-11-04,632.0,639.95,632.0,638.0,1250,False
2021-11-05,630.01,642.5,620.01,638.71,14750,False
2021-11-08,630.0,637.0,622.51,629.09,19400,False
2021-11-09,634.95,634.95,629.09,632.9,350,False
2021-11-10,632.89,640.0,620.0,636.55,7950,False
2021-11-11,630.01,638.1,625.0,636.54,15700,False
2021-11-12,637.95,637.95,623.0,623.0,16750,False
2021-11-15,621.0,625.0,621.0,625.0,150,False
2021-11-16,625.0,630.0,623.25,627.62,11900,False
2021-11-17,630.0,630.0,620.5,625.57,2500,False
2021-11-18,638.25,638.25,628.0,628.0,350,False
2021-11-19,637.95,637.95,630.0,631.22,10000,False
2021-11-23,622.0,640.0,621.5,636.42,5900,False
2021-11-24,625.0,639.9,625.0,636.22,6750,False
2021-11-25,625.53,628.6,616.0,622.11,15600,False
2021-11-26,638.0,638.0,621.45,624.63,1100,False
2021-11-29,641.24,641.25,624.05,629.23,14250,False
2021-11-30,630.0,630.0,625.9,629.8,11850,False
2021-12-01,621.0,627.5,619.0,619.92,6400,False
2021-12-02,615.0,615.0,595.5,600.0,5800,False
2021-12-03,599.0,610.0,598.0,606.35,10700,False
2021-12-06,616.99,616.99,616.99,616.99,100,False
2021-12-07,622.0,624.0,608.01,619.2,5350,False
2021-12-08,601.0,613.5,601.0,610.0,1700,False
2021-12-09,604.0,605.01,599.99,600.6,650,False
2021-12-10,582.0,600.0,582.0,588.18,7050,False
2021-12-13,594.5,594.5,578.0,580.88,9300,False
2021-12-14,597.95,597.95,578.0,579.38,6800,False
2021-12-15,580.0,612.0,580.0,591.5,2550,False
2021-12-16,590.0,591.5,581.2,589.67,3650,False
2021-12-17,585.0,595.0,583.0,592.27,8750,False
2021-12-20,599.95,600.0,590.0,598.64,6700,False
2021-12-21,599.0,619.0,599.0,610.77,20000,False
2021-12-22,610.0,615.5,593.0,612.26,14100,False
2021-12-23,624.5,624.5,609.0,619.73,6100,False
2021-12-24,615.0,615.0,615.0,615.0,350,False
2021-12-27,610.2,626.3,609.0,620.55,11100,False
2021-12-28,614.0,620.0,612.0,618.4,3100,False
2021-12-29,623.5,623.5,619.98,619.98,250,False
2021-12-30,619.99,627.95,614.05,624.11,10200,False
2021-12-31,624.5,634.8,616.0,627.85,25850,False
2022-01-03,625.0,632.0,615.0,623.8,11800,False
2022-01-04,629.75,649.0,623.0,639.67,5300,False
2022-01-05,631.25,639.95,631.01,635.82,3850,False
2022-01-06,647.5,647.5,630.5,632.75,500,False
2022-01-07,644.75,649.0,627.99,642.01,10300,False
2022-01-10,642.0,651.0,640.0,647.85,4400,False
2022-01-11,651.5,651.5,630.25,643.74,26400,False
2022-01-12,640.0,644.75,637.01,640.0,3500,False
2022-01-13,644.9,644.9,631.5,637.17,950,False
2022-01-14,639.95,639.95,630.0,637.85,11900,False
2022-01-17,635.0,640.0,635.0,637.5,2000,False
2022-01-18,639.0,639.0,635.04,635.04,1000,False
2022-01-19,635.0,635.0,630.0,630.0,2200,False
2022-01-20,620.0,625.0,615.0,624.74,5450,False
2022-01-21,625.0,634.0,619.99,630.0,2350,False
2022-01-25,629.99,629.99,629.99,629.99,50,False
2022-01-26,625.0,629.0,620.0,629.0,1700,False
2022-01-27,616.1,628.0,616.1,622.1,1150,False
2022-01-28,625.0,625.0,615.0,615.64,7500,False
2022-01-31,624.5,624.5,617.0,619.0,2900,False
2022-02-01,612.05,623.95,612.05,621.0,1100,False
2022-02-02,621.0,624.5,620.02,620.27,2300,False
2022-02-03,624.75,624.75,615.0,616.77,5350,False
2022-02-04,618.0,619.0,615.0,615.57,3000,False
2022-02-07,624.5,624.5,612.8,617.02,2550,False
2022-02-08,614.0,620.95,614.0,618.5,1200,False
2022-02-09,617.0,625.0,617.0,621.55,2450,False
2022-02-10,624.0,624.0,624.0,624.0,500,False
2022-02-11,620.0,620.02,617.6,619.69,4450,False
2022-02-14,619.99,619.99,619.5,619.9,400,False
2022-02-15,614.0,617.99,610.0,611.0,1000,False
2022-02-16,618.0,618.0,611.0,616.85,700,False
2022-02-17,614.99,615.0,611.0,611.0,250,False
2022-02-18,615.0,616.99,611.01,616.99,450,False
2022-02-21,616.0,616.0,612.5,615.29,1750,False
2022-02-22,615.0,618.0,612.1,615.0,8350,False
2022-02-23,611.01,611.01,608.0,609.75,4150,False
2022-02-24,605.0,607.0,585.01,590.62,4000,False
2022-02-25,625.0,625.0,588.01,597.99,17500,False
2022-02-28,586.0,617.5,586.0,597.19,13950,False
2022-03-01,596.95,600.0,596.95,599.0,4000,False
2022-03-02,598.02,600.0,590.0,590.09,6250,False
2022-03-03,600.0,609.75,590.0,590.02,4050,False
2022-03-04,600.0,609.0,589.0,590.0,1050,False
2022-03-07,586.13,586.13,578.0,578.99,3550,False
2022-03-08,578.99,590.0,546.0,562.86,14950,False
2022-03-09,575.0,580.0,560.0,567.19,10450,False
2022-03-10,585.99,585.99,575.0,578.78,4950,False
2022-03-11,589.9,594.5,576.0,578.66,5400,False
2022-03-14,587.0,589.5,561.0,570.0,5450,False
2022-03-15,584.99,585.0,575.0,583.43,8150,False
2022-03-16,594.0,619.9,588.1,611.38,25150,False
2022-03-17,611.38,611.99,593.0,595.02,10250,False
2022-03-18,590.05,599.0,582.0,592.06,5200,False
2022-03-21,592.1,600.0,592.1,598.14,3400,False
2022-03-22,599.9,605.0,598.0,603.44,7700,False
