date,open,high,low,close,volume,is_anomaly
2021-09-13,44.0,44.5,43.13,44.0,42000,False
2021-09-14,43.5,46.9,43.5,46.0,109500,False
2021-09-15,45.1,45.1,43.11,44.38,100000,False
2021-09-16,45.5,45.5,44.4,44.9,30500,False
2021-09-17,44.9,45.0,44.0,44.28,65500,False
2021-09-20,43.65,43.65,43.15,43.15,18000,False
2021-09-21,43.8,46.38,43.8,44.76,20000,False
2021-09-22,44.75,44.99,43.0,43.4,157000,False
2021-09-23,43.5,44.4,43.0,44.2,52000,False
2021-09-24,44.0,44.1,44.0,44.1,15000,False
2021-09-27,44.0,44.0,43.8,43.99,1543000,False
2021-09-28,42.11,43.95,42.11,43.05,743500,False
2021-09-29,43.05,43.51,42.05,42.93,364500,False
2021-09-30,43.4,43.95,42.93,43.5,161500,False
2021-10-01,43.5,43.98,43.48,43.95,1004500,False
2021-10-04,43.75,43.75,43.75,43.75,1000,False
2021-10-05,43.75,44.99,43.55,43.79,54000,False
2021-10-06,44.0,44.0,43.5,43.89,15500,False
2021-10-07,44.88,45.15,43.98,43.98,1018500,False
2021-10-08,43.98,44.87,42.51,42.84,1021000,False
2021-10-11,43.48,43.49,42.5,42.53,74000,False
2021-10-12,42.6,43.49,42.6,43.4,20500,False
2021-10-13,42.51,45.49,42.51,42.78,25000,False
2021-10-14,42.02,44.5,42.02,44.0,135000,False
2021-10-15,43.01,43.99,42.6,42.91,325500,False
2021-10-18,42.99,43.5,41.6,43.1,249000,False
2021-10-20,42.55,46.0,42.5,44.56,1620500,False
2021-10-21,45.49,45.49,44.36,44.49,3248000,False
2021-10-22,44.5,44.99,43.26,44.02,673000,False
2021-10-25,44.0,45.0,43.61,44.05,102500,False
2021-10-26,44.5,45.1,44.5,45.01,75500,False
2021-10-27,45.35,45.5,45.35,45.48,3500,False
2021-10-28,45.89,46.5,45.75,45.75,136500,False
2021-10-29,46.25,46.5,46.25,46.5,4000,False
2021-11-01,45.55,46.49,45.55,46.3,24500,False
2021-11-02,46.3,46.3,46.0,46.0,76000,False
2021-11-03,46.02,47.0,46.0,46.01,23500,False
2021-11-04,46.11,47.45,46.11,46.8,483500,False
2021-11-05,47.0,47.5,47.0,47.0,176500,False
2021-11-08,47.0,47.0,46.5,46.52,39500,False
2021-11-09,46.5,47.0,45.7,46.29,54500,False
2021-11-10,46.3,46.45,45.55,46.33,22000,False
2021-11-11,46.55,46.55,45.5,45.98,69000,False
2021-11-12,46.0,46.0,45.51,45.75,38500,False
2021-11-15,45.0,46.0,44.8,45.6,51500,False
2021-11-16,45.31,46.45,45.31,45.99,278000,False
2021-11-17,46.2,47.0,46.2,46.62,70500,False
2021-11-18,46.64,49.0,45.22,47.58,168000,False
2021-11-19,47.5,49.0,46.61,46.89,36500,False
2021-11-22,47.88,48.45,46.3,46.45,90000,False
2021-11-23,47.0,47.0,45.35,46.04,72000,False
2021-11-24,45.51,45.51,45.0,45.06,65000,False
2021-11-25,45.01,45.01,44.0,44.13,70000,False
2021-11-26,44.49,44.5,43.5,43.79,67000,False
2021-11-29,44.25,45.5,44.25,44.58,97000,False
2021-11-30,44.6,47.25,44.0,44.54,177500,False
2021-12-01,45.5,45.74,45.0,45.05,1580500,False
2021-12-02,45.0,45.97,43.21,44.96,595500,False
2021-12-03,44.0,45.69,43.25,45.02,167500,False
2021-12-06,45.1,45.1,45.0,45.0,1500,False
2021-12-07,45.8,45.8,44.5,44.54,717000,False
2021-12-08,45.49,45.49,43.0,43.11,49500,False
2021-12-09,43.01,43.01,41.5,42.27,114500,False
2021-12-10,42.3,43.3,41.9,42.53,2617000,False
2021-12-13,42.21,45.2,42.0,43.75,95000,False
2021-12-14,43.51,45.49,43.5,44.75,1044500,False
2021-12-15,45.0,45.0,44.66,44.74,35500,False
2021-12-16,44.5,44.5,44.02,44.02,10000,False
