date,open,high,low,close,volume,is_anomaly
2021-09-15,160.0,166.0,160.0,163.0,200,False
2021-09-16,168.99,175.22,168.99,175.21,13300,False
2021-09-17,172.0,180.0,172.0,179.82,1200,False
2021-09-20,166.35,175.0,166.34,173.5,700,False
2021-09-21,161.0,165.0,161.0,161.5,2100,False
2021-09-22,160.0,161.5,160.0,161.5,84500,False
2021-09-23,160.1,160.1,160.01,160.01,600,False
2021-09-24,160.01,160.11,159.0,159.1,60800,False
2021-09-27,155.1,157.0,155.01,156.01,300,False
2021-09-29,0.0,156.01,156.01,156.01,100,True
2021-09-30,157.0,157.99,157.0,157.83,600,False
2021-10-01,155.1,155.1,155.0,155.0,1000,False
2021-10-04,157.0,157.99,157.0,157.5,200,False
2021-10-05,159.0,159.9,159.0,159.45,200,False
2021-10-07,155.1,159.45,155.1,156.05,300,False
2021-10-08,158.0,160.0,158.0,160.0,900,False
2021-10-11,160.0,160.0,160.0,160.0,8700,False
2021-10-12,160.0,160.0,160.0,160.02,100,True
2021-10-13,160.0,160.0,160.0,160.0,5000,False
2021-10-14,162.0,162.0,148.0,155.0,3800,False
2021-10-18,162.0,162.0,153.0,157.0,600,False
2021-10-21,162.0,162.0,151.0,156.5,200,False
2021-10-25,165.0,165.0,165.0,165.0,800,False
2021-10-27,166.0,168.0,166.0,167.5,500,False
2021-10-29,165.0,165.0,165.0,167.5,100,True
2021-11-04,175.0,180.06,175.0,176.77,400,False
2021-11-05,177.0,178.0,177.0,177.5,200,False
2021-11-08,177.0,177.0,177.0,177.5,100,True
2021-11-10,170.01,170.01,170.01,170.01,500,False
2021-11-12,165.0,165.0,165.0,165.0,1600,False
2021-11-15,165.0,165.0,165.0,165.0,2000,False
2021-11-16,0.0,0.0,0.0,165.0,0,True
2021-11-24,165.0,165.0,165.0,165.0,100,False
2021-11-25,165.05,165.05,165.05,165.05,300,False
2021-11-29,165.01,165.01,165.0,165.0,2000,False
2021-12-02,166.0,166.0,165.0,165.0,4100,False
2021-12-03,165.0,165.0,165.0,165.0,2000,False
2021-12-06,165.01,165.01,165.01,165.01,25000,False
2021-12-08,165.0,165.0,165.0,165.0,500,False
2021-12-09,165.0,165.0,165.0,165.0,400,False
2021-12-13,165.0,165.0,165.0,165.0,1200,False
2021-12-17,170.0,170.0,170.0,165.0,100,True
2021-12-22,166.0,166.0,166.0,165.0,100,True
2021-12-27,165.0,165.0,165.0,165.0,100,False
2021-12-28,166.0,166.0,165.0,165.0,400,False
2021-12-30,165.0,165.0,165.0,165.0,800,False
2022-01-04,167.0,167.0,167.0,167.0,200,False
2022-01-18,165.1,165.1,165.0,165.0,1500,False
2022-01-20,165.0,170.0,165.0,167.18,1200,False
2022-01-21,177.0,177.0,171.0,174.0,300,False
2022-01-24,170.0,170.0,170.0,170.0,500,False
2022-01-26,0.0,170.0,170.0,170.0,100,True
2022-01-31,170.0,170.62,170.0,170.62,1200,False
2022-02-02,171.0,171.0,170.0,170.0,2000,False
2022-02-10,170.0,170.0,170.0,170.0,300,False
2022-02-16,170.0,180.0,170.0,180.0,1000,False
2022-02-22,170.0,170.0,170.0,170.0,500,False
2022-02-24,170.0,170.0,170.0,170.0,14700,False
2022-02-25,170.0,170.0,170.0,170.0,2600,False
2022-03-09,170.0,170.0,170.0,170.0,500,False
2022-03-18,170.0,170.0,170.0,170.0,200,False
2022-03-21,170.0,170.0,170.0,170.0,500,False
2022-03-24,170.1,170.1,170.0,170.0,1300,False
2022-03-28,170.0,170.0,170.0,170.0,800,False
2022-03-30,170.0,170.0,170.0,170.0,200,False
2022-03-31,170.0,170.0,170.0,170.0,1000,False
2022-04-04,170.01,170.01,170.01,170.0,100,True
2022-04-11,170.0,170.0,170.0,170.0,300,False
2022-04-12,173.9,173.9,173.9,173.9,200,False
2022-04-26,170.1,170.1,170.0,170.04,500,False
2022-04-27,170.1,170.1,170.01,170.08,400,False
2022-05-09,170.01,170.01,170.0,170.0,1100,False
2022-05-10,170.01,170.01,170.01,170.0,100,True
2022-05-11,170.01,170.01,170.01,170.0,100,True
2022-05-19,0.0,170.0,170.0,170.0,500,True
2022-05-26,170.25,170.25,170.25,170.25,500,False
2022-05-30,170.25,170.25,170.25,170.25,200,False
2022-06-01,170.0,170.0,170.0,170.0,1000,False
2022-06-02,170.05,170.05,170.05,170.0,100,True
2022-06-03,170.0,170.0,170.0,170.0,500,False
2022-06-13,170.05,170.05,170.0,170.03,200,False
2022-06-15,170.05,170.05,170.0,170.0,5300,False
2022-06-17,0.0,170.0,170.0,170.0,900,True
2022-06-21,170.0,170.0,170.0,170.0,10000,False
2022-06-22,170.05,170.05,170.0,170.03,200,False
2022-06-23,170.0,170.0,170.0,170.0,2000,False
2022-06-24,170.0,170.0,170.0,170.0,200,False
2022-07-20,170.0,170.0,170.0,170.0,10000,False
2022-07-21,170.3,170.3,170.0,170.0,13100,False
2022-07-28,170.0,170.0,170.0,170.0,300,False
2022-08-01,170.0,170.0,170.0,170.0,100,False
2022-08-02,170.0,170.0,170.0,170.0,300,False
2022-08-03,170.0,170.0,170.0,170.0,6200,False
2022-08-10,174.5,182.75,174.5,182.75,3100,False
2022-08-11,194.99,196.45,194.99,196.45,2000,False
2022-08-12,210.0,211.18,207.86,207.93,2100,False
2022-08-15,210.0,210.0,207.89,210.0,1600,False
2022-08-16,201.0,225.7,201.0,220.69,4400,False
2022-08-17,237.24,237.24,209.0,213.97,5700,False
2022-08-19,217.0,217.0,217.0,213.97,100,True
2022-08-22,201.07,212.9,200.0,212.44,6200,False
2022-08-23,212.44,212.44,212.44,212.44,200,False
2022-08-24,202.0,214.98,202.0,212.49,800,False
2022-08-30,200.35,209.0,200.3,208.95,500,False
2022-08-31,203.0,203.0,203.0,203.0,300,False
2022-09-01,200.0,200.0,200.0,200.0,600,False
2022-09-02,200.0,200.0,200.0,200.0,200,False
2022-09-05,200.0,200.0,200.0,200.0,100,False
2022-09-07,200.0,200.0,200.0,200.0,3100,False
2022-09-08,200.0,200.0,200.0,200.0,100,False
2022-09-09,200.0,208.99,200.0,208.5,400,False
2022-09-12,200.01,208.99,200.0,208.95,1700,False
2022-09-16,200.11,200.11,200.1,200.11,200,False
2022-09-19,200.0,200.0,200.0,200.0,700,False
2022-09-21,200.0,200.0,200.0,200.0,400,False
2022-09-22,200.01,211.0,200.01,211.0,2300,False
2022-09-23,222.22,222.22,222.22,211.0,100,True
2022-09-26,208.0,217.0,208.0,216.99,700,False
2022-09-27,232.4,232.4,212.0,222.2,200,False
2022-09-28,230.0,230.0,205.54,205.6,6300,False
2022-09-30,200.0,201.0,200.0,200.0,1700,False
2022-10-03,200.0,200.0,200.0,200.0,3200,False
2022-10-04,205.0,209.98,200.0,200.0,1700,False
2022-10-05,200.0,200.0,200.0,200.0,1000,False
2022-10-06,200.0,200.0,200.0,200.0,1300,False
2022-10-07,200.0,200.0,200.0,200.0,2000,False
2022-10-11,200.0,200.0,200.0,200.0,100,False
2022-10-12,185.02,197.0,185.02,196.99,300,False
2022-10-17,202.0,202.0,196.99,201.5,300,False
2022-10-24,200.0,200.0,200.0,200.0,2100,False
2022-10-26,200.0,200.0,200.0,200.0,1000,False
2022-10-27,200.0,200.0,200.0,200.0,1100,False
2022-10-28,200.0,200.0,200.0,200.0,100,False
2022-11-01,200.0,200.0,200.0,200.0,100,False
2022-11-02,200.0,200.0,200.0,200.0,3300,False
2022-11-03,200.0,200.0,200.0,200.0,100,False
2022-11-07,0.0,0.0,0.0,200.02,0,True
2022-11-22,204.0,204.0,200.0,202.0,200,False
2022-11-28,200.0,202.0,200.0,200.0,800,False
2022-11-30,205.0,215.0,205.0,215.0,3900,False
2022-12-01,227.86,227.86,211.0,212.37,2600,False
2022-12-07,202.0,209.95,202.0,205.98,200,False
2022-12-12,200.0,200.0,200.0,205.98,100,True
2022-12-21,200.02,200.02,200.0,200.0,2200,False
2022-12-22,200.01,200.01,200.01,200.0,100,True
2022-12-23,200.0,200.0,200.0,200.0,1200,False
2022-12-26,209.95,213.99,209.95,211.97,200,False
2022-12-28,227.5,227.5,227.5,211.97,100,True
2022-12-29,224.75,224.75,224.75,211.97,100,True
2022-12-30,214.99,215.0,214.99,215.0,200,False
2023-01-04,219.9,219.9,219.9,215.0,100,True
2023-01-09,215.0,215.0,215.0,215.0,100,False
2023-01-16,224.9,224.9,224.9,215.0,100,True
2023-01-25,229.98,229.98,200.0,214.97,5400,False
2023-02-01,219.99,220.0,214.97,220.0,500500,False
2023-02-02,0.0,220.0,220.0,220.0,500000,True
2023-02-06,215.0,220.0,210.0,214.81,550100,False
2023-02-07,214.0,214.9,201.01,207.96,594700,False
2023-02-08,200.3,200.3,200.3,207.96,100,True
2023-02-10,213.8,213.8,213.8,207.96,100,True
2023-02-16,218.25,218.25,218.25,207.96,100,True
2023-02-20,218.88,218.88,218.88,207.96,100,True
2023-02-23,200.0,214.85,200.0,207.43,200,False
2023-02-27,213.88,213.88,213.88,207.43,100,True
2023-03-01,200.0,209.99,200.0,206.65,2800,False
2023-03-03,200.01,200.01,200.01,206.65,100,True
2023-03-10,220.5,220.5,220.5,206.65,100,True
2023-03-15,200.0,200.0,200.0,200.0,5000,False
2023-03-16,200.0,200.0,200.0,200.0,100,False
2023-03-20,200.0,200.0,200.0,200.0,800,False
2023-03-21,200.0,200.0,200.0,200.0,1500,False
2023-03-27,214.7,214.7,214.7,200.0,100,True
2023-03-30,200.0,200.0,200.0,200.0,1400,False
2023-04-11,195.0,195.0,195.0,200.0,100,True
2023-04-18,190.0,190.0,190.0,190.0,1100,False
2023-04-19,0.0,0.0,0.0,190.0,0,True
2023-04-20,200.0,200.0,200.0,200.0,1300,False
2023-04-28,200.0,209.9,200.0,203.33,25300,False
2023-05-02,209.95,218.57,209.95,218.57,75600,False
2023-05-03,229.0,234.96,225.07,234.96,106400,False
2023-05-04,245.0,252.1,240.0,250.0,53800,False
2023-05-05,250.02,251.0,250.0,250.0,40600,False
2023-05-08,240.0,250.0,240.0,246.33,300,False
2023-05-09,250.0,251.0,250.0,250.0,400,False
2023-05-10,0.0,0.0,0.0,250.0,0,True
2023-05-24,250.0,250.01,250.0,250.0,46500,False
2023-05-29,250.5,250.5,250.0,250.01,1100,False
2023-05-30,255.0,255.0,255.0,255.0,100,False
2023-05-31,260.0,260.0,260.0,260.0,200,False
2023-06-07,260.0,260.0,260.0,260.0,100,False
2023-06-08,265.0,275.0,265.0,275.0,300,False
2023-06-21,260.01,260.01,260.01,260.01,500,False
