date,open,high,low,close,volume,is_anomaly
2021-09-13,75.5,76.51,75.25,76.2,463000,False
2021-09-14,76.47,76.6,74.5,75.28,314500,False
2021-09-15,74.8,75.5,72.1,74.87,97000,False
2021-09-16,75.0,77.45,73.75,77.15,687500,False
2021-09-17,77.5,77.5,75.35,75.98,335000,False
2021-09-20,76.5,76.5,74.0,74.77,164000,False
2021-09-21,75.1,75.21,74.0,74.04,69000,False
2021-09-22,73.5,73.99,70.0,72.99,339500,False
2021-09-23,75.99,75.99,72.0,72.33,54500,False
2021-09-24,72.0,74.0,71.6,73.22,131500,False
2021-09-27,73.0,73.22,72.1,73.15,187500,False
2021-09-28,72.3,73.0,71.1,71.86,32000,False
2021-09-29,73.7,73.7,70.8,71.37,244500,False
2021-09-30,71.5,71.85,70.0,71.17,198000,False
2021-10-01,71.05,71.85,71.0,71.3,186500,False
2021-10-04,71.85,72.0,71.5,72.0,58500,False
2021-10-05,72.5,73.44,72.5,72.98,126500,False
2021-10-06,70.0,70.8,64.76,69.82,358000,False
2021-10-07,68.61,71.5,68.5,70.31,156000,False
2021-10-08,69.8,73.0,69.8,72.25,190500,False
2021-10-11,72.0,72.48,71.0,72.09,246000,False
2021-10-12,71.5,73.0,70.0,72.9,388000,False
2021-10-13,72.75,72.75,71.5,72.23,137000,False
2021-10-14,72.48,73.0,69.5,72.93,77000,False
2021-10-15,73.0,74.25,72.8,73.42,1234500,False
2021-10-18,73.5,73.95,73.0,73.64,169000,False
2021-10-20,74.85,76.9,74.4,76.38,763500,False
2021-10-21,76.0,77.2,75.25,76.16,401000,False
2021-10-22,76.25,77.0,76.0,76.77,109000,False
2021-10-25,77.0,77.0,76.0,76.76,99500,False
2021-10-26,74.99,76.0,74.0,74.08,42500,False
2021-10-27,75.0,75.75,74.77,75.1,153500,False
2021-10-28,75.01,75.01,73.26,74.87,565000,False
2021-10-29,73.62,75.39,73.62,75.12,127000,False
2021-11-01,75.2,75.59,74.52,75.03,71000,False
2021-11-02,74.99,75.0,74.05,74.5,291000,False
2021-11-03,74.55,74.84,74.0,74.13,301000,False
2021-11-04,74.43,74.43,73.5,73.79,85500,False
2021-11-05,73.5,74.48,73.5,73.91,97500,False
2021-11-08,73.26,75.0,73.0,74.15,152000,False
2021-11-09,74.89,76.48,73.1,73.22,167500,False
2021-11-10,73.98,73.98,73.08,73.47,89000,False
2021-11-11,73.35,74.8,73.2,73.92,135000,False
2021-11-12,73.86,74.0,72.99,73.26,337000,False
2021-11-15,73.75,74.48,73.2,74.16,49000,False
2021-11-16,73.5,74.4,73.1,74.1,133000,False
2021-11-17,74.02,74.5,74.0,74.42,94500,False
2021-11-18,74.9,75.0,73.99,74.01,256500,False
2021-11-19,74.0,75.45,74.0,74.67,420000,False
2021-11-22,74.75,74.75,73.02,73.25,87500,False
2021-11-23,73.3,73.5,72.9,73.0,198000,False
2021-11-24,72.0,73.75,72.0,72.76,87000,False
2021-11-25,72.94,72.94,72.0,72.0,172000,False
2021-11-26,72.25,72.25,70.0,71.38,143500,False
2021-11-29,71.39,72.95,70.01,72.5,221500,False
2021-11-30,73.39,74.5,71.0,71.2,201000,False
2021-12-01,72.0,72.95,71.5,72.75,58000,False
2021-12-02,72.5,74.5,67.3,67.3,468500,False
2021-12-03,67.0,69.89,66.0,67.69,300000,False
2021-12-06,67.57,69.0,67.57,68.0,45000,False
2021-12-07,69.87,69.89,68.0,68.52,231500,False
2021-12-08,69.4,69.52,66.65,66.75,80500,False
2021-12-09,66.75,66.9,65.5,66.04,94500,False
2021-12-10,67.49,67.49,64.5,64.86,99000,False
2021-12-13,65.7,65.7,65.0,65.02,34000,False
2021-12-14,65.5,67.0,65.0,65.62,451000,False
2021-12-15,67.0,68.5,67.0,67.57,254000,False
2021-12-16,68.39,69.0,67.11,68.8,641500,False
2021-12-17,69.25,69.5,67.1,68.95,44500,False
2021-12-20,69.75,70.5,69.25,70.0,71000,False
2021-12-21,70.0,70.48,69.53,69.88,118000,False
2021-12-22,71.0,73.4,70.0,70.97,87500,False
2021-12-23,70.51,70.97,69.76,70.37,130500,False
2021-12-24,70.0,70.99,69.85,70.05,58500,False
2021-12-27,70.25,71.3,70.25,71.16,327500,False
2021-12-28,71.0,72.68,71.0,72.22,649500,False
2021-12-29,72.0,73.46,72.0,72.55,500000,False
2021-12-30,72.75,72.94,72.25,72.77,371000,False
2021-12-31,73.0,73.4,72.5,72.69,593500,False
2022-01-03,72.5,73.63,72.5,73.21,77000,False
2022-01-04,73.21,75.39,67.72,71.66,442500,False
2022-01-05,72.0,74.0,72.0,73.7,140500,False
2022-01-06,73.3,73.3,70.0,72.03,53000,False
2022-01-07,71.85,72.45,71.1,72.03,60500,False
2022-01-10,72.25,74.3,71.7,74.0,369500,False
2022-01-11,74.5,75.4,74.3,75.29,625500,False
2022-01-12,74.5,75.25,74.4,74.58,77500,False
2022-01-13,74.02,74.45,74.01,74.4,16000,False
2022-01-14,74.3,76.0,74.0,75.58,208000,False
2022-01-17,76.2,76.2,73.01,75.51,123091,False
2022-01-18,73.01,75.25,73.01,75.07,77122,False
2022-01-19,75.25,75.25,74.5,74.98,82961,False
2022-01-20,74.02,75.0,73.5,74.63,154189,False
2022-01-21,74.75,75.24,73.25,74.5,37619,False
2022-01-24,74.75,75.25,74.54,75.13,48805,False
2022-01-25,75.94,76.0,75.0,75.36,218894,False
2022-01-26,75.85,75.88,75.0,75.11,75593,False
2022-01-27,74.99,74.99,73.25,73.64,556021,False
2022-01-28,74.5,74.5,73.11,73.95,60554,False
2022-01-31,75.0,75.0,73.98,74.0,71065,False
2022-02-01,74.5,74.5,73.9,73.99,66843,False
2022-02-02,73.91,73.99,73.45,73.85,659425,False
2022-02-03,74.66,77.83,74.0,76.71,794870,False
2022-02-04,76.5,77.25,74.71,76.59,589228,False
2022-02-07,76.8,77.0,75.5,76.57,330224,False
2022-02-08,76.99,76.99,76.0,76.29,373356,False
2022-02-09,76.29,80.6,75.1,79.9,3921875,False
2022-02-10,80.19,84.45,79.25,80.32,3978426,False
2022-02-11,79.8,80.9,78.31,78.95,1069164,False
2022-02-14,79.98,79.98,77.15,77.35,92665,False
2022-02-15,78.99,78.99,77.5,78.24,183747,False
2022-02-16,78.75,78.88,78.0,78.19,309255,False
2022-02-17,78.9,81.39,78.0,78.52,1147503,False
2022-02-18,78.72,79.0,78.2,78.5,107656,False
2022-02-21,78.1,79.43,77.95,78.18,262163,False
