date,open,high,low,close,volume,is_anomaly
2021-09-13,193.0,193.0,189.33,190.03,568400,False
2021-09-14,190.0,190.0,183.2,185.07,342200,False
2021-09-15,185.5,185.5,181.15,181.73,269300,False
2021-09-16,182.2,185.0,181.0,182.15,588600,False
2021-09-17,178.99,179.89,173.2,174.89,149600,False
2021-09-20,176.9,176.9,169.99,172.18,129900,False
2021-09-21,172.1,174.0,166.01,168.02,321500,False
2021-09-22,167.01,175.0,156.0,170.92,746600,False
2021-09-23,172.5,175.51,167.01,168.44,333700,False
2021-09-24,167.9,169.0,164.01,166.25,657900,False
2021-09-27,165.1,169.75,161.25,164.41,315700,False
2021-09-28,166.0,172.0,164.5,169.92,768300,False
2021-09-29,170.1,170.1,158.0,165.01,637700,False
2021-09-30,163.0,169.5,162.1,166.77,674100,False
2021-10-01,167.0,171.49,165.06,169.5,356100,False
2021-10-04,168.5,169.0,166.75,168.35,67500,False
2021-10-05,169.95,171.58,166.2,166.57,199600,False
2021-10-06,165.2,166.57,158.05,159.99,211700,False
2021-10-07,161.99,165.25,161.01,162.07,122300,False
2021-10-08,161.05,161.05,160.11,160.68,77600,False
2021-10-11,160.1,160.1,151.27,152.36,293700,False
2021-10-12,151.99,158.49,147.25,157.68,765600,False
2021-10-13,158.5,159.5,155.02,155.69,235600,False
2021-10-14,157.97,164.0,154.0,162.15,289900,False
2021-10-15,160.06,165.5,160.05,164.74,216100,False
2021-10-18,160.01,163.7,159.0,160.95,133900,False
2021-10-20,161.0,165.75,160.05,164.29,452500,False
2021-10-21,164.98,167.0,157.0,158.05,575600,False
2021-10-22,158.0,160.0,154.0,157.64,628600,False
2021-10-25,157.0,160.9,157.0,159.21,330300,False
2021-10-26,159.99,169.5,159.0,167.37,871200,False
2021-10-27,173.0,177.75,171.55,176.31,1318400,False
2021-10-28,176.0,179.48,174.55,178.62,392300,False
2021-10-29,180.0,180.0,171.51,174.02,533600,False
2021-11-01,175.75,181.4,174.5,177.51,679600,False
2021-11-02,177.5,181.0,176.5,176.88,530600,False
2021-11-03,176.88,177.99,170.6,171.38,687100,False
2021-11-04,171.0,173.9,169.0,172.22,427000,False
2021-11-05,171.02,174.0,168.0,168.56,463800,False
2021-11-08,169.0,171.0,163.01,164.33,404700,False
2021-11-09,164.0,164.99,157.01,157.63,437500,False
2021-11-10,158.98,161.0,155.06,155.48,451800,False
2021-11-11,156.1,157.75,153.6,153.94,423200,False
2021-11-12,153.5,154.5,145.55,151.06,488000,False
2021-11-15,151.1,153.01,150.01,150.75,200900,False
2021-11-16,151.1,156.0,151.1,154.95,317700,False
2021-11-17,154.01,154.01,148.12,150.84,345700,False
2021-11-18,151.15,152.4,148.13,149.9,438700,False
2021-11-19,150.0,156.01,150.0,155.34,1002700,False
2021-11-22,155.0,155.0,150.51,152.53,896800,False
2021-11-23,153.0,154.88,148.51,149.69,677400,False
2021-11-24,147.1,148.5,144.5,145.49,378400,False
2021-11-25,145.01,146.99,140.25,144.92,336500,False
2021-11-26,144.5,145.9,140.01,142.12,439200,False
2021-11-29,140.0,149.01,138.51,148.33,309800,False
2021-11-30,148.5,151.5,147.0,148.63,571300,False
2021-12-01,149.99,152.74,148.63,151.2,697800,False
2021-12-02,149.5,149.5,139.86,139.86,295500,False
2021-12-03,135.25,139.5,130.0,134.04,418000,False
2021-12-06,134.5,136.0,129.99,131.49,171400,False
2021-12-07,131.49,136.9,131.49,133.88,146500,False
2021-12-08,133.98,137.68,131.0,135.11,359600,False
2021-12-09,133.01,133.6,128.0,131.07,307400,False
2021-12-10,130.0,133.99,128.0,132.74,256400,False
2021-12-13,131.99,134.9,129.1,130.7,286200,False
2021-12-14,128.2,134.9,128.2,134.4,209600,False
2021-12-15,137.6,144.48,134.4,143.19,929600,False
2021-12-16,143.0,143.1,139.0,139.22,428000,False
2021-12-17,138.01,144.7,138.0,141.93,407900,False
2021-12-20,140.51,146.9,140.51,144.04,275000,False
2021-12-21,145.9,149.0,143.5,144.45,349100,False
2021-12-22,144.5,144.99,141.0,141.82,161400,False
2021-12-23,141.01,142.4,140.0,140.15,66200,False
2021-12-24,139.1,141.25,138.55,139.48,110400,False
2021-12-27,139.9,139.9,138.0,138.0,43700,False
2021-12-28,139.0,139.98,138.0,138.92,124900,False
2021-12-29,140.0,142.4,138.4,140.8,422500,False
2021-12-30,140.21,143.5,139.5,140.04,294300,False
2021-12-31,140.47,142.88,138.1,138.81,671500,False
2022-01-03,140.0,147.0,137.51,145.87,1324300,False
2022-01-04,146.5,150.5,146.05,149.57,629100,False
2022-01-05,147.5,151.99,146.66,149.49,287400,False
2022-01-06,147.5,147.95,144.0,144.33,187300,False
2022-01-07,144.49,145.99,144.06,145.13,85700,False
2022-01-10,145.13,149.99,145.13,149.37,579700,False
2022-01-11,148.5,151.1,147.62,148.07,236000,False
2022-01-12,148.51,149.5,146.02,146.87,199500,False
2022-01-13,146.0,149.0,144.1,145.06,180800,False
2022-01-14,145.5,146.0,143.0,143.61,159700,False
2022-01-17,143.02,144.7,141.3,142.21,156632,False
2022-01-18,143.25,143.49,142.0,142.13,16189,False
2022-01-19,142.01,142.01,138.0,138.8,71516,False
2022-01-20,138.5,140.0,134.45,139.35,108005,False
2022-01-21,139.5,141.5,136.15,136.73,737003,False
2022-01-24,136.5,137.0,134.2,135.09,153653,False
2022-01-25,136.49,138.4,135.1,135.97,165007,False
2022-01-26,135.0,136.0,134.4,135.74,44731,False
2022-01-27,136.0,136.0,134.0,135.08,112601,False
2022-01-28,136.99,137.4,134.56,136.1,297350,False
2022-01-31,136.25,140.0,135.5,136.52,318521,False
2022-02-01,137.2,137.98,136.0,136.52,106019,False
2022-02-02,137.93,139.05,136.56,138.82,236704,False
2022-02-03,139.97,140.9,132.82,134.15,726168,False
2022-02-04,134.45,136.35,132.85,133.29,728167,False
2022-02-07,134.0,134.0,126.5,128.28,960743,False
2022-02-08,128.25,130.49,126.5,129.68,458356,False
2022-02-09,130.0,131.98,129.15,130.27,465181,False
2022-02-10,130.7,131.38,128.01,129.3,199871,False
2022-02-11,130.0,130.5,127.4,127.58,107495,False
2022-02-14,127.5,127.9,122.8,123.21,372700,False
2022-02-15,124.48,125.0,122.5,123.41,143214,False
2022-02-16,122.9,125.34,121.41,124.76,208092,False
2022-02-17,124.89,125.75,123.0,125.08,117886,False
2022-02-18,125.9,126.4,124.3,125.54,45839,False
2022-02-21,125.95,125.95,124.61,125.28,34919,False
2022-02-22,124.25,124.99,121.5,122.32,347738,False
2022-02-23,122.32,123.85,121.99,123.28,74724,False
2022-02-24,120.01,121.0,115.31,116.24,405617,False
2022-02-25,116.0,121.0,114.8,116.09,695800,False
2022-02-28,116.5,119.89,112.9,117.89,254629,False
2022-03-01,120.75,121.0,117.0,117.97,449029,False
2022-03-02,116.51,117.75,115.5,116.72,188940,False
2022-03-03,115.51,116.9,114.75,115.25,204869,False
2022-03-04,115.9,116.0,114.06,115.82,72373,False
2022-03-07,114.5,114.5,107.61,109.17,397333,False
2022-03-08,108.0,111.4,107.0,109.04,222178,False
2022-03-09,109.75,110.95,107.11,109.15,237229,False
2022-03-10,110.01,113.9,110.01,113.25,147476,False
2022-03-11,111.51,112.98,110.25,111.65,62204,False
2022-03-14,111.0,111.85,109.3,111.02,103558,False
2022-03-15,112.0,114.5,111.01,113.94,86784,False
2022-03-16,114.0,117.01,114.0,114.14,336008,False
2022-03-17,115.49,115.49,111.12,111.83,73389,False
2022-03-18,110.1,110.4,107.35,108.51,355612,False
2022-03-21,109.99,113.5,108.1,112.53,171269,False
2022-03-22,113.49,113.49,109.9,110.19,261287,False
2022-03-24,111.99,113.89,109.15,113.26,163057,False
2022-03-25,113.0,114.0,112.01,112.95,137703,False
2022-03-28,111.51,112.9,110.8,111.54,665319,False
2022-03-29,112.94,115.75,112.1,114.07,500400,False
2022-03-30,112.4,117.55,111.5,117.28,693291,False
2022-03-31,116.01,119.97,116.01,119.17,319763,False
2022-04-01,119.17,122.01,117.01,120.28,658096,False
2022-04-04,117.49,117.99,114.0,115.08,186111,False
2022-04-05,115.22,116.99,112.0,112.23,125705,False
2022-04-06,114.5,115.53,112.25,112.78,86801,False
2022-04-07,114.5,114.5,110.25,111.41,269893,False
2022-04-08,113.0,113.0,111.0,111.69,163923,False
2022-04-11,117.75,120.06,116.0,120.06,843771,False
2022-04-12,122.25,128.7,119.0,126.62,1132925,False
2022-04-13,126.49,127.99,124.01,124.81,766582,False
2022-04-14,123.1,129.5,123.0,127.67,914720,False
2022-04-15,128.25,130.99,126.81,127.06,363934,False
2022-04-18,128.0,128.0,124.6,124.98,446229,False
2022-04-19,127.0,127.0,124.0,124.01,266500,False
2022-04-20,123.25,124.9,119.0,120.3,126734,False
2022-04-21,121.0,121.0,117.53,118.46,330442,False
2022-04-22,119.19,120.98,118.47,120.22,60438,False
2022-04-25,121.25,122.0,118.0,119.65,387017,False
2022-04-26,117.0,120.0,116.77,117.42,78832,False
2022-04-27,119.0,120.97,117.1,118.0,130732,False
2022-04-28,117.5,117.5,113.0,114.63,118641,False
2022-05-06,114.0,114.0,111.0,111.27,113448,False
2022-05-09,111.01,111.01,102.93,104.07,316884,False
2022-05-10,105.98,107.0,103.06,104.97,96825,False
2022-05-11,106.8,106.8,100.0,102.21,329831,False
2022-05-12,100.75,102.9,99.0,101.6,220247,False
2022-05-13,102.99,104.8,101.01,102.01,155216,False
2022-05-16,101.01,101.89,98.0,100.0,109546,False
2022-05-17,100.01,102.94,100.0,101.98,94210,False
2022-05-18,102.0,107.0,101.5,106.01,269330,False
2022-05-19,106.1,107.8,103.02,103.98,105453,False
2022-05-20,105.0,105.0,101.0,102.72,53259,False
2022-05-23,102.0,103.99,100.1,100.93,28318,False
2022-05-24,100.0,105.5,99.8,101.04,90420,False
2022-05-25,100.5,104.0,99.8,103.21,103432,False
2022-05-26,103.98,105.79,103.01,104.66,289309,False
2022-05-27,103.62,107.5,102.0,103.15,272818,False
2022-05-30,104.0,106.8,102.5,106.08,2288254,False
2022-05-31,105.1,109.4,102.55,102.79,585183,False
2022-06-01,102.11,103.95,101.9,102.08,108701,False
2022-06-02,102.11,102.11,97.43,97.84,623808,False
2022-06-03,96.0,97.5,92.0,92.82,281222,False
2022-06-06,93.5,94.9,92.5,93.51,93287,False
2022-06-07,95.49,95.49,92.5,92.68,96325,False
2022-06-08,92.8,94.0,92.75,93.17,71391,False
2022-06-09,93.9,95.5,93.9,94.37,97121,False
2022-06-10,93.6,94.0,93.0,93.64,92071,False
2022-06-13,90.5,94.99,90.5,91.4,109103,False
2022-06-14,96.0,96.0,90.5,92.67,37099,False
2022-06-15,93.5,94.3,92.51,93.0,41114,False
2022-06-16,92.0,97.38,91.02,95.84,90083,False
2022-06-17,97.45,103.02,95.84,103.02,665739,False
2022-06-20,104.49,106.97,101.81,102.01,359911,False
2022-06-21,103.0,105.9,100.8,105.25,256215,False
2022-06-22,106.0,106.9,103.51,104.07,128599,False
2022-06-23,105.8,110.0,104.4,105.5,437783,False
2022-06-24,105.5,106.8,97.59,99.03,325494,False
2022-06-27,102.5,102.5,100.0,101.25,64498,False
2022-06-28,102.0,103.0,100.5,101.79,67475,False
2022-06-29,102.9,104.0,100.52,102.02,175689,False
2022-06-30,102.02,105.0,102.02,103.73,87074,False
2022-07-01,104.98,104.98,102.02,102.13,12735,False
2022-07-04,102.05,102.5,100.02,101.07,37232,False
2022-07-05,100.6,104.0,100.05,100.25,22004,False
2022-07-06,100.6,102.85,100.25,100.8,16930,False
2022-07-07,102.5,102.5,100.22,101.8,14813,False
2022-07-13,103.5,105.01,100.5,104.13,74237,False
2022-07-14,105.5,110.99,103.3,109.43,581892,False
2022-07-15,108.5,108.9,105.11,106.14,127142,False
2022-07-18,103.19,104.99,101.05,102.49,94802,False
2022-07-19,102.89,102.99,98.0,98.94,138647,False
2022-07-20,98.94,100.5,98.2,99.87,29715,False
2022-07-21,100.1,100.85,97.01,97.84,53440,False
2022-07-22,96.01,100.84,95.6,99.52,78016,False
2022-07-25,99.99,100.0,97.1,98.44,10880,False
2022-07-26,98.25,99.29,97.51,98.47,35815,False
2022-07-27,99.25,102.0,98.0,100.77,104569,False
2022-07-28,100.0,103.0,99.0,99.93,167574,False
2022-07-29,98.6,100.9,98.13,100.09,173716,False
2022-08-01,98.57,104.98,98.57,100.9,192125,False
2022-08-02,99.01,102.99,98.15,101.22,111020,False
2022-08-03,100.84,108.0,100.84,106.78,414871,False
2022-08-04,106.01,111.0,105.9,108.37,155602,False
2022-08-05,105.3,112.7,105.26,110.71,397012,False
