date,open,high,low,close,volume,is_anomaly
2021-09-13,97.65,97.65,95.8,96.01,712647,False
2021-09-14,96.01,96.9,93.02,93.78,1866505,False
2021-09-15,93.8,94.0,92.07,93.19,1231413,False
2021-09-16,93.2,94.59,93.0,93.76,807049,False
2021-09-17,87.5,87.9,85.25,85.41,588609,False
2021-09-20,85.51,85.51,82.5,82.7,387604,False
2021-09-21,82.99,83.25,81.5,81.53,436763,False
2021-09-22,81.53,82.27,75.9,81.73,1195474,False
2021-09-23,81.8,82.7,77.8,78.89,803835,False
2021-09-24,81.5,81.5,77.25,78.01,891599,False
2021-09-27,79.0,79.5,75.26,76.7,397779,False
2021-09-28,77.01,79.0,76.05,78.65,815636,False
2021-09-29,78.26,78.77,74.0,74.78,693884,False
2021-09-30,74.5,76.99,72.2,76.21,695555,False
2021-10-01,76.49,78.75,75.49,78.45,664150,False
2021-10-04,78.45,79.0,76.65,78.59,230038,False
2021-10-05,78.59,79.52,76.85,77.59,535246,False
2021-10-06,77.5,78.25,75.85,76.44,378022,False
2021-10-07,77.85,78.5,76.44,77.44,436636,False
2021-10-08,77.83,78.0,74.0,77.54,205823,False
2021-10-11,77.0,77.45,71.86,72.74,1118545,False
2021-10-12,72.5,74.25,71.0,72.73,518900,False
2021-10-13,73.0,73.3,70.0,70.69,604943,False
2021-10-14,71.33,74.0,70.0,73.71,1030281,False
2021-10-15,74.0,75.3,73.71,74.84,649775,False
2021-10-18,73.8,75.0,70.8,71.87,843344,False
2021-10-20,72.25,76.15,72.2,75.94,1675450,False
2021-10-21,76.05,76.3,74.8,75.04,370170,False
2021-10-22,75.97,75.97,71.6,73.69,1348839,False
2021-10-25,72.51,74.5,72.51,74.3,148513,False
2021-10-26,74.75,77.9,73.3,76.86,2335283,False
2021-10-27,78.5,82.62,78.5,82.59,3239369,False
2021-10-28,82.7,82.75,80.5,81.1,675396,False
2021-10-29,81.3,81.9,79.0,81.52,826452,False
2021-11-01,83.15,86.25,82.6,84.48,1601516,False
2021-11-02,84.99,87.99,83.53,85.87,2175658,False
2021-11-03,86.1,86.4,82.4,82.65,1349605,False
2021-11-04,82.6,82.65,80.5,81.51,3502561,False
2021-11-05,81.48,83.51,80.72,81.02,1490556,False
2021-11-08,81.49,82.5,79.5,79.99,932439,False
2021-11-09,79.0,79.7,77.3,77.69,1697391,False
2021-11-10,78.31,78.75,76.75,77.66,757275,False
2021-11-11,77.75,78.48,75.02,75.41,656590,False
2021-11-12,75.41,75.95,73.8,74.94,883232,False
2021-11-15,75.45,76.39,74.5,74.95,716972,False
2021-11-16,75.51,76.8,75.1,76.59,800640,False
2021-11-17,76.9,76.9,74.25,74.48,502161,False
2021-11-18,75.4,75.4,72.6,73.79,501289,False
2021-11-19,74.5,76.23,73.0,73.48,2564331,False
2021-11-22,70.11,72.75,70.11,71.41,660053,False
2021-11-23,70.51,72.32,70.01,70.26,876409,False
2021-11-24,70.21,70.9,68.01,69.27,851696,False
2021-11-25,69.3,70.38,67.5,68.39,574658,False
2021-11-26,68.0,69.9,66.25,67.43,1142283,False
2021-11-29,67.01,71.4,67.0,70.9,840919,False
2021-11-30,70.65,72.69,69.51,70.44,1060554,False
2021-12-01,71.0,72.25,70.86,71.32,802910,False
2021-12-02,71.32,71.32,65.98,65.98,1118576,False
2021-12-03,64.9,65.55,61.5,62.91,1208725,False
2021-12-06,64.0,64.0,60.3,61.26,982604,False
2021-12-07,61.26,63.7,61.0,62.77,838844,False
2021-12-08,63.0,63.63,59.92,60.84,1155438,False
2021-12-09,61.48,61.48,58.0,59.35,804613,False
2021-12-10,59.85,60.49,58.0,59.59,819719,False
2021-12-13,60.0,60.4,58.65,58.92,596422,False
2021-12-14,59.49,60.99,58.3,60.64,1188865,False
2021-12-15,63.1,65.18,62.51,65.1,2417855,False
2021-12-16,64.81,65.5,62.45,63.07,1050785,False
2021-12-17,62.36,66.8,62.3,66.23,2169064,False
2021-12-20,66.7,68.4,65.55,66.99,1488368,False
2021-12-21,67.48,67.94,66.02,66.44,899678,False
2021-12-22,66.1,66.49,64.7,64.84,422752,False
2021-12-23,65.0,65.85,64.5,65.18,345916,False
2021-12-24,65.66,66.0,64.6,64.9,306787,False
2021-12-27,65.0,65.32,64.5,64.75,194221,False
2021-12-28,65.19,65.42,64.2,64.69,241337,False
2021-12-29,64.51,67.5,63.82,66.74,727008,False
2021-12-30,66.7,67.51,65.8,66.39,368252,False
2021-12-31,65.9,67.2,65.5,66.12,667265,False
2022-01-03,66.5,71.07,66.01,71.07,2013781,False
2022-01-04,72.0,73.65,71.5,72.94,1754733,False
2022-01-05,72.6,73.0,70.0,71.93,965843,False
2022-01-06,71.01,71.89,70.25,70.79,728957,False
2022-01-07,70.8,72.57,70.5,72.11,897524,False
2022-01-10,72.12,74.38,71.75,73.43,1468978,False
2022-01-11,74.0,74.0,72.5,72.92,545337,False
2022-01-12,73.51,73.78,72.5,72.56,771491,False
2022-01-13,73.0,73.0,71.51,71.91,297206,False
2022-01-14,72.48,72.56,70.8,70.99,242583,False
2022-01-17,71.95,71.95,68.75,70.41,645876,False
2022-01-18,71.49,71.49,69.8,70.51,225444,False
2022-01-19,70.99,71.0,67.0,68.31,500802,False
2022-01-20,67.9,69.45,67.0,69.04,405585,False
2022-01-21,69.39,72.39,68.75,70.42,1452973,False
2022-01-24,70.98,70.98,69.8,69.98,484098,False
2022-01-25,70.5,71.5,69.5,69.83,1134752,False
2022-01-26,69.7,69.89,68.6,69.16,421173,False
2022-01-27,69.95,69.95,68.41,68.79,493998,False
2022-01-28,69.0,70.5,68.35,69.79,610357,False
2022-01-31,70.3,71.15,67.73,68.23,2590448,False
2022-02-01,68.23,69.0,68.01,68.58,830725,False
2022-02-02,68.94,70.0,68.35,69.65,1056019,False
2022-02-03,70.34,70.69,68.1,68.44,1445108,False
2022-02-04,68.53,69.0,68.02,68.19,719393,False
2022-02-07,68.1,70.5,68.1,68.48,1345243,False
2022-02-08,68.01,70.21,68.0,69.32,1985046,False
2022-02-09,68.76,70.4,68.75,69.43,1904430,False
2022-02-10,69.89,70.95,69.5,69.71,1537579,False
2022-02-11,68.2,68.6,67.0,67.28,477932,False
2022-02-14,66.97,67.5,65.5,65.88,518490,False
2022-02-15,66.25,66.7,65.15,66.52,178058,False
2022-02-16,66.62,67.0,66.0,66.23,172488,False
2022-02-17,66.25,66.65,65.34,66.2,255001,False
2022-02-18,66.2,66.99,66.02,66.58,138649,False
2022-02-21,66.21,66.9,66.21,66.6,125285,False
2022-02-22,66.51,66.51,64.55,65.19,939042,False
2022-02-23,66.0,66.0,62.75,64.01,642361,False
2022-02-24,62.0,62.02,59.9,60.02,958635,False
2022-02-25,59.6,61.5,59.6,60.73,1090767,False
2022-02-28,60.87,62.0,59.5,61.54,453513,False
2022-03-01,63.45,63.45,61.5,62.33,747632,False
2022-03-02,61.99,61.99,59.8,61.27,493152,False
2022-03-03,61.0,61.8,60.03,60.4,358269,False
2022-03-04,60.85,61.0,60.2,60.43,120156,False
2022-03-07,60.0,60.0,55.9,56.68,1197306,False
2022-03-08,56.7,57.0,54.7,55.22,665163,False
2022-03-09,55.01,56.35,55.0,55.86,311174,False
2022-03-10,56.6,58.51,56.6,57.94,1614085,False
2022-03-11,58.0,58.25,57.01,57.68,327706,False
2022-03-14,56.7,57.5,55.27,55.91,103473,False
2022-03-15,56.85,59.5,56.1,58.94,384634,False
2022-03-16,59.0,60.9,58.9,60.3,630581,False
2022-03-17,60.79,60.79,59.35,59.47,180387,False
2022-03-18,58.4,58.4,56.8,57.4,499627,False
2022-03-21,57.5,58.49,57.4,58.16,212396,False
2022-03-22,58.4,59.0,57.88,58.18,123850,False
2022-03-24,57.15,59.49,55.61,59.08,219111,False
2022-03-25,59.9,60.5,59.0,59.38,381438,False
2022-03-28,59.95,60.9,58.25,60.76,299063,False
2022-03-29,61.15,62.49,61.0,62.01,536242,False
2022-03-30,60.11,65.12,60.0,63.92,1622080,False
2022-03-31,63.0,65.99,63.0,65.17,1124617,False
2022-04-01,65.5,66.2,64.2,65.15,693143,False
2022-04-04,61.3,62.69,60.27,60.9,862454,False
2022-04-05,60.8,62.49,60.45,60.61,307272,False
2022-04-06,61.2,62.19,60.75,61.06,247801,False
2022-04-07,61.3,63.9,56.49,56.79,4270174,False
2022-04-08,56.0,58.5,56.0,58.11,847414,False
2022-04-11,61.04,62.46,61.04,62.46,1175671,False
2022-04-12,63.66,65.9,63.55,65.55,3299740,False
2022-04-13,65.55,65.88,63.41,63.64,967388,False
2022-04-14,63.85,67.5,62.51,66.25,2192947,False
2022-04-15,67.25,68.39,66.57,67.27,1663089,False
2022-04-18,66.21,68.24,66.02,66.52,1244737,False
2022-04-19,66.6,67.29,64.52,65.07,299140,False
2022-04-20,65.07,65.5,64.02,64.51,400382,False
2022-04-21,64.02,64.8,60.0,62.5,1561256,False
2022-04-22,62.32,62.98,61.56,62.54,252706,False
2022-04-25,62.99,64.4,62.9,64.05,765161,False
2022-04-26,64.5,64.9,63.11,63.28,363067,False
2022-04-27,63.7,63.7,61.55,62.0,471066,False
2022-04-28,62.0,62.29,59.8,61.87,933842,False
2022-05-06,61.0,61.9,60.0,60.42,292553,False
2022-05-09,58.75,60.42,56.75,57.88,675299,False
2022-05-10,57.88,59.0,57.5,58.55,526872,False
2022-05-11,58.9,58.9,56.0,57.33,693532,False
2022-05-12,56.25,60.1,54.6,59.38,485073,False
2022-05-13,59.5,60.45,58.1,59.16,134020,False
2022-05-16,59.87,59.87,56.5,56.74,186050,False
2022-05-17,56.95,59.22,56.73,58.83,250012,False
2022-05-18,58.25,62.0,58.25,61.14,650314,False
2022-05-19,61.0,62.45,60.02,60.96,1532077,False
2022-05-20,61.45,62.0,60.57,61.42,450669,False
2022-05-23,58.16,61.48,58.16,59.83,402879,False
2022-05-24,58.8,60.8,58.05,58.6,130638,False
2022-05-25,58.24,59.5,57.2,58.77,230644,False
2022-05-26,59.89,61.85,58.6,61.38,1018328,False
2022-05-27,62.0,63.25,60.66,61.44,1648153,False
2022-05-30,61.44,62.65,61.0,61.79,207623,False
2022-05-31,61.79,62.45,61.2,61.68,271552,False
