date,open,high,low,close,volume,is_anomaly
2021-09-13,66.88,67.31,65.0,65.84,871500,False
2021-09-14,65.84,67.5,63.3,64.51,193500,False
2021-09-15,64.51,65.86,61.1,65.31,379000,False
2021-09-16,66.0,70.2,65.0,70.2,921500,False
2021-09-17,71.0,75.46,71.0,75.01,685500,False
2021-09-20,73.0,74.0,70.05,71.03,140000,False
2021-09-21,71.0,72.0,67.16,68.27,225000,False
2021-09-22,67.0,68.0,63.15,65.99,407500,False
2021-09-23,66.0,66.99,61.05,61.05,144000,False
2021-09-24,61.05,61.05,58.0,59.41,64000,False
2021-09-27,57.01,59.4,54.96,57.74,87500,False
2021-09-28,60.98,62.07,59.0,62.0,85000,False
2021-09-29,62.3,63.0,57.4,58.18,81000,False
2021-09-30,59.87,60.5,58.0,59.89,74000,False
2021-10-01,58.0,64.38,58.0,63.06,74000,False
2021-10-04,63.45,65.65,62.0,64.77,30000,False
2021-10-05,65.5,65.5,64.0,64.61,27500,False
2021-10-06,64.0,64.0,59.77,60.33,125000,False
2021-10-07,60.0,62.0,57.6,58.05,149500,False
2021-10-08,57.0,57.75,56.11,57.01,31000,False
2021-10-11,56.5,58.0,53.4,54.36,28500,False
2021-10-12,52.05,55.0,51.12,53.18,146000,False
2021-10-13,52.5,53.95,49.8,50.04,18000,False
2021-10-14,51.85,53.79,51.85,53.79,63500,False
2021-10-15,48.0,48.19,44.83,48.18,58500,False
2021-10-18,48.0,50.15,46.05,46.41,25000,False
2021-10-20,47.48,49.0,47.48,48.5,45500,False
2021-10-21,47.51,48.99,47.35,48.01,17000,False
2021-10-22,49.89,49.89,44.41,45.55,53500,False
2021-10-25,47.48,47.48,44.48,45.69,10500,False
2021-10-26,44.51,45.0,44.5,44.63,17500,False
2021-10-27,45.01,47.66,45.01,47.66,36500,False
2021-10-28,47.22,47.69,46.51,46.99,27500,False
2021-10-29,47.5,48.5,46.51,48.22,53000,False
2021-11-01,49.9,51.83,49.02,50.08,126500,False
2021-11-02,51.0,51.0,48.0,49.0,47500,False
2021-11-03,49.0,50.15,49.0,49.55,66500,False
2021-11-04,50.5,50.5,49.51,49.88,67500,False
2021-11-05,50.01,53.62,49.98,52.52,195000,False
2021-11-08,53.35,54.0,52.0,52.04,75000,False
2021-11-09,52.99,53.0,50.0,52.0,89000,False
2021-11-10,51.01,53.9,51.01,53.01,64000,False
2021-11-11,54.25,56.0,53.01,54.55,119000,False
2021-11-12,54.0,54.5,52.01,52.74,15000,False
2021-11-15,52.0,52.01,52.0,52.0,7500,False
2021-11-16,54.9,55.9,54.9,55.9,317000,False
2021-11-17,56.99,58.0,54.0,54.31,85500,False
2021-11-18,55.4,57.0,54.75,55.93,83500,False
2021-11-19,57.49,57.49,55.55,55.96,41000,False
2021-11-22,54.2,57.4,54.0,55.79,32500,False
2021-11-23,56.0,56.0,51.62,52.01,64500,False
2021-11-24,49.51,52.89,49.5,51.78,34000,False
2021-11-25,51.5,51.5,49.2,50.58,6000,False
2021-11-26,50.25,52.89,49.0,50.05,43500,False
2021-11-29,51.99,53.5,50.0,53.12,70000,False
2021-11-30,53.5,53.5,51.5,52.22,11000,False
2021-12-01,53.0,54.0,53.0,53.22,16500,False
2021-12-02,51.05,52.5,49.23,49.23,54000,False
2021-12-03,48.0,49.0,47.0,47.11,48000,False
2021-12-06,47.0,47.0,45.0,45.85,23500,False
2021-12-07,46.5,49.28,46.5,49.28,67500,False
2021-12-08,51.67,51.67,47.55,49.25,23000,False
2021-12-09,48.15,50.0,48.0,49.0,10500,False
2021-12-10,47.0,47.0,47.0,47.0,7000,False
2021-12-13,46.4,46.4,46.02,46.02,3000,False
2021-12-14,45.0,48.46,44.25,48.46,73500,False
2021-12-15,49.9,51.5,49.9,51.12,58500,False
2021-12-16,49.6,49.7,49.1,49.37,8500,False
2021-12-17,49.37,50.0,49.05,49.48,18000,False
2021-12-20,52.87,52.87,49.2,50.08,9500,False
2021-12-21,51.85,51.85,49.1,50.4,25000,False
2021-12-22,49.06,50.4,49.06,50.13,3000,False
2021-12-24,49.36,49.99,49.35,49.88,6500,False
2021-12-27,50.5,52.0,49.4,49.4,26500,False
2021-12-28,49.25,49.25,49.25,49.25,1000,False
2021-12-29,48.9,49.25,48.71,48.71,3500,False
2021-12-30,49.5,49.85,48.63,49.68,18000,False
2021-12-31,49.8,52.0,49.8,51.3,183500,False
2022-01-03,52.01,52.01,50.0,50.3,63000,False
2022-01-04,50.5,51.2,49.48,51.17,25500,False
2022-01-05,51.87,52.0,51.87,52.0,8000,False
