date,open,high,low,close,volume,is_anomaly
2021-09-13,38.65,38.95,38.2,38.31,807500,False
2021-09-14,38.43,38.74,38.16,38.25,564000,False
2021-09-15,38.45,38.45,38.02,38.08,543500,False
2021-09-16,38.09,38.14,37.76,38.02,549000,False
2021-09-17,38.05,38.09,37.8,37.87,809000,False
2021-09-20,37.9,38.3,37.71,37.98,851000,False
2021-09-21,38.0,38.1,37.4,37.55,690000,False
2021-09-22,37.49,37.5,36.0,37.01,1399500,False
2021-09-23,37.2,37.25,36.1,36.4,705000,False
2021-09-24,36.87,36.87,35.7,35.82,1672000,False
2021-09-27,35.6,35.8,34.71,35.02,1892000,False
2021-09-28,35.05,35.5,34.94,35.13,1702000,False
2021-09-29,35.15,35.4,34.4,34.99,1246000,False
2021-09-30,34.99,35.25,34.85,35.0,1800000,False
2021-10-01,35.25,35.55,34.9,35.42,1097000,False
2021-10-04,34.2,35.69,34.2,35.23,1831500,False
2021-10-05,35.29,35.3,34.75,34.88,1371500,False
2021-10-06,35.0,35.19,34.5,34.58,1337500,False
2021-10-07,34.6,35.05,34.42,34.56,911500,False
2021-10-08,34.9,34.9,33.51,33.97,1901000,False
2021-10-11,34.11,34.11,32.73,32.79,1701500,False
2021-10-12,33.0,33.0,30.75,31.86,15661000,False
2021-10-13,28.65,28.74,27.5,28.0,1573000,False
2021-10-14,28.0,28.69,27.82,28.64,1134500,False
2021-10-15,28.8,29.0,28.6,28.85,792500,False
2021-10-18,28.5,28.89,28.4,28.54,1125500,False
2021-10-20,28.8,29.2,28.0,28.22,1714500,False
2021-10-21,28.3,28.3,27.0,27.16,2280500,False
2021-10-22,27.19,27.25,26.5,26.63,1196000,False
2021-10-25,27.25,27.25,26.85,27.04,686000,False
2021-10-26,27.24,27.35,27.01,27.31,543500,False
2021-10-27,27.49,27.75,27.49,27.68,1386500,False
2021-10-28,27.85,27.93,27.65,27.74,1238000,False
2021-10-29,27.8,28.15,27.56,28.0,897000,False
2021-11-01,28.25,28.89,28.25,28.71,1074500,False
2021-11-02,28.9,28.9,28.35,28.39,671000,False
2021-11-03,28.25,28.74,28.25,28.49,476500,False
