date,open,high,low,close,volume,is_anomaly
2021-09-13,3.7,3.76,3.66,3.68,4587500,False
2021-09-14,3.68,3.68,3.5,3.54,10853000,False
2021-09-15,3.55,3.58,3.51,3.57,5144000,False
2021-09-16,3.57,3.63,3.56,3.61,2504500,False
2021-09-17,3.61,3.65,3.56,3.59,5417000,False
2021-09-20,3.59,3.59,3.53,3.54,5133500,False
2021-09-21,3.54,3.56,3.49,3.51,8263000,False
2021-09-22,3.55,3.55,3.37,3.49,8681500,False
2021-09-23,3.51,3.51,3.28,3.4,13162000,False
2021-09-24,3.32,3.46,3.22,3.25,14915000,False
2021-09-27,3.24,3.3,3.2,3.24,4040500,False
2021-09-28,3.29,3.5,3.26,3.41,5915000,False
2021-09-29,3.4,3.4,3.28,3.31,1826500,False
2021-09-30,3.31,4.31,3.1,4.0,32484500,False
2021-10-01,3.68,3.74,3.58,3.62,9961500,False
2021-10-04,3.6,3.6,3.52,3.56,1358500,False
2021-10-05,3.57,3.57,3.45,3.46,3690000,False
2021-10-06,3.48,3.48,3.39,3.42,1476500,False
2021-10-07,3.45,3.5,3.39,3.4,2102500,False
2021-10-08,3.4,3.44,3.32,3.41,522000,False
2021-10-11,3.37,3.4,3.3,3.32,2316500,False
2021-10-12,3.31,3.44,3.3,3.37,2350000,False
2021-10-13,3.35,3.45,3.32,3.36,2370000,False
2021-10-14,3.32,3.53,3.32,3.45,7876000,False
2021-10-15,3.42,3.51,3.42,3.48,4180000,False
2021-10-18,3.45,3.5,3.4,3.41,1431500,False
2021-10-20,3.43,3.51,3.41,3.45,1710500,False
2021-10-21,3.44,3.5,3.38,3.4,2286000,False
2021-10-22,3.37,3.43,3.36,3.41,1984000,False
2021-10-25,3.34,3.43,3.34,3.39,1019500,False
2021-10-26,3.38,3.43,3.35,3.36,1805500,False
2021-10-27,3.43,3.53,3.42,3.5,1775500,False
2021-10-28,3.5,3.56,3.49,3.54,2034500,False
2021-10-29,3.54,3.54,3.42,3.49,2480500,False
2021-11-01,3.46,3.57,3.43,3.49,5168500,False
2021-11-02,3.5,3.52,3.45,3.47,1334500,False
2021-11-03,3.47,3.63,3.45,3.6,5493000,False
2021-11-04,3.58,3.7,3.58,3.67,5747500,False
2021-11-05,3.7,3.7,3.6,3.62,2453000,False
2021-11-08,3.62,3.68,3.55,3.57,1522500,False
2021-11-09,3.52,3.6,3.48,3.52,4804500,False
2021-11-10,3.5,3.6,3.46,3.55,5394000,False
2021-11-11,3.53,3.64,3.49,3.5,3664500,False
2021-11-12,3.5,3.53,3.46,3.5,2483000,False
2021-11-15,3.41,3.49,3.33,3.35,3959500,False
2021-11-16,3.35,3.42,3.35,3.41,2151500,False
2021-11-17,3.41,3.46,3.35,3.37,2172000,False
2021-11-18,3.43,3.45,3.31,3.35,1350000,False
2021-11-19,3.33,3.6,3.32,3.4,4186500,False
2021-11-22,3.4,3.4,3.31,3.33,3883500,False
2021-11-23,3.4,3.4,3.27,3.28,2484500,False
2021-11-24,3.29,3.3,3.21,3.25,2262500,False
2021-11-25,3.29,3.3,3.17,3.19,3239000,False
2021-11-26,3.29,3.29,3.16,3.19,4828500,False
2021-11-29,3.17,3.25,3.16,3.23,662500,False
2021-11-30,3.24,3.4,3.19,3.32,6190000,False
2021-12-01,3.32,3.36,3.26,3.28,1218000,False
2021-12-02,3.3,3.3,3.07,3.11,5115000,False
2021-12-03,3.15,3.23,3.1,3.18,5629000,False
2021-12-06,3.18,3.51,3.15,3.45,7561000,False
2021-12-07,3.44,3.47,3.33,3.35,1638500,False
2021-12-08,3.4,3.41,3.3,3.33,1890000,False
2021-12-09,3.37,3.37,3.24,3.25,1007500,False
2021-12-10,3.2,3.21,3.12,3.19,3644000,False
2021-12-13,3.18,3.28,3.1,3.12,5446500,False
2021-12-14,3.15,3.18,3.09,3.15,3623500,False
2021-12-15,3.17,3.43,3.17,3.39,10096000,False
2021-12-16,3.33,3.33,3.18,3.2,4291000,False
2021-12-17,3.29,3.3,3.17,3.19,2658000,False
2021-12-20,3.24,3.27,3.2,3.22,2470500,False
2021-12-21,3.21,3.29,3.2,3.21,2199000,False
2021-12-22,3.25,3.3,3.21,3.26,2658000,False
2021-12-23,3.29,3.38,3.24,3.26,3742500,False
2021-12-24,3.31,3.31,3.24,3.25,4869000,False
2021-12-27,3.25,3.29,3.22,3.24,1765000,False
2021-12-28,3.28,3.33,3.24,3.26,8591500,False
2021-12-29,3.29,3.5,3.24,3.42,13551500,False
2021-12-30,3.49,3.6,3.39,3.45,22927500,False
2021-12-31,3.42,3.48,3.35,3.44,13121500,False
2022-01-03,3.39,3.39,3.3,3.32,6153000,False
2022-01-04,3.31,3.49,3.3,3.42,6681000,False
2022-01-05,3.4,3.42,3.36,3.38,2162500,False
2022-01-06,3.38,3.38,3.28,3.3,5077500,False
2022-01-07,3.33,3.34,3.27,3.32,1884000,False
2022-01-10,3.33,3.35,3.3,3.32,1713000,False
2022-01-11,3.39,3.39,3.29,3.32,5735000,False
2022-01-12,3.37,3.39,3.3,3.34,5464500,False
2022-01-13,3.38,3.38,3.3,3.33,2190500,False
2022-01-14,3.34,3.36,3.31,3.32,2720500,False
2022-01-17,3.31,3.32,3.26,3.27,2484500,False
2022-01-18,3.3,3.32,3.25,3.26,2048000,False
2022-01-19,3.26,3.26,3.14,3.16,3861000,False
2022-01-20,3.16,3.16,3.08,3.1,11450000,False
2022-01-21,3.13,3.17,3.1,3.1,3773000,False
2022-01-24,3.14,3.14,3.08,3.09,3145500,False
2022-01-25,3.15,3.15,3.07,3.09,4628500,False
2022-01-26,3.1,3.12,3.05,3.07,3291500,False
2022-01-27,3.11,3.13,3.08,3.11,6490500,False
2022-01-28,3.14,3.16,3.1,3.13,3099500,False
2022-01-31,3.16,3.16,3.12,3.13,895000,False
2022-02-01,3.18,3.25,3.18,3.23,3010000,False
2022-02-02,3.25,3.25,3.2,3.23,1374000,False
2022-02-03,3.3,3.44,3.25,3.26,7730500,False
2022-02-04,3.3,3.3,3.2,3.22,2483500,False
2022-02-07,3.24,3.24,3.17,3.18,2414500,False
2022-02-08,3.2,3.37,3.2,3.35,10169500,False
2022-02-09,3.34,3.49,3.34,3.38,13780000,False
2022-02-10,3.39,3.39,3.24,3.26,5218000,False
2022-02-11,3.23,3.59,3.24,3.42,11988500,True
2022-02-14,3.39,3.49,3.27,3.42,6439000,False
2022-02-15,3.43,3.57,3.37,3.53,22714500,False
2022-02-16,3.67,3.67,3.48,3.59,23646000,False
2022-02-17,3.55,3.55,3.41,3.47,8856000,False
2022-02-18,3.41,3.54,3.41,3.48,8799000,False
2022-02-21,3.44,3.44,3.27,3.3,8946500,False
2022-02-22,3.31,3.31,3.17,3.25,7408500,False
2022-02-23,3.25,3.35,3.2,3.26,2476000,False
2022-02-24,3.22,3.3,3.1,3.22,14456500,False
2022-02-25,3.17,3.33,3.17,3.28,5461000,False
2022-02-28,3.24,3.32,3.19,3.27,5003000,False
2022-03-01,3.3,3.34,3.22,3.26,5841000,False
2022-03-02,3.24,3.24,3.2,3.2,1081500,False
2022-03-03,3.2,3.28,3.1,3.2,7600000,False
2022-03-04,3.19,3.2,3.13,3.15,1600000,False
2022-03-07,3.18,3.18,3.04,3.09,4581000,False
2022-03-08,3.1,3.14,3.04,3.08,2408000,False
2022-03-09,3.03,3.13,3.02,3.08,4318500,False
2022-03-10,3.1,3.15,3.04,3.06,4782000,False
2022-03-11,3.06,3.09,3.03,3.08,2350000,False
2022-03-14,3.04,3.08,3.02,3.05,1017000,False
2022-03-15,3.03,3.07,2.99,3.03,2453500,False
2022-03-16,3.07,3.14,3.0,3.02,6643000,False
2022-03-17,3.01,3.07,2.97,3.02,4858500,False
2022-03-18,3.0,3.04,2.88,2.92,8827000,False
2022-03-21,2.99,3.03,2.93,2.98,2323500,False
2022-03-22,2.94,3.0,2.9,2.93,3953500,False
2022-03-24,2.93,2.94,2.89,2.92,3167000,False
2022-03-25,2.93,2.94,2.9,2.91,5963000,False
2022-03-28,2.91,3.1,2.88,3.02,6608000,False
2022-03-29,3.06,3.16,3.0,3.11,11176000,False
2022-03-30,3.09,3.24,2.9,3.11,38419500,False
2022-03-31,3.11,3.22,2.92,3.14,56072000,False
2022-04-01,3.12,3.12,3.05,3.1,6072000,False
2022-04-04,3.0,3.08,2.88,2.92,16012000,False
2022-04-05,2.9,2.98,2.89,2.91,5705000,False
2022-04-06,2.92,2.97,2.9,2.91,5265000,False
2022-04-07,2.95,2.95,2.9,2.9,7698000,False
2022-04-08,2.94,2.95,2.88,2.93,6916000,False
2022-04-11,3.02,3.13,3.02,3.1,11358000,False
2022-04-12,3.13,3.13,3.01,3.07,7524500,False
2022-04-13,3.06,3.19,3.03,3.06,17800000,False
2022-04-14,3.05,3.1,3.02,3.08,4445500,False
2022-04-15,3.12,3.14,3.08,3.12,4820500,False
2022-04-18,3.1,3.2,3.08,3.09,6124500,False
2022-04-19,3.1,3.13,3.01,3.02,4723000,False
2022-04-20,3.05,3.06,2.95,2.97,4453000,False
2022-04-21,3.0,3.0,2.91,2.92,6633000,False
2022-04-22,2.92,2.96,2.9,2.94,2474500,False
2022-04-25,3.0,3.04,2.96,2.96,4309000,False
2022-04-26,3.0,3.0,2.88,2.9,6426500,False
2022-04-27,2.91,2.93,2.88,2.9,4226500,False
2022-04-28,2.9,2.91,2.81,2.84,8822000,False
2022-05-06,2.84,2.87,2.8,2.82,4025000,False
2022-05-09,2.85,2.85,2.64,2.67,6849000,False
2022-05-10,2.69,2.73,2.65,2.7,6111500,False
2022-05-11,2.7,2.7,2.51,2.6,6320500,False
2022-05-12,2.69,2.69,2.53,2.64,3209000,False
2022-05-13,2.58,2.71,2.57,2.66,1409500,False
2022-05-16,2.65,2.66,2.5,2.54,5205000,False
2022-05-17,2.51,2.6,2.51,2.56,2918000,False
2022-05-18,2.6,2.63,2.52,2.6,2994500,False
2022-05-19,2.64,2.65,2.57,2.59,2651500,False
2022-05-20,2.59,2.7,2.53,2.58,19219500,False
2022-05-23,2.58,2.6,2.49,2.5,6123500,False
2022-05-24,2.51,2.54,2.49,2.5,4268000,False
2022-05-25,2.52,2.58,2.47,2.52,15143000,False
2022-05-26,2.52,2.59,2.51,2.58,5745000,False
