date,open,high,low,close,volume,is_anomaly
2021-09-13,815.0,815.0,806.1,810.0,2350,False
2021-09-14,805.0,805.0,800.0,800.0,2500,False
2021-09-15,802.0,814.9,789.1,796.04,6050,False
2021-09-16,798.5,799.5,793.0,798.05,6400,False
2021-09-17,790.0,800.0,790.0,799.37,11950,False
2021-09-20,782.01,800.01,781.1,799.91,42500,False
2021-09-21,794.5,794.5,770.0,782.52,10750,False
2021-09-22,771.0,794.0,765.0,782.7,23950,False
2021-09-23,780.0,795.3,778.0,792.75,11050,False
2021-09-24,788.0,799.0,785.0,795.96,25850,False
2021-09-27,780.0,799.4,775.0,794.58,22600,False
2021-09-28,790.0,810.0,790.0,805.41,21500,False
2021-09-29,791.0,805.0,775.0,781.14,56150,False
2021-09-30,774.95,799.9,770.0,793.57,27500,False
2021-10-01,795.0,795.0,788.2,793.0,700,False
2021-10-04,783.01,794.9,779.98,781.22,20650,False
2021-10-05,775.0,775.1,774.99,775.0,11700,False
2021-10-06,766.0,775.0,757.0,757.0,8100,False
2021-10-07,758.0,769.0,750.0,765.08,7900,False
2021-10-08,755.0,794.95,745.0,770.42,11100,False
2021-10-11,779.99,789.9,760.3,774.32,7650,False
2021-10-12,752.0,790.0,752.0,779.69,18600,False
2021-10-13,770.0,783.0,755.06,773.75,25450,False
2021-10-14,765.0,775.0,765.0,772.32,17300,False
2021-10-15,790.0,800.0,770.0,771.43,35350,False
2021-10-18,764.5,764.5,755.0,759.95,15300,False
2021-10-20,764.02,800.0,760.1,781.95,26850,False
2021-10-21,780.0,788.0,780.0,783.1,1550,False
2021-10-22,783.1,799.99,776.0,797.19,1350,False
2021-10-25,798.0,800.0,798.0,799.98,15200,False
2021-10-26,810.0,810.0,789.0,802.5,11700,False
2021-10-27,791.0,810.0,791.0,809.8,3100,False
2021-10-28,802.0,805.0,802.0,803.0,1250,False
2021-10-29,792.0,805.0,790.0,803.5,1250,False
2021-11-01,791.5,830.0,791.5,811.45,31100,False
