date,open,high,low,close,volume,is_anomaly
2021-09-13,15.12,15.31,15.03,15.03,298500,False
2021-09-14,15.0,15.15,14.65,14.77,491500,False
2021-09-15,14.94,14.99,14.67,14.78,370000,False
2021-09-16,14.78,14.92,14.66,14.69,255500,False
2021-09-17,14.8,14.85,14.6,14.66,402000,False
2021-09-20,14.66,14.7,14.47,14.48,342000,False
2021-09-21,14.5,14.55,14.11,14.16,393000,False
2021-09-22,14.1,14.5,13.6,13.89,1846500,False
2021-09-23,14.0,14.11,13.65,13.7,1031000,False
2021-09-24,13.7,13.72,13.43,13.48,1400000,False
2021-09-27,13.6,13.6,13.25,13.39,648000,False
2021-09-28,13.4,13.88,13.39,13.76,870500,False
2021-09-29,13.88,14.0,13.01,13.32,1130000,False
2021-09-30,13.3,14.08,13.3,13.99,1062000,False
2021-10-01,13.75,14.1,13.6,14.02,247500,False
2021-10-04,13.8,14.3,13.8,14.27,308500,False
2021-10-05,14.16,14.75,14.16,14.35,631000,False
2021-10-06,14.31,14.31,14.02,14.08,194500,False
2021-10-07,14.15,14.4,14.12,14.26,561500,False
2021-10-08,14.3,14.3,14.01,14.12,307500,False
2021-10-11,14.01,14.2,14.01,14.11,188000,False
2021-10-12,14.01,14.59,14.01,14.41,533500,False
2021-10-13,14.55,14.65,14.35,14.4,451500,False
2021-10-14,14.45,15.17,14.45,14.87,4828000,False
2021-10-15,14.7,15.8,14.7,15.17,8723000,False
2021-10-18,15.0,15.25,14.86,15.09,2272500,False
2021-10-20,15.22,15.44,15.2,15.38,1106500,False
2021-10-21,15.38,15.55,15.02,15.23,2772500,False
2021-10-22,15.23,15.4,15.04,15.08,971500,False
2021-10-25,15.4,15.53,15.12,15.45,1548500,False
2021-10-26,15.5,15.59,15.38,15.49,8005500,False
2021-10-27,14.3,14.4,14.05,14.15,2428000,False
2021-10-28,14.33,14.35,14.0,14.06,708000,False
2021-10-29,14.1,14.12,13.76,13.83,1680000,False
2021-11-01,14.1,14.2,14.0,14.09,906500,False
2021-11-02,14.1,14.2,13.87,13.89,1498000,False
2021-11-03,13.86,14.05,13.8,13.82,756500,False
2021-11-04,13.83,14.05,13.82,13.94,1521500,False
2021-11-05,13.82,14.25,13.82,14.06,2249000,False
2021-11-08,14.1,14.26,13.91,14.11,2701500,False
2021-11-09,14.2,14.57,14.0,14.32,7271500,False
2021-11-10,14.32,14.32,14.03,14.1,1472500,False
2021-11-11,14.1,14.25,14.0,14.2,2177500,False
