date,open,high,low,close,volume,is_anomaly
2021-09-13,789.97,789.97,780.0,783.13,82513,False
2021-09-14,787.01,787.5,758.0,766.89,155513,False
2021-09-15,766.89,766.89,756.0,761.18,61202,False
2021-09-16,760.98,760.98,748.0,758.5,287094,False
2021-09-17,760.0,768.95,730.0,736.73,433997,False
2021-09-20,738.0,748.0,725.26,741.7,368027,False
2021-09-21,748.99,748.99,726.15,729.79,268200,False
2021-09-22,737.0,737.99,708.15,728.61,626791,False
2021-09-23,730.0,752.49,725.0,727.72,399577,False
2021-09-24,730.0,732.99,717.0,724.69,238840,False
2021-09-27,727.0,734.9,714.02,721.88,192947,False
2021-09-28,715.0,745.0,713.05,723.61,470498,False
2021-09-29,725.0,725.0,696.05,710.62,402667,False
2021-09-30,710.62,730.0,692.5,722.9,492634,False
2021-10-01,727.9,748.47,710.0,712.31,160753,False
2021-10-04,709.0,719.0,696.0,704.36,200896,False
2021-10-05,707.0,707.0,675.1,679.69,1122578,False
2021-10-06,679.0,679.9,665.6,672.76,266703,False
2021-10-07,690.01,697.9,665.0,669.02,924076,False
2021-10-08,669.0,673.5,653.0,660.48,578612,False
2021-10-11,660.0,664.9,643.05,650.69,882525,False
2021-10-12,643.01,670.0,637.0,651.81,1238174,False
2021-10-13,651.0,659.0,638.55,641.38,164529,False
2021-10-14,646.87,680.0,635.02,673.84,918101,False
2021-10-15,662.1,685.0,662.1,682.29,352699,False
2021-10-18,674.8,687.0,670.0,680.01,202071,False
2021-10-20,682.0,709.75,682.0,701.39,343774,False
2021-10-21,707.99,719.99,700.0,706.79,307469,False
2021-10-22,709.0,745.0,706.0,708.82,732945,False
2021-10-25,709.0,711.95,696.53,697.51,191304,False
2021-10-26,699.99,700.0,695.0,698.0,240836,False
2021-10-27,705.99,724.88,705.0,714.97,297062,False
2021-10-28,720.0,738.0,720.0,734.32,750317,False
2021-10-29,739.0,779.9,730.0,772.78,828696,False
2021-11-01,809.99,818.44,787.0,790.31,991896,False
2021-11-02,803.0,810.8,776.61,780.1,367916,False
2021-11-03,775.0,784.0,766.13,769.02,476503,False
2021-11-04,763.5,773.0,757.0,760.07,634670,False
2021-11-05,760.0,784.0,756.0,764.13,408144,False
2021-11-08,773.99,776.25,762.0,772.72,591594,False
2021-11-09,768.0,775.0,748.0,768.17,1144595,False
2021-11-10,771.0,774.84,758.0,763.55,411958,False
2021-11-11,766.99,768.99,753.0,756.72,128188,False
