date,open,high,low,close,volume,is_anomaly
2021-09-13,154.0,158.35,154.0,157.04,203222,False
2021-09-14,157.89,157.89,155.0,155.58,189869,False
2021-09-15,156.0,156.6,155.0,155.84,240279,False
2021-09-16,156.4,157.5,155.75,157.02,120310,False
2021-09-17,155.5,157.49,155.1,155.51,297450,False
2021-09-20,156.44,166.99,155.25,159.75,400143,False
2021-09-21,166.0,166.0,157.0,161.57,447413,False
2021-09-22,163.28,164.0,158.75,162.67,297999,False
2021-09-23,160.0,162.67,159.02,159.96,151924,False
2021-09-24,161.79,161.79,156.1,157.32,659364,False
2021-09-27,157.94,159.84,153.8,157.35,483935,False
2021-09-28,156.0,157.5,154.5,155.12,326115,False
2021-09-29,155.74,155.74,148.5,148.93,1096228,False
2021-09-30,149.79,152.98,148.1,150.69,2631189,False
2021-10-01,150.99,153.49,148.02,148.8,421745,False
2021-10-04,149.0,151.0,147.45,149.04,631411,False
2021-10-05,148.7,149.5,148.5,148.9,431997,False
2021-10-06,149.4,149.4,147.5,148.27,574016,False
2021-10-07,149.0,151.0,148.0,148.7,579150,False
2021-10-08,149.35,150.88,148.04,150.2,861478,False
2021-10-11,150.93,150.93,148.2,149.62,117847,False
2021-10-12,149.48,151.75,148.4,150.24,1506093,False
2021-10-13,150.44,151.0,147.4,148.27,1112418,False
2021-10-14,149.84,151.29,147.02,149.44,1170507,False
2021-10-15,149.99,154.99,149.3,153.33,3790858,False
2021-10-18,152.01,157.0,151.5,156.45,1366240,False
2021-10-20,156.0,159.99,155.0,159.63,1304963,False
2021-10-21,160.0,164.49,156.5,160.66,1917195,False
2021-10-22,162.84,162.84,159.03,159.82,1028966,False
2021-10-25,160.95,160.95,158.51,159.03,512745,False
2021-10-26,159.65,159.89,158.5,158.61,804349,False
2021-10-27,159.4,165.0,159.4,163.81,1677425,False
2021-10-28,164.99,164.99,161.0,163.5,281372,False
2021-10-29,164.9,164.9,162.1,163.96,124028,False
2021-11-01,165.7,166.0,163.96,164.35,166531,False
2021-11-02,164.0,165.0,163.5,164.67,215351,False
2021-11-03,165.0,165.0,162.01,163.14,1608884,False
2021-11-04,164.5,164.5,160.5,161.71,464021,False
2021-11-05,162.0,163.99,161.97,163.68,450404,False
2021-11-08,160.5,160.89,157.91,158.07,178808,False
2021-11-09,159.0,159.0,156.5,156.82,163943,False
2021-11-10,158.49,158.49,155.2,155.5,458924,False
2021-11-11,156.3,156.5,155.01,155.4,609202,False
2021-11-12,155.75,156.25,152.66,153.43,342344,False
2021-11-15,153.4,153.4,151.05,151.33,390643,False
2021-11-16,151.1,152.0,151.01,151.32,1164868,False
2021-11-17,151.85,156.0,151.85,155.23,2129747,False
2021-11-18,155.95,157.47,155.5,156.59,1273530,False
2021-11-19,157.0,163.4,155.21,160.47,873921,False
2021-11-22,160.05,164.0,156.0,156.68,1601084,False
2021-11-23,156.98,158.4,156.25,157.0,1098017,False
2021-11-24,158.2,158.2,152.5,152.92,2804322,False
2021-11-25,152.26,155.4,150.05,152.34,3070691,False
2021-11-26,150.52,155.99,150.52,154.02,2035145,False
2021-11-29,153.07,160.37,151.53,159.7,1885659,False
2021-11-30,160.25,161.0,150.5,155.23,20426529,False
2021-12-01,157.0,157.5,155.0,156.24,1656546,False
2021-12-02,156.24,156.97,151.82,153.08,821736,False
2021-12-03,153.0,155.0,151.1,154.05,481065,False
2021-12-06,154.4,155.9,153.5,153.98,228049,False
