date,open,high,low,close,volume,is_anomaly
2021-09-13,32.8,33.15,32.7,33.02,263500,False
2021-09-14,33.24,33.25,32.72,32.83,220000,False
2021-09-15,33.0,33.4,32.6,32.91,1005000,False
2021-09-16,33.32,33.32,32.81,33.02,360000,False
2021-09-17,33.2,35.24,33.01,34.64,2117000,False
2021-09-20,34.65,34.65,33.85,34.04,203000,False
2021-09-21,34.49,34.5,33.49,33.8,263500,False
2021-09-22,33.8,34.01,33.5,33.72,1658000,False
2021-09-23,34.25,34.47,33.33,33.85,120500,False
2021-09-24,33.97,33.97,33.25,33.35,1499000,False
2021-09-27,34.18,34.18,32.75,33.77,638500,False
2021-09-28,33.68,33.77,33.01,33.44,130500,False
2021-09-29,33.44,33.49,32.78,33.23,373500,False
2021-09-30,33.0,33.51,32.76,33.44,85500,False
2021-10-01,33.25,33.99,33.2,33.75,140500,False
2021-10-04,33.8,33.9,33.25,33.79,78000,False
2021-10-05,33.7,33.7,33.02,33.22,756500,False
2021-10-06,33.11,33.5,33.0,33.02,211000,False
2021-10-07,33.05,33.6,33.02,33.48,91500,False
2021-10-08,33.41,33.75,33.41,33.7,25000,False
2021-10-11,33.02,33.69,33.02,33.45,182500,False
2021-10-12,33.16,34.35,32.62,33.87,136500,False
2021-10-13,33.41,34.96,33.39,33.94,1335500,False
2021-10-14,33.9,34.9,33.9,34.23,420000,False
2021-10-15,34.1,35.0,34.01,34.77,257000,False
2021-10-18,34.77,34.77,34.1,34.31,169000,False
2021-10-20,34.3,34.97,34.3,34.75,498500,False
2021-10-21,34.95,36.45,34.94,35.99,1280500,False
2021-10-22,35.5,35.6,35.05,35.31,85500,False
2021-10-25,34.71,34.98,34.2,34.26,377500,False
2021-10-26,34.06,34.73,33.9,34.13,71000,False
2021-10-27,34.5,34.75,33.6,33.72,183500,False
2021-10-28,33.52,34.01,33.0,33.23,362000,False
2021-10-29,33.6,34.5,33.25,34.33,534500,False
2021-11-01,34.49,35.67,34.49,35.43,666000,False
2021-11-02,35.22,37.4,35.22,36.41,1503000,False
2021-11-03,35.61,36.74,35.61,35.94,384000,False
2021-11-04,35.61,36.17,35.5,36.01,1044000,False
2021-11-05,36.0,36.2,35.99,36.0,109000,False
2021-11-08,36.03,36.2,35.75,35.77,337500,False
2021-11-09,35.51,35.9,34.9,34.96,206000,False
2021-11-10,35.0,35.75,34.81,35.0,1141000,False
2021-11-11,35.45,35.1,34.5,34.62,140500,True
2021-11-12,34.31,34.76,34.3,34.53,14000,False
2021-11-15,34.28,34.3,33.65,33.89,338000,False
2021-11-16,34.2,34.92,34.1,34.54,487000,False
2021-11-17,34.75,35.65,34.52,34.69,654000,False
2021-11-18,34.75,34.98,34.5,34.76,118000,False
2021-11-19,35.24,35.5,34.71,35.23,721500,False
2021-11-22,35.55,36.43,35.03,35.09,1647500,False
2021-11-23,35.39,35.49,34.15,34.47,420000,False
2021-11-24,34.49,34.55,34.02,34.46,410000,False
2021-11-25,34.1,34.26,32.8,33.06,787500,False
2021-11-26,33.5,33.9,32.7,32.95,486500,False
2021-11-29,33.3,34.45,33.19,34.09,483500,False
2021-11-30,34.48,35.4,34.25,34.5,3234500,False
2021-12-01,34.23,35.4,34.22,35.25,403500,False
2021-12-02,34.75,34.75,33.1,33.5,579000,False
2021-12-03,33.73,34.5,33.6,33.75,714000,False
2021-12-06,33.9,34.35,33.25,34.2,173500,False
2021-12-07,34.21,34.8,33.81,34.57,147500,False
2021-12-08,34.15,35.19,34.15,34.89,201000,False
2021-12-09,34.98,35.0,34.01,34.33,133500,False
2021-12-10,34.0,34.5,33.8,34.13,74000,False
