date,open,high,low,close,volume,is_anomaly
2021-09-13,96.05,96.99,95.5,95.76,265200,False
2021-09-14,96.49,96.5,94.06,94.81,572300,False
2021-09-15,95.0,95.0,93.6,94.24,208400,False
2021-09-16,94.3,97.0,94.3,96.36,821900,False
2021-09-17,97.0,97.0,95.3,95.57,416800,False
2021-09-20,95.0,96.2,94.0,95.33,849500,False
2021-09-21,95.0,95.0,91.5,91.94,1358300,False
2021-09-22,91.97,91.99,89.1,90.97,1317200,False
2021-09-23,91.65,92.1,89.53,89.71,642800,False
2021-09-24,89.8,91.0,89.05,90.05,1340300,False
2021-09-27,90.0,90.53,88.5,88.97,512900,False
2021-09-28,89.1,91.1,88.16,90.38,516200,False
2021-09-29,89.05,90.18,88.0,89.1,715000,False
2021-09-30,88.0,91.1,88.0,90.86,357100,False
2021-10-01,90.0,92.3,89.5,90.01,375100,False
2021-10-04,89.2,90.95,88.45,90.19,145500,False
2021-10-05,90.2,90.2,88.51,89.25,372500,False
2021-10-06,89.27,89.9,88.3,88.97,480000,False
2021-10-07,89.89,89.89,88.0,88.34,384500,False
2021-10-08,88.01,90.0,88.01,89.09,620300,False
2021-10-11,89.75,90.97,87.95,89.73,767400,False
2021-10-12,88.9,89.6,87.0,89.04,157400,False
2021-10-13,89.6,89.6,85.0,85.79,130400,False
2021-10-14,84.88,88.25,84.88,86.89,113500,False
2021-10-15,87.0,87.5,85.1,86.4,879400,False
2021-10-18,84.45,84.45,82.05,82.4,216100,False
2021-10-20,82.75,85.75,82.75,84.97,1591400,False
2021-10-21,85.0,87.33,84.77,85.95,1349000,False
2021-10-22,86.0,87.0,83.99,85.5,304700,False
2021-10-25,84.7,86.0,83.0,83.73,71700,False
2021-10-26,84.6,84.61,83.65,84.0,156500,False
2021-10-27,85.98,86.44,84.51,85.97,162600,False
2021-10-28,85.3,86.0,84.3,85.51,165400,False
2021-10-29,85.6,91.92,84.0,90.47,833600,False
2021-11-01,92.0,94.0,90.15,91.27,966900,False
2021-11-02,91.95,91.95,89.5,89.75,335400,False
2021-11-03,90.0,91.6,88.6,89.13,715600,False
2021-11-04,89.9,91.5,89.25,91.25,450000,False
2021-11-05,90.05,93.65,90.05,92.71,1016300,False
2021-11-08,91.5,92.51,91.1,91.78,201700,False
2021-11-09,91.15,91.5,88.06,88.97,527700,False
2021-11-10,90.85,90.0,88.15,89.83,145200,True
2021-11-11,89.8,90.49,87.72,88.32,107600,False
2021-11-12,87.5,87.75,85.9,85.99,273100,False
2021-11-15,86.99,87.0,85.02,85.84,126500,False
2021-11-16,85.8,87.0,85.8,86.74,218200,False
2021-11-17,86.4,87.1,86.0,86.4,126000,False
2021-11-18,87.24,87.4,85.0,86.58,104300,False
2021-11-19,87.0,88.65,86.58,88.09,310800,False
2021-11-22,87.15,87.16,85.51,86.63,143200,False
2021-11-23,87.05,87.05,84.75,85.29,145900,False
2021-11-24,84.85,85.21,83.0,84.94,96200,False
2021-11-25,84.2,84.3,83.21,83.65,218900,False
2021-11-26,84.0,85.16,83.1,84.3,212600,False
2021-11-29,83.0,90.62,83.0,90.4,1096600,False
2021-11-30,90.02,94.0,87.5,91.74,456700,False
2021-12-01,90.0,91.99,89.02,89.91,83500,False
2021-12-02,88.99,89.0,83.17,83.49,403000,False
2021-12-03,84.0,85.0,80.1,81.88,462600,False
2021-12-06,82.01,83.0,75.74,77.03,1274100,False
2021-12-07,78.0,80.7,78.0,80.08,198700,False
2021-12-08,80.6,82.0,78.11,80.74,172200,False
2021-12-09,78.3,81.49,78.25,79.87,131500,False
2021-12-10,80.0,80.0,76.99,78.83,421900,False
2021-12-13,79.0,79.0,78.0,78.09,58200,False
2021-12-14,77.5,79.79,76.9,79.46,993100,False
2021-12-15,80.8,83.97,80.25,82.78,1378800,False
2021-12-16,83.0,83.0,79.4,81.01,1469100,False
2021-12-17,81.0,82.9,79.6,81.44,248900,False
2021-12-20,81.0,83.47,80.55,83.04,411500,False
2021-12-21,82.05,83.5,80.5,80.88,306100,False
2021-12-22,81.0,81.5,79.98,80.03,610500,False
2021-12-23,80.04,80.79,79.0,80.04,287500,False
2021-12-24,80.06,81.88,78.5,78.59,661100,False
2021-12-27,79.0,79.49,78.0,78.37,224400,False
2021-12-28,78.6,79.29,78.6,79.03,187000,False
2021-12-29,79.39,81.5,78.9,80.06,647200,False
2021-12-30,80.4,80.5,79.4,79.56,308500,False
2021-12-31,79.6,80.0,78.68,79.58,577400,False
2022-01-03,79.99,80.5,79.8,80.15,284000,False
2022-01-04,80.1,81.5,80.01,81.38,738500,False
2022-01-05,81.48,81.99,80.86,81.43,411000,False
2022-01-06,81.45,81.7,79.5,79.78,717500,False
2022-01-07,80.6,80.7,79.2,79.32,413000,False
2022-01-10,79.21,82.2,79.2,81.19,1433000,False
2022-01-11,81.5,82.0,80.74,81.69,723000,False
2022-01-12,82.0,83.3,81.73,82.41,1312000,False
2022-01-13,82.25,82.9,81.51,81.8,354000,False
2022-01-14,82.0,82.2,81.45,81.5,616000,False
2022-01-17,81.5,81.86,80.8,81.5,328547,False
2022-01-18,81.5,81.6,80.45,80.74,303461,False
2022-01-19,81.0,81.4,78.5,78.87,318931,False
2022-01-20,78.87,79.8,77.8,79.15,582878,False
2022-01-21,79.75,80.5,79.05,79.99,210843,False
2022-01-24,79.75,81.98,79.5,81.44,1020464,False
2022-01-25,82.0,83.4,81.5,82.66,1335518,False
2022-01-26,82.5,82.74,80.99,81.5,119960,False
2022-01-27,81.68,82.2,81.5,81.69,215425,False
2022-01-28,82.5,83.2,82.0,82.38,485495,False
2022-01-31,82.79,83.45,82.26,82.53,425292,False
2022-02-01,83.0,84.6,82.81,84.09,1839579,False
2022-02-02,84.48,89.55,84.2,89.2,2481504,False
2022-02-03,90.0,94.39,89.71,90.41,2680070,False
