date,open,high,low,close,volume,is_anomaly
2021-09-13,424.95,440.8,414.0,420.89,1505202,False
2021-09-14,418.0,418.0,391.51,394.8,829704,False
2021-09-15,396.99,398.85,387.5,394.79,270161,False
2021-09-16,394.01,399.7,391.05,392.11,186233,False
2021-09-17,393.0,399.0,390.02,393.39,284377,False
2021-09-20,391.22,394.85,380.0,382.11,196921,False
2021-09-21,383.0,394.0,364.35,371.57,480759,False
2021-09-22,367.1,369.0,343.71,349.9,481923,False
2021-09-23,350.0,351.0,323.66,325.92,491023,False
2021-09-24,322.51,324.9,309.0,316.33,961898,False
2021-09-27,308.0,309.0,292.62,295.38,569062,False
2021-09-28,296.1,312.99,291.01,310.0,598722,False
2021-09-29,310.0,310.0,287.21,293.02,470403,False
2021-09-30,292.75,313.13,288.0,302.86,493613,False
2021-10-01,302.0,309.8,300.2,306.37,533764,False
2021-10-04,297.0,313.99,297.0,311.13,437083,False
2021-10-05,313.0,315.1,304.0,305.98,220340,False
2021-10-06,305.0,311.39,295.0,296.75,184111,False
2021-10-07,299.5,305.5,297.0,298.26,173468,False
2021-10-08,297.5,297.99,290.11,291.71,152893,False
2021-10-11,292.0,294.5,276.3,280.96,174540,False
2021-10-12,276.99,276.99,256.0,266.74,321266,False
2021-10-13,269.0,276.0,251.0,254.35,422482,False
2021-10-14,253.75,271.95,245.45,267.33,517114,False
2021-10-15,266.99,271.5,260.0,269.67,326096,False
2021-10-18,264.1,268.75,259.01,260.39,189551,False
2021-10-20,262.0,270.99,262.0,267.47,224127,False
2021-10-21,267.47,273.0,261.0,262.78,200397,False
2021-10-22,263.0,275.0,248.0,271.62,637327,False
2021-10-25,267.01,274.97,266.51,268.43,139130,False
2021-10-26,269.0,273.4,260.6,262.67,130899,False
2021-10-27,267.0,272.0,266.0,268.02,175312,False
2021-10-28,267.1,271.99,265.6,266.22,165365,False
2021-10-29,268.0,268.0,261.12,262.48,72266,False
2021-11-01,266.0,282.16,264.25,282.16,576087,False
2021-11-02,285.0,303.32,284.11,294.79,1723669,False
2021-11-03,296.25,316.89,294.0,315.36,1414946,False
2021-11-04,319.0,339.01,318.0,339.01,1851162,False
2021-11-05,346.5,349.97,335.05,339.8,1306122,False
2021-11-08,341.2,362.75,331.11,353.91,3231034,False
2021-11-09,350.0,353.91,327.37,327.37,1554078,False
2021-11-10,325.0,336.97,323.11,334.13,814426,False
2021-11-11,336.0,339.9,323.02,325.53,599429,False
2021-11-12,328.5,328.5,301.12,301.12,1773874,False
2021-11-15,298.0,300.89,291.4,292.71,273557,False
2021-11-16,299.0,312.6,295.1,310.75,859637,False
2021-11-17,310.75,310.75,294.0,299.77,537260,False
2021-11-18,297.11,308.5,297.11,306.0,621788,False
2021-11-19,309.99,316.97,299.51,301.81,595221,False
2021-11-22,298.0,299.95,287.0,288.83,293511,False
2021-11-23,289.6,293.0,268.1,270.77,435734,False
2021-11-24,266.01,273.95,256.99,262.58,379394,False
2021-11-25,260.01,272.0,260.01,270.05,235849,False
2021-11-26,270.05,280.99,270.0,275.04,447246,False
2021-11-29,274.0,290.12,268.6,286.25,744632,False
2021-11-30,286.0,290.0,279.51,285.17,459509,False
2021-12-01,289.0,290.31,281.26,285.04,258392,False
2021-12-02,282.0,282.0,263.67,263.67,378356,False
2021-12-03,251.1,260.0,243.9,247.96,506041,False
