date,open,high,low,close,volume,is_anomaly
2021-09-13,41.88,41.88,40.41,40.57,619500,False
2021-09-14,40.49,40.88,40.0,40.09,556500,False
2021-09-15,40.21,40.4,40.0,40.05,282500,False
2021-09-16,40.29,40.3,40.0,40.25,172000,False
2021-09-17,40.75,41.35,40.11,40.26,813000,False
2021-09-20,40.26,41.25,40.1,40.49,299000,False
2021-09-21,40.5,41.38,38.3,39.5,836000,False
2021-09-22,39.0,39.95,38.0,38.94,419000,False
2021-09-23,38.56,39.25,37.7,38.33,610500,False
2021-09-24,38.0,38.7,37.7,38.48,157000,False
2021-09-27,38.0,39.0,37.51,38.21,113000,False
2021-09-28,38.0,40.99,37.8,39.26,719000,False
2021-09-29,39.0,39.9,37.65,38.67,470000,False
2021-09-30,38.5,40.0,37.5,39.24,369000,False
2021-10-01,38.6,39.65,38.6,39.51,1878500,False
2021-10-04,39.5,39.6,39.0,39.44,78000,False
2021-10-05,39.0,40.47,38.6,39.87,167000,False
2021-10-06,39.25,39.75,38.62,39.27,164500,False
2021-10-07,39.02,39.3,38.51,39.0,38500,False
2021-10-08,38.51,39.49,38.5,38.99,46500,False
2021-10-11,38.52,39.48,37.0,38.34,289500,False
2021-10-12,37.5,39.24,37.3,38.5,202000,False
2021-10-13,39.0,39.0,36.8,38.17,446000,False
2021-10-14,38.38,39.4,37.7,39.03,482500,False
2021-10-15,38.31,41.95,37.85,39.83,2303000,False
2021-10-18,39.06,40.0,38.82,39.05,1465500,False
2021-10-20,38.91,39.95,38.91,39.34,440000,False
2021-10-21,38.93,39.0,38.34,38.92,256000,False
2021-10-22,38.5,38.9,37.0,37.99,491000,False
2021-10-25,37.12,38.4,37.0,37.89,351500,False
2021-10-26,37.94,37.94,37.15,37.67,77500,False
2021-10-27,37.6,38.49,37.5,38.31,187000,False
2021-10-28,37.45,38.4,37.45,37.89,22500,False
2021-10-29,38.5,38.7,37.41,37.95,24000,False
2021-11-01,38.0,38.49,38.0,38.04,175000,False
2021-11-02,38.1,38.25,37.27,38.02,340500,False
