date,open,high,low,close,volume,is_anomaly
2021-09-13,32.72,33.3,32.42,32.56,2393000,False
2021-09-14,32.65,32.75,31.4,31.88,1997500,False
2021-09-15,31.65,32.1,31.3,31.49,1506500,False
2021-09-16,31.6,32.13,31.3,31.64,1111500,False
2021-09-17,31.89,32.2,30.9,31.14,732000,False
2021-09-20,31.4,31.4,30.71,31.1,1268000,False
2021-09-21,31.15,31.69,29.91,30.22,1774000,False
2021-09-22,30.22,30.39,27.96,28.47,4391000,False
2021-09-23,28.35,29.25,26.4,27.21,4185000,False
2021-09-24,27.39,27.51,26.2,26.69,2078000,False
2021-09-27,26.98,28.23,25.8,27.61,1834500,False
2021-09-28,27.55,29.3,27.55,29.01,4485000,False
2021-09-29,28.65,28.97,26.85,27.2,2928000,False
2021-09-30,27.0,27.89,26.35,27.55,2079000,False
2021-10-01,27.51,28.39,27.25,28.13,2490000,False
2021-10-04,27.55,29.28,27.36,28.97,2569000,False
2021-10-05,29.0,29.39,27.8,27.98,2776000,False
2021-10-06,28.15,28.44,27.0,27.29,746000,False
2021-10-07,27.4,28.55,27.4,27.75,1886500,False
2021-10-08,27.98,27.98,27.42,27.56,707000,False
2021-10-11,27.2,27.3,26.1,26.56,1448500,False
2021-10-12,26.36,26.94,25.8,26.32,2922000,False
2021-10-13,26.25,26.5,24.64,25.31,2513000,False
2021-10-14,25.0,27.2,24.8,27.2,5962000,False
2021-10-15,27.25,28.45,26.8,28.13,4724000,False
2021-10-18,27.36,28.13,26.3,26.49,1041000,False
2021-10-20,26.75,28.3,26.75,28.05,3861500,False
2021-10-21,27.76,28.25,27.0,27.2,2834000,False
2021-10-22,26.91,27.29,25.54,26.12,3138000,False
2021-10-25,26.49,26.8,25.92,26.11,1243000,False
2021-10-26,26.45,26.45,25.95,25.99,607000,False
2021-10-27,26.6,27.12,26.01,26.29,2812000,False
2021-10-28,26.4,26.9,26.29,26.34,1310500,False
2021-10-29,26.5,27.1,26.0,26.54,2008500,False
2021-11-01,27.0,28.1,26.83,27.53,2781500,False
