date,open,high,low,close,volume,is_anomaly
2021-09-15,6.6,6.66,6.5,6.66,1500,False
2021-09-22,5.7,5.7,5.7,5.7,500,False
2021-09-23,5.11,5.7,5.11,5.11,1000,False
2021-09-27,6.11,6.11,6.11,6.11,500,False
2021-09-28,7.0,7.11,7.0,7.11,11500,False
2021-09-29,8.1,8.11,7.12,7.12,60500,False
2021-09-30,6.34,8.1,6.12,7.74,68500,False
2021-10-01,6.74,7.3,6.74,6.8,62500,False
2021-10-04,6.9,6.9,6.89,6.9,15500,False
2021-10-05,6.52,6.52,6.52,6.52,1000,False
2021-10-06,6.15,6.99,6.15,6.83,19000,False
2021-10-07,6.41,6.88,6.41,6.85,10500,False
2021-10-08,7.8,7.8,7.8,7.8,5500,False
2021-10-11,6.82,6.82,6.8,6.8,6500,False
2021-10-12,6.03,6.6,6.03,6.32,1000,False
2021-10-14,6.2,6.49,6.2,6.49,1500,False
2021-10-18,6.34,6.34,6.34,6.34,500,False
2021-10-25,0.0,0.0,0.0,6.34,0,True
2021-10-26,6.2,6.2,6.2,6.2,4000,False
2021-10-28,6.26,6.26,6.2,6.2,3000,False
2021-10-29,5.81,5.81,5.81,5.81,500,False
2021-11-01,6.49,6.7,6.49,6.7,4000,False
2021-11-02,6.3,7.55,5.7,6.74,21000,False
2021-11-03,6.3,6.3,5.74,6.04,20000,False
2021-11-04,6.85,6.89,5.55,6.27,36000,False
2021-11-05,5.84,6.3,5.8,6.3,8500,False
2021-11-08,6.6,6.64,6.58,6.58,1500,False
2021-11-09,6.64,6.64,6.25,6.25,7500,False
2021-11-10,6.85,6.88,6.73,6.73,2500,False
2021-11-11,7.55,7.55,7.55,7.55,1000,False
2021-11-12,8.4,8.4,6.64,8.08,2500,False
2021-11-15,0.0,0.0,0.0,7.83,0,True
2021-11-16,0.0,0.0,0.0,7.67,0,True
2021-11-17,6.67,7.29,6.67,6.67,10500,False
2021-11-18,6.21,6.21,6.01,6.14,1500,False
2021-11-19,7.14,7.14,6.51,6.99,10500,False
2021-11-22,6.5,6.69,6.23,6.5,3000,False
2021-11-23,6.5,6.99,6.21,6.48,6500,False
2021-11-24,6.15,6.81,6.15,6.48,1000,False
2021-11-25,6.96,6.96,6.22,6.45,2500,False
2021-11-26,6.45,6.45,6.05,6.05,1000,False
2021-11-29,6.1,6.4,5.71,6.05,7000,False
2021-11-30,6.39,6.39,6.39,6.39,500,False
2021-12-01,6.9,6.9,6.4,6.65,1000,False
2021-12-02,6.0,6.0,5.8,5.8,1000,False
2021-12-03,6.5,6.5,6.5,6.5,500,False
2021-12-07,5.65,5.65,5.65,5.65,500,False
2021-12-08,6.01,6.64,6.01,6.22,1500,False
2021-12-09,5.71,5.71,5.71,5.71,500,False
2021-12-13,5.1,5.1,5.1,5.1,500,False
2021-12-14,6.06,6.06,6.06,6.06,1000,False
2021-12-15,6.6,6.6,6.51,6.54,1500,False
2021-12-16,6.6,6.65,5.91,6.39,5000,False
2021-12-17,6.5,6.97,5.95,6.47,2000,False
2021-12-20,6.47,6.47,6.47,6.47,500,False
2021-12-22,6.01,6.01,5.7,5.86,1000,False
2021-12-23,6.0,6.5,6.0,6.5,3500,False
2021-12-28,5.9,6.5,5.6,5.75,4500,False
2021-12-29,5.76,5.76,5.76,5.76,1500,False
2021-12-30,5.55,6.3,5.55,6.3,1000,False
2021-12-31,5.5,6.5,5.5,6.5,13000,False
2022-01-03,5.85,5.85,5.81,5.83,1000,False
2022-01-07,6.79,6.79,6.79,6.79,500,False
2022-01-10,5.91,5.91,5.91,5.91,500,False
2022-02-03,6.65,6.65,5.5,5.5,1000,False
2022-02-07,5.61,5.61,5.61,5.61,500,False
2022-02-14,5.3,6.6,5.3,6.6,9500,False
2022-02-15,7.15,7.15,5.71,6.83,2500,False
2022-02-17,5.83,5.91,5.83,5.83,5500,False
2022-02-22,6.49,6.49,6.49,6.49,500,False
2022-02-23,6.95,6.95,6.95,6.95,500,False
2022-02-24,6.94,6.94,6.94,6.94,500,False
2022-02-25,7.4,7.4,7.4,7.4,500,False
2022-02-28,0.0,0.0,0.0,7.22,0,True
2022-03-01,0.0,7.22,7.22,7.22,10500,True
2022-03-02,6.22,6.94,6.22,6.7,17500,False
2022-03-03,6.49,6.49,6.49,6.49,500,False
2022-03-04,5.55,5.55,5.55,5.55,500,False
2022-03-10,5.7,5.7,5.7,5.7,1500,False
2022-03-22,5.02,5.02,5.02,5.02,500,False
2022-03-24,5.33,5.46,5.33,5.46,1500,False
2022-04-05,5.11,5.46,5.11,5.11,500,False
2022-04-12,6.11,6.11,6.11,6.11,500,False
2022-04-13,5.62,7.0,5.62,6.63,2000,False
2022-04-14,6.65,7.54,6.65,6.94,1500,False
2022-04-19,6.01,6.01,6.01,6.01,500,False
2022-05-09,5.28,5.28,5.28,5.28,500,False
2022-05-11,5.0,5.0,5.0,5.0,500,False
2022-05-19,5.25,6.0,5.25,6.0,5000,False
2022-06-01,5.32,6.0,5.32,5.32,5500,False
2022-06-16,5.01,6.1,5.01,6.1,1000,False
2022-08-02,5.11,5.11,5.11,5.11,1500,False
2022-08-10,6.11,6.11,6.11,6.11,500,False
2022-08-11,6.0,6.0,5.26,5.47,3500,False
2022-08-15,6.44,6.45,5.36,6.08,1500,False
2022-08-16,5.46,6.08,5.46,6.0,11000,False
2022-09-22,5.21,5.21,5.21,5.21,500,False
2022-09-23,5.01,6.2,5.01,5.79,3500,False
2022-09-26,5.25,5.25,5.25,5.25,500,False
2022-09-28,5.35,5.35,5.35,5.35,500,False
2022-09-29,5.5,5.5,5.5,5.5,1000,False
2022-09-30,6.48,6.48,6.48,6.48,1000,False
2022-10-04,7.44,7.44,7.44,7.44,500,False
2022-10-05,7.94,7.94,6.44,6.44,3000,False
2022-10-06,5.65,5.65,5.63,5.64,1500,False
2022-10-07,5.7,5.7,5.65,5.65,1500,False
2022-10-11,5.15,5.15,5.15,5.15,500,False
2022-10-17,5.88,5.88,5.88,5.88,500,False
2022-10-19,5.85,5.89,5.2,5.61,3000,False
2022-10-25,5.01,5.01,5.01,5.01,500,False
2022-11-04,5.95,5.95,5.03,5.03,1000,False
2022-11-07,5.15,5.68,5.1,5.68,6000,False
2022-11-08,6.4,6.68,6.39,6.68,32500,False
2022-11-10,7.48,7.68,6.68,7.68,44000,False
2022-11-11,8.67,8.68,8.0,8.68,19000,False
2022-11-14,9.66,9.68,9.64,9.68,74000,False
2022-11-15,10.3,10.68,10.3,10.68,24500,False
2022-11-16,11.64,11.68,9.68,9.68,135000,False
2022-11-17,10.47,10.47,8.74,9.28,30500,False
2022-11-18,8.4,8.82,8.4,8.61,8500,False
2022-11-21,8.96,9.25,8.8,9.25,4500,False
2022-11-22,8.31,8.6,8.31,8.6,1000,False
2022-11-23,9.29,9.29,8.5,8.5,2000,False
2022-11-24,9.25,9.47,9.24,9.24,11500,False
2022-11-25,9.4,9.4,8.7,8.7,3500,False
2022-11-28,8.6,8.6,7.86,8.07,8000,False
2022-11-29,8.5,9.07,8.5,9.07,9500,False
2022-11-30,9.6,10.07,9.25,10.05,38500,False
2022-12-01,10.45,10.45,9.71,9.74,9000,False
2022-12-02,9.01,10.0,9.01,9.23,5500,False
2022-12-05,9.86,10.23,9.38,10.0,9500,False
2022-12-06,9.47,11.0,9.41,10.92,36500,False
2022-12-07,9.1,9.99,8.92,9.15,38000,False
2022-12-08,9.19,9.49,8.5,9.0,6000,False
2022-12-12,8.1,8.1,8.1,8.1,500,False
2022-12-13,8.8,8.8,7.11,7.52,3500,False
2022-12-14,7.5,8.05,7.5,7.56,3500,False
2022-12-21,6.58,6.58,6.58,6.58,500,False
2022-12-22,5.7,5.7,5.7,5.7,500,False
2022-12-23,6.7,6.7,5.61,5.61,2000,False
2022-12-26,6.45,6.6,6.4,6.6,2500,False
2023-01-02,5.85,5.85,5.85,5.85,500,False
2023-01-04,6.2,6.2,6.2,6.2,500,False
2023-01-09,5.3,5.3,5.3,5.3,500,False
2023-01-10,6.3,6.3,6.3,6.3,500,False
2023-01-13,5.65,5.65,5.65,5.65,500,False
2023-01-24,6.5,6.65,5.0,6.47,52500,False
2023-01-25,7.4,7.45,7.4,7.43,1500,False
2023-01-27,8.43,8.43,6.45,6.45,1500,False
2023-02-01,7.45,7.45,5.55,5.55,1000,False
2023-02-03,6.55,6.55,6.55,6.55,500,False
2023-02-06,5.6,7.18,5.6,6.03,18500,False
2023-02-07,5.45,5.45,5.45,5.45,500,False
2023-02-13,6.45,6.45,6.45,6.45,500,False
2023-02-16,5.5,7.44,5.45,7.44,31000,False
2023-02-17,8.4,8.4,8.25,8.25,1500,False
2023-02-20,9.2,9.2,7.25,7.25,8500,False
2023-02-21,6.5,7.2,6.25,6.8,9000,False
2023-02-22,6.81,6.81,6.81,6.81,500,False
2023-02-24,5.91,6.01,5.91,5.96,1000,False
2023-02-27,5.5,5.5,5.49,5.5,1500,False
2023-02-28,5.2,5.2,5.2,5.2,500,False
2023-03-02,4.76,4.76,4.76,4.76,1500,False
2023-03-06,5.06,5.76,5.06,5.76,1500,False
2023-03-07,5.03,5.03,5.03,5.03,1000,False
2023-03-09,6.03,6.03,6.03,6.03,2000,False
2023-03-16,7.03,7.03,7.03,7.03,5000,False
2023-03-17,6.11,6.11,6.11,6.11,500,False
2023-03-21,5.65,5.65,5.65,5.65,500,False
2023-03-22,6.2,6.2,6.2,6.2,500,False
2023-03-31,5.31,5.31,5.31,5.31,500,False
2023-04-05,5.42,5.42,5.42,5.42,500,False
2023-04-28,6.42,6.42,5.0,5.0,2500,False
2023-05-02,6.0,6.0,5.1,6.0,2000,False
2023-05-03,6.5,7.0,6.5,6.99,11500,False
2023-05-04,6.01,7.6,6.01,7.6,1500,False
2023-05-05,8.45,8.45,6.61,6.64,1500,False
2023-05-08,7.6,7.6,5.75,6.25,3500,False
2023-05-09,5.61,5.61,5.61,5.61,500,False
2023-05-10,6.6,6.6,5.33,5.33,1000,False
2023-05-11,6.33,6.33,6.33,6.33,1000,False
2023-05-19,5.55,5.55,5.55,5.55,500,False
2023-05-23,6.55,6.55,6.55,6.55,4500,False
2023-05-24,5.65,7.25,5.65,6.01,2500,False
2023-05-25,6.95,6.95,6.02,6.02,1000,False
2023-05-26,6.98,6.98,6.98,6.98,500,False
2023-05-29,6.02,7.85,6.02,6.93,2000,False
2023-06-02,6.04,7.49,6.04,7.49,1000,False
2023-06-05,6.49,8.14,6.49,6.5,1500,False
2023-06-06,6.02,7.39,6.02,7.39,1000,False
2023-06-08,7.95,7.95,6.55,6.55,1000,False
2023-06-09,7.55,7.55,7.55,7.55,1000,False
2023-06-12,8.55,8.55,8.55,8.55,500,False
2023-06-13,9.55,9.55,9.55,9.55,1000,False
2023-06-14,4.1,4.1,4.1,4.1,500,False
2023-06-15,5.1,5.1,5.1,5.1,40000,False
2023-06-16,6.09,6.09,5.6,5.65,59500,False
2023-06-19,5.6,5.75,5.0,5.0,9500,False
2023-06-20,5.0,5.7,5.0,5.49,31500,False
2023-06-21,5.09,5.09,4.7,4.75,26500,False
2023-06-23,4.4,4.45,4.39,4.41,7000,False
2023-06-26,5.39,5.39,3.42,4.5,17000,False
2023-06-27,4.95,5.39,4.94,5.25,65500,False
2023-07-03,5.5,5.64,4.25,5.02,145000,False
2023-07-04,4.9,4.9,4.45,4.48,87500,False
2023-07-05,4.06,4.63,4.06,4.42,49000,False
2023-07-06,4.57,4.57,4.3,4.3,9500,False
2023-07-07,4.56,4.65,4.56,4.6,16000,False
2023-07-10,4.36,4.68,4.25,4.58,39500,False
2023-07-11,4.57,4.57,4.25,4.48,32500,False
2023-07-12,4.28,4.54,4.28,4.41,33000,False
2023-07-13,4.57,4.57,4.4,4.4,68000,False
2023-07-14,4.57,4.75,4.4,4.41,24000,False
2023-07-17,4.45,4.5,4.45,4.47,1500,False
2023-07-18,4.5,4.61,4.42,4.45,5000,False
2023-07-19,4.5,4.5,4.25,4.48,22500,False
2023-07-20,4.55,4.6,4.5,4.52,18000,False
2023-07-21,4.6,4.8,4.59,4.72,28500,False
2023-07-24,4.72,4.81,4.32,4.79,19000,False
2023-07-25,4.8,4.83,4.63,4.68,11500,False
2023-07-26,4.98,5.22,4.8,4.8,11500,False
2023-07-27,4.57,4.8,4.57,4.8,4500,False
2023-07-31,4.95,4.95,4.71,4.71,4000,False
2023-08-01,4.65,4.88,4.65,4.71,7500,False
2023-08-02,5.2,5.2,4.5,4.77,9000,False
2023-08-03,5.37,5.37,4.8,4.81,15000,False
2023-08-04,4.69,5.0,4.69,5.0,1000,False
2023-08-07,4.95,4.95,4.81,4.81,3500,False
2023-08-08,4.56,4.71,4.56,4.69,1500,False
2023-08-09,4.47,4.89,4.47,4.89,4000,False
2023-08-11,4.87,4.87,4.5,4.52,26000,False
2023-08-15,4.52,4.82,4.45,4.46,78000,False
2023-08-16,4.69,4.69,4.46,4.46,10500,False
2023-08-17,4.41,4.65,4.4,4.64,32000,False
2023-08-18,4.41,4.68,4.41,4.63,10000,False
2023-08-21,4.58,4.58,4.31,4.31,8500,False
2023-08-22,4.58,4.58,4.34,4.5,4000,False
2023-08-23,4.13,4.48,4.12,4.41,2500,False
2023-08-24,4.5,4.5,4.42,4.42,2500,False
2023-08-25,4.26,4.26,4.26,4.26,500,False
2023-08-28,4.35,4.35,4.26,4.26,3000,False
2023-08-29,4.2,4.43,4.2,4.34,26000,False
2023-08-30,4.13,4.43,4.11,4.11,20000,False
2023-08-31,4.15,4.4,4.01,4.05,12000,False
2023-09-01,4.0,4.2,4.0,4.15,4500,False
2023-09-04,4.35,4.35,4.27,4.34,3000,False
2023-09-05,3.82,4.2,3.41,4.16,51500,False
2023-09-06,4.16,4.16,3.98,4.0,16500,False
2023-09-07,4.14,4.15,4.14,4.15,2000,False
2023-09-11,4.28,4.28,4.1,4.1,5500,False
2023-09-12,3.95,4.09,3.95,3.96,2500,False
2023-09-13,4.04,4.04,3.96,4.0,1000,False
2023-09-14,4.0,4.24,3.8,4.22,17000,False
2023-09-15,4.38,4.39,4.01,4.01,25000,False
2023-09-18,4.42,4.42,4.09,4.09,1500,False
2023-09-20,4.45,4.59,4.4,4.59,3000,False
2023-09-21,4.59,4.59,4.59,4.59,500,False
2023-09-22,4.15,4.6,3.8,4.6,9500,False
2023-09-25,4.5,4.5,4.5,4.5,2000,False
2023-09-26,4.48,4.5,4.48,4.5,1500,False
2023-09-27,4.5,4.55,4.5,4.5,2000,False
2023-09-28,4.04,5.5,4.04,5.35,144500,False
2023-10-02,5.67,6.35,5.1,6.35,209000,False
2023-10-03,6.34,7.35,5.66,5.9,446000,False
2023-10-04,6.0,6.5,5.8,5.9,31500,False
2023-10-05,5.89,5.89,5.6,5.86,7500,False
2023-10-06,6.0,6.0,5.81,5.9,6000,False
2023-10-09,5.9,5.9,5.41,5.75,6000,False
2023-10-10,5.89,5.89,5.46,5.66,1500,False
2023-10-11,5.5,5.85,5.41,5.52,7500,False
2023-10-12,5.84,5.84,5.25,5.49,24000,False
2023-10-13,5.25,5.4,5.06,5.17,13500,False
2023-10-16,5.17,5.17,5.09,5.1,12500,False
2023-10-17,5.1,5.1,5.1,5.1,2500,False
2023-10-18,5.1,5.1,4.91,4.95,14500,False
2023-10-19,4.52,5.09,4.52,4.92,15500,False
2023-10-25,5.25,5.3,5.05,5.25,19500,False
2023-10-26,5.05,5.15,5.05,5.15,4500,False
2023-10-27,5.49,5.5,5.2,5.25,7000,False
2023-10-30,5.02,5.25,5.02,5.07,5500,False
2023-10-31,4.99,5.1,4.95,4.95,4500,False
2023-11-01,4.95,5.0,4.92,4.93,13000,False
2023-11-02,5.0,5.2,4.91,4.91,4500,False
2023-11-03,5.0,5.0,4.98,4.99,16000,False
2023-11-06,5.25,5.3,4.92,5.03,36500,False
2023-11-07,5.1,5.19,5.0,5.06,8500,False
2023-11-08,4.95,5.25,4.95,4.95,8000,False
2023-11-10,4.96,5.5,4.87,5.0,34000,False
2023-11-13,5.1,5.15,5.02,5.04,26000,False
2023-11-14,5.19,5.19,5.02,5.09,17500,False
2023-11-15,4.95,5.2,4.95,5.1,25000,False
2023-11-16,5.19,5.5,5.07,5.31,28500,False
2023-11-17,5.1,5.61,5.1,5.61,20000,False
2023-11-20,5.5,6.61,5.21,6.61,174500,False
2023-11-21,7.25,7.61,6.8,7.55,110000,False
2023-11-22,7.5,8.55,7.5,8.55,25000,False
2023-11-23,9.55,9.55,7.55,9.55,50000,False
2023-11-24,10.49,10.49,8.55,8.55,274000,False
2023-11-27,7.55,8.25,7.55,7.81,126500,False
2023-11-28,7.8,7.8,6.83,7.5,40000,False
2023-11-29,7.85,7.85,6.8,7.45,32000,False
2023-11-30,6.92,7.04,6.91,7.02,6500,False
2023-12-01,7.38,7.85,7.38,7.75,5500,False
2023-12-04,7.02,7.95,7.02,7.18,45500,False
2023-12-05,7.79,7.79,7.49,7.67,6000,False
2023-12-06,7.85,7.85,7.5,7.5,13000,False
2023-12-07,7.85,7.98,6.5,7.32,39000,False
2023-12-08,7.49,8.3,6.5,7.4,34500,False
2023-12-11,7.41,7.95,7.4,7.75,14000,False
2023-12-12,7.61,8.25,7.61,8.09,22500,False
2023-12-13,8.1,8.11,7.71,7.71,14000,False
2023-12-14,8.19,8.19,6.84,7.03,12000,False
2023-12-15,7.96,8.03,7.56,7.98,61500,False
2023-12-18,7.61,7.61,7.6,7.61,3000,False
2023-12-19,7.99,7.99,7.1,7.11,11000,False
2023-12-20,7.64,8.0,6.84,7.46,21000,False
2023-12-21,7.01,8.0,7.01,7.18,8500,False
2023-12-22,7.98,8.18,7.31,7.31,10000,False
2023-12-26,7.31,7.51,7.31,7.51,2000,False
