date,open,high,low,close,volume,is_anomaly
2021-09-13,10.14,10.14,9.76,9.8,1236500,False
2021-09-14,9.76,9.79,9.46,9.48,2730500,False
2021-09-15,9.48,9.59,9.38,9.42,1705500,False
2021-09-16,9.41,9.66,9.31,9.49,1526500,False
2021-09-17,9.57,9.57,9.31,9.37,1198500,False
2021-09-20,9.37,9.44,9.26,9.31,1044500,False
2021-09-21,9.27,9.39,9.15,9.2,1224500,False
2021-09-22,9.2,9.2,8.8,8.86,8504000,False
2021-09-23,8.93,9.05,8.76,8.87,3590000,False
2021-09-24,8.85,8.97,8.56,8.73,6049500,False
2021-09-27,8.88,8.88,8.55,8.63,2150000,False
2021-09-28,8.74,8.95,8.68,8.89,3054000,False
2021-09-29,9.0,9.03,8.54,8.61,3109000,False
2021-09-30,8.7,8.98,8.6,8.91,2455000,False
2021-10-01,8.75,9.05,8.75,8.95,900500,False
2021-10-04,8.9,9.05,8.83,9.01,1450500,False
2021-10-05,9.09,9.09,8.76,8.8,1107000,False
2021-10-06,8.81,8.9,8.44,8.49,3752000,False
2021-10-07,8.5,8.77,8.5,8.52,2925000,False
2021-10-08,8.51,8.59,8.35,8.43,426500,False
2021-10-11,8.5,8.5,8.3,8.36,1534000,False
2021-10-12,8.3,8.45,8.2,8.41,1356000,False
2021-10-13,8.49,8.6,8.25,8.29,747000,False
2021-10-14,8.29,8.7,8.17,8.61,2736500,False
2021-10-15,8.52,8.75,8.45,8.65,2669500,False
2021-10-18,8.55,8.6,8.31,8.36,1016000,False
2021-10-20,8.52,8.58,8.35,8.42,2122000,False
2021-10-21,8.4,8.44,8.18,8.21,2745000,False
2021-10-22,8.2,8.2,8.01,8.11,2317000,False
2021-10-25,8.2,8.23,8.01,8.05,1356000,False
2021-10-26,8.1,8.15,8.02,8.08,2591500,False
2021-10-27,8.11,8.43,8.11,8.39,2285500,False
2021-10-28,8.42,8.42,8.13,8.16,731000,False
2021-10-29,8.3,8.3,8.0,8.04,4103500,False
2021-11-01,8.3,8.57,8.15,8.5,4127500,False
2021-11-02,8.59,8.7,8.4,8.64,1655000,False
2021-11-03,8.63,8.84,8.55,8.75,2363500,False
2021-11-04,8.78,9.1,8.52,8.88,5382500,False
2021-11-05,8.99,8.99,8.8,8.83,991500,False
2021-11-08,8.83,8.97,8.67,8.78,980500,False
2021-11-09,8.76,8.76,8.33,8.4,1534000,False
2021-11-10,8.4,8.59,8.37,8.41,601000,False
2021-11-11,8.41,8.5,8.25,8.28,845000,False
2021-11-12,8.4,8.4,8.11,8.25,247500,False
2021-11-15,8.33,8.33,8.12,8.14,297500,False
2021-11-16,8.15,8.35,8.15,8.25,937000,False
2021-11-17,8.2,8.25,8.01,8.05,2513000,False
2021-11-18,8.07,8.2,8.02,8.09,2348000,False
2021-11-19,8.2,8.2,8.01,8.04,4477500,False
2021-11-22,8.01,8.14,7.92,7.95,3219000,False
2021-11-23,8.01,8.05,7.68,7.71,4209000,False
2021-11-24,7.8,7.8,7.51,7.58,2049500,False
2021-11-25,7.69,7.7,7.47,7.57,3023000,False
2021-11-26,7.55,7.65,7.43,7.47,2207500,False
2021-11-29,7.47,7.69,7.4,7.65,775500,False
