date,open,high,low,close,volume,is_anomaly
2021-09-13,23.25,23.69,22.51,22.7,8218500,False
2021-09-14,22.69,22.69,21.27,21.46,6430000,False
2021-09-15,21.4,21.5,20.76,21.18,2765000,False
2021-09-16,21.11,21.49,20.89,20.96,1853000,False
2021-09-17,21.25,21.45,20.7,20.9,3252000,False
2021-09-20,20.99,20.99,20.05,20.25,2432500,False
2021-09-21,20.46,20.55,19.05,19.29,4493000,False
2021-09-22,19.11,19.4,17.86,18.35,3683000,False
2021-09-23,18.54,18.68,17.15,17.33,2980500,False
2021-09-24,17.39,17.45,16.55,16.93,4707500,False
2021-09-27,16.61,16.65,15.68,15.92,5643500,False
2021-09-28,16.0,17.09,15.72,16.96,5505000,False
2021-09-29,17.0,17.1,15.85,16.34,2960500,False
2021-09-30,16.43,16.9,16.1,16.78,1502000,False
2021-10-01,16.74,17.33,16.7,17.12,1820500,False
2021-10-04,16.5,17.56,16.45,17.44,2580000,False
2021-10-05,17.5,17.78,17.22,17.39,2108500,False
2021-10-06,17.3,17.65,16.65,16.82,1211000,False
2021-10-07,16.9,17.29,16.8,16.9,1032500,False
2021-10-08,17.09,17.09,16.6,16.67,577000,False
2021-10-11,16.8,17.0,16.01,16.16,960500,False
2021-10-12,16.38,16.38,15.51,15.95,2157000,False
2021-10-13,16.1,16.45,15.53,15.64,2296500,False
2021-10-14,15.9,16.45,15.64,16.35,1770000,False
2021-10-15,16.15,17.2,16.1,17.06,2882000,False
2021-10-18,16.85,17.08,16.19,16.32,1902500,False
2021-10-20,16.4,16.93,16.4,16.64,1440000,False
2021-10-21,16.53,16.99,16.35,16.44,1117000,False
2021-10-22,16.46,16.6,15.8,16.22,1994000,False
2021-10-25,16.01,16.2,15.75,15.91,360500,False
2021-10-26,15.8,16.15,15.75,15.78,513000,False
2021-10-27,16.1,16.25,15.81,15.87,974500,False
2021-10-28,15.95,16.1,15.7,15.73,980000,False
2021-10-29,15.88,15.9,15.52,15.61,964500,False
2021-11-01,16.0,16.7,15.61,16.6,4859500,False
2021-11-02,16.8,17.5,16.6,16.92,5541000,False
2021-11-03,17.01,17.45,16.86,17.3,3986000,False
2021-11-04,17.45,18.05,17.4,17.92,6510000,False
2021-11-05,18.05,18.15,17.4,17.47,2959000,False
2021-11-08,17.3,17.75,17.15,17.27,3307500,False
2021-11-09,17.26,17.27,16.1,16.22,4175000,False
2021-11-10,16.25,16.6,16.11,16.28,1431000,False
2021-11-11,16.22,16.4,16.01,16.04,973000,False
2021-11-12,16.0,16.1,15.51,15.69,1189000,False
2021-11-15,15.85,15.85,15.34,15.61,567000,False
2021-11-16,15.82,16.1,15.55,16.0,1804500,False
2021-11-17,16.0,16.01,15.5,15.65,845000,False
2021-11-18,15.75,16.03,15.52,15.93,1434500,False
2021-11-19,15.9,16.15,15.65,15.76,1031500,False
2021-11-22,15.5,15.6,14.58,14.65,7815500,False
2021-11-23,14.66,14.93,13.75,14.08,4386500,False
2021-11-24,14.01,14.1,13.28,13.69,4785000,False
2021-11-25,13.75,14.0,13.25,13.67,5088000,False
2021-11-26,13.75,14.0,13.3,13.46,4541000,False
2021-11-29,13.5,13.88,13.12,13.75,3575500,False
2021-11-30,13.71,14.15,13.52,13.65,2240500,False
2021-12-01,13.74,13.89,13.64,13.71,1139000,False
2021-12-02,13.74,13.93,12.69,12.69,3066000,False
2021-12-03,12.3,12.35,11.69,11.98,6499000,False
2021-12-06,12.15,12.2,11.6,11.86,1778000,False
2021-12-07,12.02,12.47,11.94,12.38,3571500,False
2021-12-08,12.54,12.8,12.15,12.3,1862000,False
2021-12-09,12.34,12.35,11.51,11.77,1809000,False
2021-12-10,11.7,11.95,11.3,11.72,1258000,False
2021-12-13,11.72,11.74,11.31,11.37,957000,False
2021-12-14,11.49,12.1,11.05,12.0,2134500,False
2021-12-15,12.5,13.0,12.44,13.0,4724500,False
2021-12-16,13.15,13.15,12.4,12.48,5037500,False
2021-12-17,12.0,12.29,11.7,12.1,3832500,False
2021-12-20,12.0,12.23,11.7,12.13,2343500,False
2021-12-21,12.2,12.6,12.1,12.25,2619500,False
2021-12-22,12.27,12.44,12.2,12.27,603000,False
2021-12-23,12.31,12.45,12.24,12.26,647500,False
2021-12-24,12.3,12.37,12.0,12.07,851500,False
2021-12-27,12.07,12.55,12.05,12.22,1410500,False
2021-12-28,12.31,12.68,12.21,12.48,1552500,False
2021-12-29,12.6,13.48,12.45,13.48,8351500,False
2021-12-30,14.1,14.35,13.6,13.76,9904000,False
2021-12-31,13.89,14.79,13.85,14.42,19788500,False
2022-01-03,14.19,14.44,14.02,14.36,6240000,False
2022-01-04,14.39,15.43,14.21,15.37,18380000,False
2022-01-05,15.35,15.85,14.91,15.45,10576000,False
2022-01-06,15.4,15.89,14.75,14.82,8334500,False
2022-01-07,14.82,15.24,14.82,15.14,4424105,False
2022-01-10,15.29,15.65,15.0,15.3,6447476,False
2022-01-11,15.4,15.4,15.07,15.12,3622353,False
2022-01-12,15.29,15.64,15.15,15.18,5172216,False
2022-01-13,15.3,15.4,15.11,15.25,2383740,False
2022-01-14,15.38,15.81,15.09,15.13,4248364,False
2022-01-17,15.34,15.35,14.47,14.71,2342915,False
2022-01-18,14.89,15.11,14.76,14.83,3523259,False
2022-01-19,14.93,14.99,13.92,14.08,2256601,False
2022-01-20,14.08,14.4,13.55,14.27,4098350,False
2022-01-21,14.31,14.51,14.15,14.23,867044,False
2022-01-24,14.34,14.34,13.85,14.04,585721,False
2022-01-25,14.3,14.57,14.02,14.11,1613877,False
2022-01-26,14.24,14.4,13.9,14.29,1095152,False
2022-01-27,14.31,14.38,14.05,14.11,806934,False
2022-01-28,14.11,14.28,13.95,14.0,1480423,False
2022-01-31,14.13,14.49,14.13,14.29,2432987,False
2022-02-01,14.31,14.84,14.29,14.66,5532030,False
2022-02-02,14.69,14.89,14.61,14.82,2428930,False
2022-02-03,15.0,15.15,14.35,14.43,3552454,False
2022-02-04,14.55,14.77,14.26,14.51,1169410,False
2022-02-07,14.6,14.82,14.16,14.31,2187626,False
2022-02-08,14.23,14.38,13.93,14.08,1455513,False
2022-02-09,14.02,14.2,13.93,14.0,950079,False
