date,open,high,low,close,volume,is_anomaly
2021-09-13,44.86,45.78,44.86,45.29,1150700,False
2021-09-14,45.25,45.3,43.3,43.98,2462882,False
2021-09-15,44.02,44.4,42.48,43.42,4081206,False
2021-09-16,43.4,44.1,43.11,43.75,1034314,False
2021-09-17,43.75,44.1,42.51,43.17,2088329,False
2021-09-20,43.2,44.9,43.04,44.75,3232346,False
2021-09-21,44.6,45.6,43.5,44.06,3244184,False
2021-09-22,43.8,45.8,42.25,45.45,5748976,False
2021-09-23,45.45,46.35,44.13,44.77,2684928,False
2021-09-24,45.0,45.95,44.0,44.92,3531055,False
2021-09-27,45.19,46.0,44.31,45.5,1664582,False
2021-09-28,46.0,47.4,45.6,47.2,1844932,False
2021-09-29,47.6,47.89,44.85,45.96,2910625,False
2021-09-30,45.55,45.89,43.81,45.48,2592857,False
2021-10-01,45.5,48.45,45.0,48.02,6022649,False
2021-10-04,48.0,48.0,46.5,47.34,1954743,False
2021-10-05,47.01,47.29,44.85,45.08,2180783,False
2021-10-06,45.25,45.6,43.6,43.99,2146425,False
2021-10-07,44.11,44.58,43.0,43.13,2345104,False
2021-10-08,43.4,43.4,42.41,42.99,1771579,False
2021-10-11,43.0,43.25,40.7,41.03,3644034,False
2021-10-12,40.9,42.2,40.25,41.62,3455351,False
2021-10-13,41.99,42.75,40.3,40.57,3237757,False
2021-10-14,40.9,42.25,40.05,42.05,2239188,False
2021-10-15,42.2,42.56,41.44,42.44,1584511,False
2021-10-18,41.5,43.59,41.26,42.5,2330080,False
2021-10-20,41.0,41.18,40.5,41.03,1160240,False
2021-10-21,41.1,41.55,40.6,40.78,614226,False
2021-10-22,40.6,41.1,39.59,39.95,1045175,False
2021-10-25,39.05,39.94,39.05,39.78,116660,False
2021-10-26,40.0,40.0,39.68,39.74,330723,False
2021-10-27,40.14,40.8,39.92,40.55,698593,False
2021-10-28,40.35,40.65,39.81,39.9,341745,False
2021-10-29,40.44,40.44,39.1,39.34,800627,False
2021-11-01,39.94,41.7,39.75,40.86,2527079,False
2021-11-02,40.85,42.77,40.75,41.53,3898400,False
2021-11-03,41.58,42.3,41.25,41.49,1701735,False
2021-11-04,41.6,43.7,41.3,43.47,4460821,False
2021-11-05,43.95,44.39,43.4,43.58,3279608,False
2021-11-08,43.5,43.85,42.65,42.74,903894,False
2021-11-09,42.65,42.92,41.0,41.16,1177380,False
2021-11-10,41.16,43.3,41.16,42.97,2959000,False
2021-11-11,43.39,44.79,42.75,42.99,4350584,False
2021-11-12,42.71,43.0,41.43,42.07,1556931,False
