date,open,high,low,close,volume,is_anomaly
2021-09-13,469.8,470.0,457.0,461.09,9250,False
2021-09-14,460.0,473.0,456.35,466.37,16900,False
2021-09-15,462.5,473.0,462.0,471.31,4850,False
2021-09-16,479.0,479.0,468.0,474.7,7300,False
2021-09-17,473.5,475.7,470.0,473.25,5400,False
2021-09-20,465.0,470.0,465.0,465.44,6200,False
2021-09-21,465.0,468.5,459.0,462.09,13400,False
2021-09-22,446.0,460.0,445.0,446.62,15200,False
2021-09-23,453.0,454.0,430.0,443.03,11950,False
2021-09-24,444.94,446.5,439.0,439.51,9000,False
2021-09-27,440.0,442.0,429.0,437.52,13700,False
2021-09-28,437.5,455.0,430.54,450.7,7650,False
2021-09-29,441.12,441.12,431.0,440.01,13500,False
2021-09-30,440.0,447.0,438.09,445.95,3000,False
2021-10-01,443.01,451.0,443.01,450.31,3200,False
2021-10-04,450.13,452.0,450.0,450.37,8400,False
2021-10-05,456.97,456.97,450.01,450.37,300,False
2021-10-06,440.5,452.0,440.5,446.67,950,False
2021-10-07,450.0,450.0,445.5,448.6,2600,False
2021-10-08,445.0,447.0,440.2,441.0,11950,False
2021-10-11,436.0,436.0,432.0,432.78,1050,False
2021-10-12,432.0,434.96,425.0,428.79,3400,False
2021-10-13,435.0,435.0,415.2,419.86,6150,False
2021-10-14,420.01,434.7,420.0,429.29,11300,False
2021-10-15,439.9,449.66,432.0,438.6,6200,False
2021-10-18,430.0,444.99,425.0,434.96,7600,False
2021-10-20,418.01,444.5,402.5,439.19,7650,False
2021-10-21,447.96,447.96,428.0,428.48,7800,False
2021-10-22,433.0,435.0,427.0,433.67,2600,False
2021-10-25,415.05,439.0,415.05,438.67,6100,False
2021-10-26,438.0,442.0,436.5,437.5,4800,False
2021-10-27,438.0,438.0,428.05,432.7,3200,False
2021-10-28,437.66,437.66,424.04,424.28,2300,False
2021-10-29,425.0,435.0,415.0,425.69,5350,False
2021-11-01,413.0,439.0,413.0,431.24,5150,False
2021-11-02,439.99,463.58,435.0,463.58,22100,False
2021-11-03,479.0,497.0,470.1,489.54,22700,False
2021-11-04,495.0,495.0,480.0,484.0,8450,False
2021-11-05,498.0,511.0,485.0,503.88,20800,False
2021-11-08,503.0,511.0,502.0,504.93,39600,False
2021-11-09,505.0,505.0,482.0,482.0,5500,False
2021-11-10,480.21,490.0,472.1,478.43,900,False
2021-11-11,476.0,500.0,476.0,493.99,6600,False
2021-11-12,484.0,485.0,484.0,484.15,650,False
2021-11-15,475.1,485.0,475.0,480.57,1100,False
2021-11-16,485.0,490.0,480.0,486.36,7600,False
2021-11-17,492.9,493.0,481.0,489.78,5050,False
2021-11-18,485.0,500.0,485.0,498.57,6650,False
2021-11-19,490.0,501.0,490.0,490.13,8150,False
2021-11-22,502.0,502.0,484.0,485.57,10100,False
2021-11-23,490.0,505.0,481.0,481.4,16500,False
2021-11-24,475.0,485.0,475.0,477.67,1650,False
2021-11-25,475.0,475.0,471.99,473.73,2550,False
2021-11-26,473.9,475.0,471.0,473.27,9900,False
2021-11-29,500.0,500.0,470.0,473.55,31650,False
2021-11-30,462.5,472.8,461.0,465.35,4700,False
2021-12-01,483.0,485.0,470.0,470.43,2000,False
2021-12-02,470.0,470.0,435.15,440.0,5000,False
2021-12-03,465.0,465.0,445.0,448.54,1000,False
2021-12-06,442.0,448.0,441.0,445.66,900,False
2021-12-07,464.0,464.0,441.0,444.56,950,False
2021-12-08,442.0,442.0,441.01,441.41,200,False
2021-12-09,441.0,441.0,428.0,439.74,2100,False
2021-12-10,435.0,435.03,430.95,434.59,900,False
2021-12-13,412.03,438.88,412.03,428.97,3950,False
2021-12-14,439.99,450.0,428.0,430.0,16200,False
2021-12-15,435.11,444.0,427.1,442.32,23500,False
2021-12-16,447.99,447.99,435.0,438.2,950,False
2021-12-17,438.2,440.0,430.06,437.6,3400,False
2021-12-20,441.9,441.9,433.0,437.0,2750,False
2021-12-21,437.47,444.0,437.47,444.0,1650,False
2021-12-22,440.0,443.0,435.2,438.0,1400,False
2021-12-23,442.0,449.0,442.0,443.23,900,False
2021-12-24,442.43,451.3,441.0,448.53,2050,False
2021-12-27,445.0,460.0,441.99,450.87,1800,False
2021-12-28,450.0,459.95,448.5,457.9,2700,False
2021-12-29,446.08,453.0,446.0,453.0,3500,False
2021-12-30,446.55,469.0,443.7,461.37,6750,False
2021-12-31,465.0,470.5,464.0,468.53,5900,False
2022-01-03,471.99,474.45,471.99,473.48,800,False
2022-01-04,477.0,485.98,472.0,483.52,24100,False
2022-01-05,488.86,490.0,485.5,487.33,9900,False
2022-01-06,481.0,485.0,480.0,484.0,3200,False
2022-01-07,488.0,488.0,475.1,484.0,5400,False
2022-01-10,480.5,485.0,475.0,483.33,6200,False
2022-01-11,472.13,484.49,472.13,483.0,400,False
2022-01-12,477.2,477.2,476.0,476.01,1000,False
2022-01-13,483.5,484.55,478.0,478.0,3400,False
2022-01-14,480.0,480.0,475.0,475.0,900,False
2022-01-17,466.5,466.5,465.0,466.0,800,False
2022-01-18,465.1,470.0,465.1,468.0,500,False
2022-01-19,460.05,469.9,450.0,460.84,3600,False
2022-01-20,450.0,475.0,450.0,469.3,700,False
2022-01-21,460.55,480.0,460.55,470.0,2100,False
2022-01-25,470.0,470.0,461.0,466.01,500,False
2022-01-26,455.0,464.0,450.3,462.82,2100,False
2022-01-27,463.0,463.0,450.0,458.0,3200,False
2022-01-31,458.0,458.0,448.2,449.88,8300,False
2022-02-01,447.0,450.0,446.0,446.05,1800,False
