date,open,high,low,close,volume,is_anomaly
2021-09-13,12.23,12.39,12.12,12.14,233500,False
2021-09-14,12.2,12.2,11.95,12.03,813500,False
2021-09-15,12.19,12.2,11.89,12.14,282000,False
2021-09-16,12.0,12.13,11.92,12.06,419000,False
2021-09-17,11.96,12.34,11.71,12.04,3969500,False
2021-09-20,12.04,12.35,11.9,12.02,882000,False
2021-09-21,12.05,12.05,11.7,11.84,266000,False
2021-09-22,11.68,11.82,11.5,11.66,837500,False
2021-09-23,11.66,11.88,11.11,11.36,382500,False
2021-09-24,11.59,11.59,11.0,11.06,724000,False
2021-09-27,11.1,11.25,10.94,11.0,872000,False
2021-09-28,11.15,11.29,11.07,11.15,328000,False
2021-09-29,11.17,11.2,10.85,10.9,248500,False
2021-09-30,10.92,11.2,10.41,10.93,1288500,False
2021-10-01,11.17,11.45,10.93,11.24,2164000,False
2021-10-04,11.29,11.29,11.0,11.13,412500,False
2021-10-05,11.06,11.2,10.95,11.01,243000,False
2021-10-06,10.93,11.0,10.7,10.74,228000,False
2021-10-07,10.9,10.99,10.71,10.76,193500,False
2021-10-08,10.94,10.94,10.62,10.7,500000,False
2021-10-11,10.65,10.8,10.26,10.37,460500,False
2021-10-12,10.25,10.46,10.23,10.31,662000,False
2021-10-13,10.4,10.48,10.0,10.08,637000,False
2021-10-14,10.24,10.49,10.1,10.39,340000,False
2021-10-15,10.46,10.5,10.1,10.17,706000,False
2021-10-18,10.2,10.54,10.2,10.25,568500,False
2021-10-20,10.28,10.54,10.28,10.44,288000,False
2021-10-21,10.5,10.54,10.31,10.35,254500,False
2021-10-22,10.45,10.45,10.2,10.2,152500,False
2021-10-25,10.22,10.49,10.15,10.2,44000,False
2021-10-26,10.4,10.4,10.16,10.29,301500,False
2021-10-27,10.38,10.58,10.31,10.41,161500,False
2021-10-28,10.46,10.48,10.22,10.29,47500,False
2021-10-29,10.4,10.4,10.15,10.36,72000,False
2021-11-01,10.4,10.64,10.4,10.56,294500,False
2021-11-02,10.45,10.8,10.45,10.56,541500,False
2021-11-03,10.56,10.7,10.5,10.52,120500,False
2021-11-04,10.69,11.47,10.63,11.27,1289000,False
2021-11-05,11.26,11.51,11.01,11.36,666000,False
2021-11-08,11.39,11.39,11.11,11.18,205500,False
2021-11-09,11.05,11.1,10.65,10.82,225500,False
2021-11-10,10.61,11.15,10.61,11.04,352000,False
2021-11-11,11.15,11.3,10.9,10.97,843500,False
2021-11-12,10.81,10.97,10.61,10.7,156000,False
2021-11-15,10.87,10.87,10.51,10.56,75500,False
2021-11-16,10.74,10.99,10.56,10.84,220000,False
2021-11-17,10.96,10.96,10.61,10.73,69000,False
2021-11-18,10.71,10.75,10.61,10.72,37500,False
2021-11-19,10.66,10.88,10.6,10.63,110000,False
2021-11-22,10.55,10.75,10.41,10.5,197500,False
2021-11-23,10.5,10.5,10.21,10.23,134000,False
2021-11-24,10.24,10.3,10.0,10.06,265500,False
2021-11-25,10.02,10.2,9.95,9.99,115500,False
2021-11-26,10.14,10.24,9.99,10.05,218500,False
2021-11-29,10.0,10.23,9.98,10.18,342500,False
2021-11-30,10.21,10.27,10.05,10.1,284500,False
2021-12-01,10.06,10.15,9.99,10.06,562000,False
2021-12-02,10.07,10.07,9.32,9.54,727000,False
2021-12-03,9.54,9.94,9.31,9.65,643000,False
2021-12-06,9.63,9.87,9.4,9.5,233500,False
2021-12-07,9.4,9.67,9.4,9.53,296500,False
2021-12-08,9.44,9.73,9.44,9.55,104000,False
2021-12-09,9.65,9.65,9.34,9.39,224000,False
2021-12-10,9.6,9.6,9.2,9.27,337500,False
2021-12-13,9.35,9.35,9.15,9.16,88000,False
2021-12-14,9.12,9.3,9.12,9.23,162000,False
2021-12-15,9.35,9.69,9.31,9.57,543500,False
2021-12-16,9.5,9.57,9.26,9.31,166000,False
2021-12-17,9.2,9.25,9.1,9.22,102000,False
2021-12-20,9.3,9.38,9.2,9.25,141000,False
2021-12-21,9.3,9.35,9.1,9.12,515000,False
2021-12-22,9.15,9.18,9.1,9.11,69500,False
2021-12-23,9.15,9.24,9.1,9.12,81000,False
2021-12-24,9.1,9.2,9.1,9.11,32000,False
2021-12-27,9.11,9.11,9.08,9.09,53500,False
2021-12-28,9.1,9.14,8.95,8.97,489000,False
2021-12-29,9.0,9.1,8.96,8.99,670500,False
2021-12-30,9.2,9.3,8.91,8.96,1416500,False
2021-12-31,9.11,9.44,9.0,9.29,1839000,False
2022-01-03,9.28,9.35,9.12,9.3,131500,False
2022-01-04,9.35,9.63,9.35,9.6,363500,False
2022-01-05,9.6,9.6,9.36,9.4,351500,False
2022-01-06,9.36,9.36,9.25,9.26,196500,False
2022-01-07,9.21,9.3,9.15,9.19,239500,False
2022-01-10,9.19,9.3,9.19,9.22,125000,False
2022-01-11,9.3,9.34,9.19,9.2,100000,False
2022-01-12,9.3,9.6,9.24,9.53,1135500,False
2022-01-13,9.55,9.59,9.35,9.39,354500,False
2022-01-14,9.55,9.65,9.31,9.49,147000,False
2022-01-17,9.32,9.32,9.25,9.3,32500,False
2022-01-18,9.46,9.94,9.26,9.68,672500,False
2022-01-19,9.6,9.75,9.3,9.37,371500,False
