date,open,high,low,close,volume,is_anomaly
2021-09-13,821.0,824.0,805.01,815.79,156900,False
2021-09-14,820.0,825.0,801.0,809.78,199200,False
2021-09-15,804.79,804.79,778.0,800.84,354500,False
2021-09-16,785.0,807.0,785.0,797.21,99600,False
2021-09-17,792.0,804.99,779.01,782.54,157700,False
2021-09-20,785.0,799.25,761.0,773.98,122100,False
2021-09-21,771.99,785.0,720.1,746.61,112300,False
2021-09-22,740.0,740.0,710.01,727.13,465400,False
2021-09-23,730.0,735.0,701.1,713.41,155700,False
2021-09-24,715.0,724.0,703.0,718.48,364800,False
2021-09-27,720.01,772.36,703.55,743.89,475900,False
2021-09-28,729.99,775.0,729.99,757.37,254700,False
2021-09-29,751.0,759.79,700.57,739.31,956200,False
2021-09-30,734.0,734.89,704.0,727.51,263000,False
2021-10-01,720.0,734.0,708.0,723.75,139900,False
2021-10-04,704.01,730.0,704.01,725.48,155900,False
2021-10-05,729.98,729.98,700.1,711.27,55800,False
2021-10-06,708.0,710.9,698.0,705.94,230700,False
2021-10-07,704.0,709.95,702.01,705.25,83000,False
2021-10-08,705.24,750.0,690.25,725.61,76900,False
2021-10-11,711.0,715.0,683.0,690.61,101900,False
2021-10-12,670.01,690.0,661.0,680.53,236100,False
2021-10-13,684.4,690.0,640.0,647.84,115900,False
2021-10-14,612.0,690.0,612.0,673.4,343600,False
2021-10-15,665.0,700.0,656.0,689.41,198400,False
2021-10-18,679.0,684.0,655.0,665.04,37100,False
2021-10-20,664.0,681.0,660.0,679.25,103100,False
2021-10-21,680.0,693.7,674.0,683.44,160500,False
2021-10-22,693.0,700.0,660.0,675.64,314399,False
2021-10-25,688.8,688.8,665.0,670.53,199229,False
2021-10-26,675.0,689.0,656.0,670.92,180301,False
2021-10-27,684.0,694.0,679.0,690.56,156618,False
2021-10-28,690.0,698.5,670.02,692.84,212255,False
2021-10-29,698.88,698.88,675.5,688.72,282165,False
2021-11-01,697.48,715.0,690.0,704.59,95816,False
2021-11-02,705.0,748.88,702.1,740.99,277777,False
2021-11-03,739.0,795.0,737.0,789.22,606412,False
2021-11-04,798.38,817.0,790.0,809.36,309368,False
2021-11-05,807.89,808.0,793.0,799.57,118028,False
2021-11-08,780.5,809.98,780.5,797.44,312451,False
2021-11-09,795.0,805.0,766.0,788.35,226516,False
2021-11-10,796.99,802.0,785.0,789.04,134320,False
2021-11-11,793.0,794.95,785.0,786.67,111328,False
2021-11-12,783.0,786.0,769.99,774.29,85820,False
2021-11-15,760.1,828.0,760.1,795.58,140116,False
2021-11-16,804.0,804.0,790.1,797.38,171431,False
2021-11-17,807.0,822.5,800.3,818.09,397740,False
2021-11-18,818.24,821.8,785.1,811.54,276410,False
2021-11-19,800.0,812.0,800.0,801.45,210938,False
2021-11-22,783.33,793.78,767.0,773.28,142341,False
2021-11-23,775.0,775.0,725.0,728.82,160043,False
2021-11-24,712.0,750.0,705.0,745.67,201590,False
2021-11-25,750.0,757.9,738.5,748.31,47705,False
2021-11-26,745.0,772.0,745.0,761.75,82464,False
2021-11-29,759.99,777.0,747.01,769.56,159847,False
2021-11-30,769.9,807.0,769.9,801.6,858957,False
2021-12-01,787.0,798.99,781.0,791.18,31334,False
2021-12-02,791.99,792.0,731.85,731.85,110883,False
2021-12-03,700.0,754.99,695.0,729.5,305738,False
2021-12-06,727.4,759.9,712.0,752.66,144075,False
2021-12-07,752.0,778.99,752.0,765.84,118233,False
2021-12-08,778.0,798.99,752.0,779.42,75083,False
2021-12-09,765.0,785.0,755.0,773.92,101448,False
2021-12-10,760.0,778.0,752.0,753.95,76355,False
2021-12-13,755.95,755.95,715.0,723.4,26321,False
2021-12-14,722.0,730.51,709.0,724.57,78692,False
2021-12-15,746.99,773.75,742.0,770.22,142959,False
2021-12-16,760.0,768.99,741.01,751.47,54474,False
2021-12-17,745.0,798.99,740.0,775.41,72418,False
2021-12-20,781.0,781.0,760.0,768.75,110390,False
2021-12-21,762.0,772.89,758.0,761.46,53772,False
2021-12-22,760.0,770.0,743.0,759.83,74737,False
2021-12-23,747.0,763.5,747.0,753.5,23627,False
2021-12-24,747.0,768.0,747.0,761.03,31322,False
2021-12-27,751.0,769.0,749.0,765.55,10888,False
2021-12-28,768.0,768.0,756.0,763.17,11604,False
2021-12-29,753.0,763.5,748.12,750.79,107785,False
2021-12-30,750.0,774.0,745.0,767.28,143406,False
2021-12-31,767.0,767.0,754.01,759.84,236470,False
2022-01-03,754.0,781.0,754.0,776.54,66997,False
2022-01-04,778.0,798.0,776.54,796.41,133932,False
2022-01-05,798.0,798.0,785.0,788.97,12118,False
2022-01-06,780.0,797.0,772.9,786.71,41296,False
2022-01-07,787.0,815.0,785.0,806.55,143992,False
2022-01-10,804.5,816.0,800.0,809.78,72278,False
2022-01-11,809.5,809.5,780.05,785.77,139655,False
2022-01-12,787.0,793.0,775.18,783.28,107168,False
2022-01-13,784.0,786.0,776.0,777.13,47618,False
2022-01-14,786.99,784.0,775.0,779.97,54115,True
2022-01-17,779.9,783.0,770.0,780.05,120017,False
2022-01-18,778.5,783.99,772.0,775.13,171329,False
2022-01-19,775.0,780.0,769.0,774.76,436285,False
2022-01-20,770.0,774.5,759.97,770.27,204793,False
2022-01-21,770.05,785.0,770.05,779.6,42994,False
2022-01-24,780.0,795.0,765.01,770.86,58150,False
2022-01-25,775.75,775.75,746.5,750.26,720379,False
2022-01-26,754.99,754.99,739.39,744.0,172545,False
2022-01-27,749.3,749.3,742.5,743.95,52698,False
2022-01-28,745.0,745.0,735.0,735.84,49697,False
2022-01-31,739.0,743.0,733.0,737.14,45201,False
2022-02-01,735.0,742.98,732.43,734.05,51391,False
2022-02-02,739.99,739.99,732.0,734.97,177131,False
2022-02-03,736.88,745.0,736.0,738.08,65818,False
2022-02-04,744.98,744.98,720.0,727.13,169782,False
2022-02-07,733.0,733.0,727.0,729.5,13214,False
2022-02-08,734.0,734.0,720.0,722.98,23063,False
2022-02-09,724.99,724.99,715.0,716.28,200973,False
2022-02-10,717.98,717.98,703.5,705.09,275290,False
2022-02-11,708.0,725.0,700.0,710.5,625034,False
2022-02-14,718.99,718.99,685.0,693.55,83127,False
2022-02-15,693.56,698.0,685.05,689.95,103705,False
2022-02-16,695.0,695.0,685.0,688.25,78774,False
2022-02-17,681.0,689.0,681.0,685.93,250797,False
2022-02-18,686.0,695.0,686.0,693.19,84855,False
2022-02-21,692.0,694.5,688.0,689.85,8831,False
2022-02-22,687.01,687.01,665.99,676.03,160008,False
2022-02-23,676.0,683.8,676.0,679.84,74231,False
2022-02-24,655.01,657.25,637.0,640.49,289439,False
2022-02-25,630.01,665.0,629.97,638.88,83955,False
2022-02-28,638.0,646.0,611.02,645.98,69747,False
2022-03-01,670.0,670.0,644.44,652.31,280679,False
2022-03-02,651.0,651.0,630.0,634.31,227005,False
2022-03-03,635.0,635.0,623.23,624.77,33893,False
2022-03-04,624.77,643.99,624.77,639.87,137098,False
2022-03-07,632.0,632.0,608.08,610.84,128524,False
2022-03-08,606.0,639.0,600.52,609.42,276569,False
2022-03-09,625.0,636.0,605.0,632.94,84376,False
2022-03-10,650.0,680.41,640.1,674.94,459817,False
2022-03-11,725.5,725.56,705.56,713.03,1403147,False
2022-03-14,714.0,733.33,702.0,713.0,359869,False
2022-03-15,717.0,725.18,715.1,723.28,140232,False
2022-03-16,725.0,765.0,725.0,761.16,394273,False
2022-03-17,761.26,779.45,761.26,763.98,133561,False
