date,open,high,low,close,volume,is_anomaly
2021-09-13,105.0,107.25,105.0,106.37,219800,False
2021-09-14,106.51,107.0,105.0,105.24,332600,False
2021-09-15,105.1,105.25,103.5,104.04,180400,False
2021-09-16,104.9,105.44,103.55,104.15,182400,False
2021-09-17,105.4,105.49,102.1,102.61,433800,False
2021-09-20,105.55,110.3,104.8,106.49,1555800,False
2021-09-21,106.5,107.75,102.0,104.09,631800,False
2021-09-22,104.1,105.48,101.0,103.19,903000,False
2021-09-23,103.5,106.0,102.0,104.31,399900,False
2021-09-24,103.7,105.0,103.0,104.63,292700,False
2021-09-27,104.6,106.0,103.5,103.95,157100,False
2021-09-28,104.95,105.0,101.51,102.1,526600,False
2021-09-29,102.0,102.25,98.0,99.47,372400,False
2021-09-30,98.75,102.0,98.01,101.45,148000,False
2021-10-01,100.5,102.98,100.0,102.73,228500,False
2021-10-04,102.74,104.8,101.26,104.32,226000,False
2021-10-05,104.35,104.97,103.8,104.05,166900,False
2021-10-06,104.0,104.89,103.35,104.06,102800,False
2021-10-07,104.06,105.4,103.3,103.54,126000,False
2021-10-08,103.56,104.79,103.0,103.03,101500,False
2021-10-11,102.8,104.03,101.0,101.16,172300,False
2021-10-12,101.16,101.16,98.0,100.12,188900,False
2021-10-13,100.5,103.0,99.85,100.87,248600,False
2021-10-14,102.87,102.87,101.0,102.1,187500,False
2021-10-15,101.5,102.93,101.5,101.95,279900,False
2021-10-18,101.0,102.69,101.0,101.82,570300,False
2021-10-20,90.1,93.0,89.82,91.09,137000,False
2021-10-21,91.5,91.7,89.5,89.69,78700,False
2021-10-22,89.6,89.6,86.0,88.88,105200,False
2021-10-25,89.7,90.0,88.0,88.94,71400,False
2021-10-26,89.0,90.0,88.0,89.68,62800,False
2021-10-27,90.0,91.9,89.65,89.96,62400,False
2021-10-28,90.0,96.7,90.0,96.7,272300,False
2021-10-29,103.95,103.95,103.95,103.95,498900,False
2021-11-01,111.74,111.74,107.7,109.43,1998200,False
2021-11-02,110.49,117.2,108.88,111.37,1075300,False
2021-11-03,110.25,113.0,110.0,110.52,502600,False
2021-11-04,110.65,110.65,108.4,108.88,191500,False
2021-11-05,108.5,110.5,107.23,108.95,277500,False
2021-11-08,107.75,108.95,106.0,106.53,433300,False
2021-11-09,106.54,106.54,102.7,103.35,836000,False
2021-11-10,103.25,108.49,101.6,107.69,571400,False
2021-11-11,107.89,107.95,105.01,106.74,312100,False
2021-11-12,106.0,106.78,103.85,105.08,271200,False
2021-11-15,104.5,105.5,104.35,104.5,145000,False
2021-11-16,104.5,106.9,104.35,106.08,166800,False
2021-11-17,106.08,106.08,104.0,104.34,102600,False
2021-11-18,105.0,106.7,104.01,106.28,248800,False
2021-11-19,106.25,107.7,105.4,106.16,216400,False
2021-11-22,104.11,105.45,104.11,104.93,89400,False
2021-11-23,103.0,105.0,102.5,102.7,173400,False
2021-11-24,102.16,103.69,100.1,100.59,170900,False
2021-11-25,101.8,101.8,100.06,101.33,100600,False
2021-11-26,102.0,104.4,100.52,103.28,280400,False
2021-11-29,101.25,107.3,98.01,105.95,362900,False
2021-11-30,106.0,107.5,101.11,104.87,209500,False
2021-12-01,106.35,106.83,104.5,104.99,74900,False
2021-12-02,102.85,103.59,97.12,98.33,602900,False
2021-12-03,97.99,100.0,95.5,97.77,336000,False
2021-12-06,96.01,99.2,96.01,98.1,232900,False
2021-12-07,98.99,101.15,98.99,99.46,110000,False
2021-12-08,99.52,101.5,98.5,100.97,62300,False
2021-12-09,100.3,102.85,98.5,99.24,125200,False
2021-12-10,97.3,100.75,97.3,100.19,282100,False
2021-12-13,101.0,101.5,99.3,99.78,275700,False
2021-12-14,99.01,102.1,98.75,101.9,204200,False
2021-12-15,103.88,108.45,103.52,106.78,785100,False
2021-12-16,106.01,107.85,104.25,104.5,78300,False
2021-12-17,105.29,108.48,103.1,106.0,372200,False
2021-12-20,106.95,109.5,106.9,109.12,265600,False
2021-12-21,109.0,110.9,107.5,107.95,275300,False
2021-12-22,109.25,109.25,107.02,107.29,62400,False
2021-12-23,107.03,109.95,107.0,107.37,120500,False
2021-12-24,107.37,107.7,105.9,106.03,103800,False
2021-12-27,105.1,106.45,105.1,105.97,28200,False
2021-12-28,106.83,106.83,106.0,106.12,73600,False
