date,open,high,low,close,volume,is_anomaly
2021-09-13,414.89,418.9,401.1,409.37,43200,False
2021-09-14,404.0,413.9,404.0,408.24,15600,False
2021-09-15,407.87,409.83,397.5,399.78,36700,False
2021-09-16,396.5,413.0,396.0,406.31,34400,False
2021-09-17,403.98,408.2,403.0,405.34,8400,False
2021-09-20,401.54,408.8,400.0,405.32,13000,False
2021-09-21,402.79,406.61,394.0,395.9,17600,False
2021-09-22,394.55,398.75,385.0,395.9,18300,False
2021-09-23,396.65,398.98,387.0,395.57,16000,False
2021-09-24,396.58,408.0,393.0,404.49,22700,False
2021-09-27,403.12,405.0,380.1,395.34,98100,False
2021-09-28,398.02,398.02,386.0,392.26,43100,False
2021-09-29,387.0,391.95,380.0,386.55,20200,False
2021-09-30,381.33,396.0,377.0,388.35,34300,False
2021-10-01,388.5,393.97,380.15,382.29,85500,False
2021-10-04,373.0,378.2,370.0,370.96,42800,False
2021-10-05,369.92,372.5,362.5,368.65,87900,False
2021-10-06,370.95,371.0,361.35,363.27,10700,False
2021-10-07,368.99,369.5,362.0,365.03,80300,False
2021-10-08,366.48,370.99,363.5,364.7,148300,False
2021-10-11,363.25,366.8,363.25,365.11,143000,False
2021-10-12,360.74,367.9,360.05,365.86,77500,False
2021-10-13,362.0,372.49,361.0,364.46,105600,False
2021-10-14,364.11,367.0,364.0,364.8,116200,False
2021-10-15,364.99,392.15,363.34,379.91,244800,False
2021-10-18,379.91,379.91,366.6,368.26,9500,False
2021-10-20,369.8,384.89,367.7,373.7,365200,False
2021-10-21,378.0,401.72,374.0,395.61,64700,False
2021-10-22,398.11,425.28,397.11,408.0,68900,False
2021-10-25,394.05,429.99,394.05,424.37,234200,False
2021-10-26,440.0,440.0,420.0,422.67,11900,False
2021-10-27,414.55,422.79,410.1,417.0,2300,False
2021-10-28,406.25,414.0,405.0,410.9,13600,False
2021-10-29,406.01,424.99,406.01,418.39,21700,False
2021-11-01,424.99,434.8,417.0,420.33,11900,False
2021-11-02,407.5,420.0,407.5,416.67,21100,False
2021-11-03,407.0,417.0,407.0,413.69,24600,False
2021-11-04,407.5,413.7,407.5,412.87,5000,False
2021-11-05,411.0,418.8,399.0,400.2,65900,False
2021-11-08,401.54,401.54,392.12,398.29,37000,False
2021-11-09,397.0,403.6,390.0,396.5,564400,False
2021-11-10,394.78,397.84,390.0,391.3,274700,False
2021-11-11,392.59,394.64,386.0,389.12,19100,False
2021-11-12,387.9,390.25,376.0,378.24,87300,False
2021-11-15,374.5,378.5,371.0,375.26,15200,False
2021-11-16,376.5,379.4,372.2,374.34,28100,False
2021-11-17,371.0,377.0,367.5,369.92,9100,False
2021-11-18,368.5,371.45,368.5,369.9,4400,False
2021-11-19,368.7,393.0,368.7,379.39,281200,False
2021-11-22,373.0,378.99,369.99,371.94,301700,False
2021-11-23,368.78,372.0,365.0,370.54,222800,False
2021-11-24,368.24,372.0,363.0,368.21,434500,False
2021-11-25,365.11,371.5,362.25,369.47,393100,False
2021-11-26,368.75,371.7,365.6,367.37,252900,False
2021-11-29,367.0,394.91,365.11,388.17,37500,False
2021-11-30,384.0,387.99,381.56,385.13,500,False
2021-12-01,380.01,395.0,380.0,389.24,30600,False
2021-12-02,383.23,383.23,360.05,361.01,27200,False
2021-12-03,353.0,388.0,346.0,364.23,37300,False
2021-12-06,364.11,369.0,363.11,368.03,1900,False
2021-12-07,384.0,384.0,370.0,379.28,12500,False
2021-12-08,380.52,380.52,370.0,376.24,20600,False
2021-12-09,366.44,370.0,365.92,369.83,6900,False
2021-12-10,365.11,369.79,365.0,369.78,1500,False
2021-12-13,363.0,369.78,356.0,365.93,18100,False
2021-12-14,363.0,369.99,363.0,369.2,1600,False
2021-12-15,369.99,381.9,369.99,377.15,47700,False
2021-12-16,371.51,377.0,367.0,373.29,18200,False
2021-12-17,374.99,384.99,373.29,377.71,20200,False
2021-12-20,378.49,380.0,378.0,379.43,12900,False
2021-12-21,377.75,377.99,373.0,375.29,16600,False
2021-12-22,367.9,381.0,367.9,378.38,11300,False
2021-12-23,376.0,377.0,374.12,375.56,36400,False
2021-12-24,375.49,384.4,375.0,380.31,13700,False
2021-12-27,377.99,381.0,377.1,378.03,11200,False
2021-12-28,377.99,385.0,376.01,382.16,13100,False
2021-12-29,382.16,386.0,374.22,381.55,51700,False
2021-12-30,382.5,384.97,381.55,384.58,24900,False
2021-12-31,380.0,385.0,378.17,382.69,47300,False
2022-01-03,378.5,385.0,378.5,383.88,7000,False
2022-01-04,382.51,386.01,381.0,381.19,26000,False
2022-01-05,381.0,381.0,379.0,380.22,8800,False
2022-01-06,378.88,379.74,377.03,379.41,2400,False
2022-01-07,361.0,383.99,361.0,379.37,13600,False
2022-01-10,379.36,399.4,378.0,387.82,22300,False
2022-01-11,382.23,388.0,380.0,385.6,65200,False
2022-01-12,389.88,389.88,384.05,388.58,10900,False
2022-01-13,388.53,393.99,385.5,389.95,8700,False
2022-01-14,389.98,390.0,389.98,390.0,12100,False
2022-01-17,385.0,391.0,385.0,390.21,10300,False
2022-01-18,386.75,390.0,386.75,387.48,300,False
2022-01-19,385.0,389.69,385.0,385.85,700,False
2022-01-20,386.99,387.0,386.0,386.0,900,False
2022-01-21,385.65,385.99,382.9,384.09,800,False
2022-01-24,380.0,380.66,376.0,377.73,1300,False
