date,open,high,low,close,volume,is_anomaly
2024-05-20,18.0,18.0,8.8,16.5,648538,False
2024-05-21,16.5,17.49,15.4,16.41,315682,False
2024-05-22,16.5,16.5,15.18,16.17,377100,False
2024-05-23,16.3,16.3,16.06,16.22,9000,False
2024-05-24,15.1,16.23,15.06,15.81,2150,False
2024-05-27,15.92,16.16,14.62,16.06,5550,False
2024-05-29,15.05,15.98,15.05,15.35,1925,False
2024-05-30,15.4,16.0,15.1,15.26,2000,False
2024-05-31,15.92,15.92,15.9,15.26,11,True
2024-06-03,15.1,15.94,15.1,15.59,742,False
2024-06-04,15.9,15.9,15.01,15.51,3366,False
2024-06-05,16.0,16.0,15.12,15.51,370,False
2024-06-06,15.11,15.87,14.56,15.69,4601,False
2024-06-07,15.03,15.75,14.5,15.6,8587,False
2024-06-10,15.0,15.75,14.5,15.42,6864,False
2024-06-11,15.01,15.42,14.11,15.38,17200,False
2024-06-12,14.07,15.31,14.07,14.9,13323,False
2024-06-13,15.28,15.5,14.02,15.41,12507,False
2024-06-14,14.15,16.0,14.15,15.8,13721,False
2024-06-20,15.0,16.0,15.0,15.61,20006,False
2024-06-21,15.05,15.84,15.05,15.79,5092,False
2024-06-24,14.7,15.5,14.7,14.87,1003,False
2024-06-25,15.84,15.84,13.53,15.22,14633,False
2024-06-26,14.02,15.75,14.02,15.56,7816,False
2024-06-27,15.95,16.0,14.16,15.54,36802,False
2024-06-28,14.36,16.0,14.36,15.0,4078,False
2024-07-01,15.95,15.95,14.51,15.45,2562,False
2024-07-02,15.39,15.4,14.8,15.14,2840,False
2024-07-03,15.0,15.2,15.0,15.2,1620,False
2024-07-04,15.64,15.64,13.83,15.18,13384,False
2024-07-05,15.0,15.2,14.71,15.08,1401,False
2024-07-08,15.01,15.01,14.7,14.81,4500,False
2024-07-09,14.81,15.45,14.8,14.8,10699,False
2024-07-10,14.8,14.8,14.5,14.75,1168,False
2024-07-11,14.6,14.6,14.6,14.6,1500,False
2024-07-12,14.3,14.5,14.3,14.5,2401,False
2024-07-15,14.6,14.6,14.36,14.45,800,False
2024-07-18,14.7,14.9,14.5,14.7,3184,False
2024-07-19,14.5,14.5,14.0,14.28,4900,False
2024-07-22,13.3,14.0,13.3,13.46,2115,False
2024-07-23,13.7,14.5,13.7,13.46,1502,True
2024-07-24,14.05,14.05,14.05,14.05,1000,False
2024-07-25,13.8,14.5,12.65,13.75,13497,False
2024-07-26,14.0,14.0,14.0,14.0,500,False
2024-07-29,13.5,13.51,12.6,13.51,3908,False
2024-07-30,13.93,14.34,13.93,14.1,1976,False
2024-07-31,14.1,15.21,14.1,14.38,12727,False
2024-08-01,14.29,14.8,14.29,14.3,10000,False
2024-08-02,14.5,15.0,14.5,15.0,6000,False
2024-08-05,14.5,16.5,13.5,15.69,34711,False
2024-08-06,14.31,16.0,14.12,15.56,11623,False
2024-08-07,15.6,16.0,15.6,15.93,5000,False
2024-08-08,14.5,16.0,14.5,15.91,6200,False
2024-08-09,15.0,15.89,14.6,15.84,15300,False
2024-08-12,14.55,15.84,14.55,15.54,9000,False
2024-08-13,14.6,14.6,14.41,14.42,2500,False
2024-08-15,14.11,14.2,14.11,14.2,5250,False
2024-08-16,14.2,14.3,14.2,14.25,2800,False
2024-08-19,14.32,15.5,14.32,15.39,10011,False
2024-08-20,14.5,16.0,14.5,14.7,10376,False
2024-08-21,15.0,16.0,14.55,15.78,19114,False
2024-08-22,15.78,16.0,15.4,16.0,5300,False
2024-08-23,15.0,16.0,15.0,15.82,6500,False
2024-08-26,15.0,16.0,14.24,15.71,78435,False
2024-08-27,14.17,14.25,14.14,14.14,58200,False
2024-08-28,14.2,14.2,14.2,14.14,10,True
2024-08-29,14.0,14.09,13.26,13.6,8863,False
2024-08-30,14.44,14.6,13.32,13.55,1610,False
2024-09-02,14.47,14.91,14.24,14.72,14414,False
2024-09-03,14.6,14.75,14.6,14.7,2414,False
2024-09-04,15.3,15.3,14.6,14.6,2750,False
2024-09-05,14.8,15.44,14.79,14.92,10700,False
2024-09-06,14.4,15.5,14.4,15.22,80602,False
2024-09-09,14.98,14.98,14.9,14.93,1051,False
2024-09-10,14.5,15.5,13.44,14.03,326584,False
2024-09-11,14.0,14.4,13.55,13.56,8951,False
2024-09-12,13.5,14.5,13.5,14.33,13305,False
2024-09-13,0.0,0.0,0.0,14.33,2,True
2024-09-16,13.51,14.0,13.51,13.59,10538,False
2024-09-18,13.59,13.8,13.59,13.62,6007,False
2024-09-19,13.85,14.15,13.25,13.55,13507,False
2024-09-20,13.55,13.7,13.3,13.7,4018,False
2024-09-23,13.75,13.9,13.5,13.5,14550,False
2024-09-24,0.0,0.0,0.0,13.5,0,True
2024-09-25,13.2,13.5,13.0,13.5,4882,False
2024-09-26,13.5,13.5,13.01,13.22,1755,False
2024-09-27,13.22,13.22,13.22,13.22,1000,False
2024-09-30,12.0,14.54,11.9,14.0,276549,False
2024-10-01,14.2,14.2,13.5,13.51,4051,False
2024-10-02,13.8,13.8,13.5,13.6,5723,False
2024-10-03,13.65,14.96,13.5,14.23,15498,False
2024-10-04,13.6,14.3,13.54,14.3,4600,False
2024-10-07,14.48,14.48,14.3,14.47,6000,False
2024-10-08,13.53,14.4,13.53,14.38,2810,False
2024-10-09,14.31,14.5,13.5,14.14,12102,False
2024-10-10,14.0,14.5,14.0,14.06,1150,False
2024-10-11,14.06,14.5,13.5,14.46,8000,False
2024-10-14,15.0,15.0,14.0,14.49,4700,False
2024-10-15,14.75,14.75,13.5,13.51,26670,False
2024-10-16,13.51,13.85,12.5,13.01,17435,False
2024-10-17,13.0,13.45,13.0,13.0,18920,False
2024-10-18,13.05,13.05,13.0,13.0,2200,False
2024-10-21,13.2,13.7,13.11,13.7,7500,False
2024-10-22,13.66,13.7,13.66,13.7,3883,False
2024-10-23,13.6,14.34,13.4,14.24,4707,False
2024-10-24,14.2,14.2,13.65,13.65,1500,False
2024-10-25,13.4,14.2,13.4,13.63,1210,False
2024-10-28,13.51,13.63,12.3,13.15,17260,False
2024-10-29,13.2,14.4,13.2,13.73,5510,False
2024-10-30,13.5,13.99,13.5,13.73,105,False
2024-11-01,13.6,14.97,13.0,14.21,15115,False
2024-11-04,14.0,14.97,13.9,14.3,20450,False
2024-11-05,13.9,14.24,13.9,14.09,11000,False
2024-11-06,13.51,13.9,13.51,13.59,2440,False
2024-11-07,13.52,14.0,13.1,13.71,28835,False
2024-11-08,13.7,13.7,13.11,13.5,14464,False
2024-11-11,13.5,13.5,13.5,13.5,1125,False
2024-11-12,13.13,13.5,13.13,13.5,3344,False
2024-11-13,13.5,13.9,13.2,13.61,16534,False
2024-11-14,13.5,13.5,13.5,13.5,9835,False
2024-11-15,13.99,14.7,13.2,13.84,4589,False
2024-11-19,14.0,14.46,13.0,13.7,13532,False
2024-11-20,13.5,13.7,13.35,13.35,19540,False
2024-11-21,13.49,13.5,12.61,13.44,8825,False
2024-11-22,13.44,13.44,13.02,13.07,3320,False
2024-11-25,13.5,13.5,13.0,13.04,68646,False
2024-11-26,13.25,13.25,12.89,12.99,6797,False
2024-11-27,12.86,13.0,12.5,12.55,17948,False
2024-11-28,12.75,12.79,12.01,12.75,16945,False
2024-11-29,12.75,13.4,12.69,13.16,9767,False
2024-12-02,12.9,13.8,11.84,12.59,637899,False
2024-12-03,12.3,12.87,11.99,12.5,791360,False
2024-12-04,12.22,12.4,12.02,12.22,759804,False
2024-12-05,12.37,12.68,12.25,12.51,149096,False
2024-12-06,12.7,12.95,12.6,12.74,216505,False
2024-12-09,12.78,13.45,12.5,13.14,309553,False
2024-12-10,12.72,13.14,12.7,13.1,155355,False
2024-12-11,13.0,13.39,12.76,13.25,125611,False
2024-12-12,13.0,13.39,13.0,13.1,138777,False
2024-12-13,13.3,13.3,13.0,13.0,117656,False
2024-12-16,12.96,13.4,12.96,13.31,145898,False
2024-12-17,13.03,14.44,13.0,13.96,563002,False
2024-12-18,13.51,14.29,13.39,13.8,84332,False
2024-12-19,13.01,14.17,13.01,13.3,283074,False
2024-12-20,12.6,14.49,12.6,14.0,56533,False
2024-12-23,13.51,14.1,13.51,13.96,56821,False
2024-12-24,14.49,14.49,13.51,14.21,51314,False
2024-12-26,13.6,14.18,13.6,14.17,65846,False
2024-12-27,14.49,14.49,13.52,14.32,71649,False
2024-12-30,13.91,15.5,13.9,15.24,271649,False
2024-12-31,15.23,16.68,14.0,15.24,2015818,False
2025-01-01,15.24,15.39,14.99,15.0,18113,False
2025-01-02,14.98,14.98,14.98,15.0,495,True
2025-01-03,14.02,14.84,14.02,14.8,1230,False
2025-01-06,14.8,14.97,14.51,14.79,10537,False
2025-01-07,14.79,14.8,14.11,14.5,11291,False
2025-01-08,14.12,14.5,14.1,14.34,8814,False
2025-01-09,14.0,15.5,13.95,15.48,153105,False
2025-01-10,15.0,15.0,14.8,14.97,602,False
2025-01-14,14.1,14.99,14.1,14.61,4110,False
2025-01-15,14.99,15.0,14.99,14.61,301,True
2025-01-16,14.12,14.89,13.94,14.0,378153,False
2025-01-17,14.2,14.2,14.0,14.0,2015,False
2025-01-20,14.15,14.15,14.15,14.0,2535,True
2025-01-21,14.0,14.99,14.0,14.66,2755,False
2025-01-22,14.8,14.98,14.13,14.18,2135,False
2025-01-23,14.01,14.99,13.8,14.18,25149,False
2025-01-24,14.0,14.3,13.9,13.9,1001,False
2025-01-27,14.18,14.18,13.53,14.13,9513,False
2025-01-28,13.7,13.8,13.7,14.13,60,True
2025-01-29,14.1,14.1,13.63,13.7,826,False
2025-01-30,13.99,14.18,13.99,13.99,15004,False
2025-01-31,13.99,14.1,13.99,14.02,2200,False
2025-02-03,14.18,14.29,13.99,14.19,18500,False
2025-02-04,14.0,14.0,13.73,13.97,11600,False
2025-02-06,14.0,14.1,14.0,14.0,6254,False
2025-02-07,13.9,14.8,13.9,14.46,3972,False
2025-02-10,14.0,14.99,14.0,14.55,23864,False
2025-02-11,14.04,14.8,14.02,14.69,3723,False
2025-02-12,14.06,14.6,14.06,14.39,567,False
2025-02-13,14.38,14.38,14.38,14.38,2478,False
2025-02-14,14.04,14.24,14.0,14.0,71921,False
2025-02-17,14.0,14.0,14.0,14.0,10435,False
2025-02-18,14.0,14.0,13.65,13.99,6100,False
2025-02-19,13.71,13.99,13.6,13.94,2400,False
2025-02-20,13.6,13.66,13.12,13.55,3845,False
2025-02-21,13.6,13.9,13.6,13.67,2435,False
2025-02-24,13.99,13.99,13.52,13.99,3835,False
2025-02-25,13.99,13.99,13.99,13.99,3500,False
2025-02-26,13.99,14.2,13.99,14.1,1532,False
2025-02-27,14.0,14.0,14.0,14.0,3800,False
2025-02-28,14.0,14.1,14.0,14.1,5600,False
2025-03-03,13.99,13.99,13.5,13.92,2244,False
2025-03-04,13.51,13.99,12.54,13.2,11849,False
2025-03-05,13.6,13.6,13.6,13.6,530,False
2025-03-06,13.24,14.0,12.51,13.89,6756,False
2025-03-07,13.89,13.99,13.89,13.94,4700,False
2025-03-10,14.3,14.3,12.55,13.94,9772,False
2025-03-11,13.94,13.94,13.9,13.91,6500,False
2025-03-12,13.33,13.8,13.33,13.8,1000,False
2025-03-13,14.0,14.0,13.99,13.8,294,True
2025-03-17,13.63,13.8,13.63,13.64,5600,False
2025-03-18,13.79,13.8,13.64,13.7,1751,False
2025-03-19,13.9,13.9,13.14,13.24,3645,False
2025-03-20,13.8,13.88,13.75,13.83,13155,False
