date,open,high,low,close,volume,is_anomaly
2021-09-13,51.75,52.5,50.36,50.87,5870500,False
2021-09-14,51.35,51.73,49.6,50.11,8430000,False
2021-09-15,50.4,51.1,49.5,50.09,8645000,False
2021-09-16,50.06,51.2,49.62,50.43,2890500,False
2021-09-17,51.0,51.7,50.1,50.32,7115500,False
2021-09-20,50.11,50.7,49.5,49.87,1213000,False
2021-09-21,49.7,50.39,47.5,48.59,4644500,False
2021-09-22,48.0,48.12,44.95,44.95,2889000,False
2021-09-23,43.3,45.55,41.58,41.58,18767500,False
2021-09-24,40.88,42.0,38.47,39.42,9855500,False
2021-09-27,39.99,39.99,36.56,38.29,9202000,False
2021-09-28,39.0,41.16,38.2,41.16,8753500,False
2021-09-29,42.01,42.7,39.3,40.16,6654500,False
2021-09-30,40.0,43.17,38.85,42.59,8738000,False
2021-10-01,44.0,45.78,43.06,45.78,3116500,False
2021-10-04,46.49,49.21,46.15,49.21,3158500,False
2021-10-05,51.5,52.9,51.13,52.9,6034000,False
2021-10-06,50.55,52.44,48.94,50.21,15744500,False
2021-10-07,49.5,53.97,48.51,53.97,12892500,False
2021-10-08,57.5,58.01,53.97,58.01,6454000,False
2021-10-11,56.99,59.44,53.66,53.66,9376500,False
2021-10-12,52.1,52.9,49.64,49.64,21776000,False
2021-10-13,48.45,49.0,45.92,45.92,14163500,False
2021-10-14,44.2,49.36,43.03,49.36,16451500,False
2021-10-15,51.0,51.0,45.66,45.78,19620000,False
2021-10-18,43.52,45.2,42.35,42.44,5773000,False
2021-10-20,43.5,45.4,43.11,43.96,5932000,False
2021-10-21,43.6,43.88,41.8,42.2,3192000,False
2021-10-22,42.1,44.89,39.5,44.27,9776500,False
2021-10-25,44.49,45.69,43.2,44.96,4101500,False
2021-10-26,44.95,45.75,42.4,42.84,5736500,False
2021-10-27,44.39,44.45,42.65,42.96,2568500,False
2021-10-28,43.0,43.09,41.75,42.06,2043500,False
2021-10-29,42.09,42.59,40.5,41.68,2512500,False
2021-11-01,42.99,44.8,42.65,44.74,11038000,False
2021-11-02,45.05,45.49,43.68,43.88,5317500,False
