date,open,high,low,close,volume,is_anomaly
2021-09-13,171.6,173.0,166.11,167.67,6784796,False
2021-09-14,167.0,169.0,162.0,165.51,6326496,False
2021-09-15,166.4,169.0,165.65,167.51,4627726,False
2021-09-16,168.0,180.0,166.61,176.66,32299424,False
2021-09-17,177.4,180.25,172.61,174.05,25234230,False
2021-09-20,173.51,175.79,171.5,174.92,9973876,False
2021-09-21,174.92,177.6,170.01,172.82,11959127,False
2021-09-22,172.0,174.32,161.3,169.39,10424971,False
2021-09-23,171.05,172.5,162.09,163.61,9709753,False
2021-09-24,163.5,165.99,158.03,161.23,8708970,False
2021-09-27,161.5,161.9,149.26,156.64,8552207,False
2021-09-28,159.55,168.38,156.66,168.0,12983155,False
2021-09-29,166.5,167.44,155.53,160.05,15653604,False
2021-09-30,157.0,162.97,156.16,161.67,6274213,False
2021-10-01,160.5,162.8,158.55,160.12,4461491,False
2021-10-04,159.1,165.85,157.0,164.57,9058475,False
2021-10-05,165.91,166.3,158.0,158.62,8645626,False
2021-10-06,159.0,159.75,150.01,157.73,7618372,False
2021-10-07,158.95,164.7,158.55,161.36,7978338,False
2021-10-08,162.0,162.0,159.0,160.0,2357193,False
2021-10-11,159.0,159.0,148.0,149.24,7126974,False
2021-10-12,148.0,148.45,139.04,141.09,12235659,False
2021-10-13,141.75,142.49,130.51,131.1,16266048,False
2021-10-14,130.0,140.2,125.6,138.66,13023467,False
2021-10-15,138.9,139.35,134.0,136.42,5213724,False
2021-10-18,133.0,134.4,127.7,128.46,6620247,False
2021-10-20,130.0,136.1,129.6,134.35,7412437,False
2021-10-21,135.0,135.49,128.46,129.79,6377127,False
2021-10-22,129.01,130.5,121.05,126.21,13725483,False
2021-10-25,126.0,127.29,122.85,126.76,4713790,False
2021-10-26,128.0,128.9,123.0,123.46,4454543,False
2021-10-27,128.0,131.7,127.0,129.32,6707508,False
2021-10-28,129.0,129.7,125.97,126.82,4150531,False
2021-10-29,127.7,127.7,118.7,119.62,9853147,False
2021-11-01,121.0,126.21,115.75,123.82,12554190,False
2021-11-02,124.8,130.99,124.0,127.98,9225985,False
2021-11-03,128.45,135.98,128.1,134.91,16113966,False
2021-11-04,135.0,139.42,133.5,138.43,12534425,False
2021-11-05,139.5,140.75,135.02,136.44,8284350,False
2021-11-08,136.99,137.75,132.51,133.98,4930375,False
2021-11-09,133.0,133.6,127.51,130.32,7225037,False
2021-11-10,131.49,133.48,130.11,131.84,6124701,False
2021-11-11,132.0,133.25,128.1,128.81,3202213,False
2021-11-12,128.0,128.89,121.75,123.98,4650768,False
2021-11-15,123.98,125.0,120.62,121.89,2160050,False
2021-11-16,123.7,131.03,123.7,130.45,9189272,False
2021-11-17,130.5,130.5,120.67,120.67,15965296,False
2021-11-18,111.62,111.62,111.62,111.62,340413,False
2021-11-19,103.25,103.25,103.25,103.25,951569,False
2021-11-22,96.0,98.48,95.51,95.51,22372983,False
2021-11-23,94.0,95.39,88.35,88.35,19634226,False
2021-11-24,86.5,94.8,82.2,90.11,26519206,False
2021-11-25,90.8,91.94,86.8,88.8,7946662,False
2021-11-26,88.3,90.99,85.7,87.43,9531136,False
2021-11-29,85.9,92.8,84.01,90.13,10288375,False
2021-11-30,90.5,91.39,85.5,87.13,20763755,False
2021-12-01,86.9,89.7,85.7,88.35,9010156,False
2021-12-02,86.6,87.0,81.73,81.73,10985355,False
2021-12-03,78.0,81.0,75.62,77.86,10302695,False
2021-12-06,80.01,82.59,78.6,81.1,11192124,False
2021-12-07,82.1,87.18,82.1,87.18,6930326,False
2021-12-08,93.71,93.71,92.0,93.71,5195864,False
2021-12-09,97.5,98.5,87.5,95.05,25728986,False
2021-12-10,94.05,101.4,92.26,96.44,14620541,False
2021-12-13,96.95,97.4,89.21,89.74,6791845,False
2021-12-14,90.97,96.47,90.05,96.47,8901116,False
2021-12-15,101.0,103.7,100.53,103.7,6141453,False
2021-12-16,105.55,111.4,104.1,107.82,16993700,False
2021-12-17,106.2,107.7,102.03,106.43,14433009,False
2021-12-20,108.0,114.41,106.92,114.41,25677786,False
2021-12-21,117.9,121.49,115.65,116.24,20928534,False
2021-12-22,117.0,118.5,115.18,117.53,8496788,False
