date,open,high,low,close,volume,is_anomaly
2021-09-13,116.9,123.2,115.98,121.69,6691583,False
2021-09-14,121.69,123.74,119.5,120.75,960755,False
2021-09-15,121.49,123.99,120.0,123.34,823718,False
2021-09-16,123.9,125.0,121.57,123.65,519126,False
2021-09-17,121.81,125.1,120.0,122.24,1250351,False
2021-09-20,121.52,125.0,121.31,123.94,243827,False
2021-09-21,124.5,126.01,120.55,122.88,1590233,False
2021-09-22,123.0,123.0,118.2,121.19,1245741,False
2021-09-23,122.0,122.0,120.0,120.7,187765,False
2021-09-24,120.9,121.0,119.3,120.4,290086,False
2021-09-27,121.0,121.0,118.0,118.88,785387,False
2021-09-28,119.0,120.0,118.5,119.21,2356727,False
2021-09-29,119.95,119.95,116.5,117.15,1638167,False
2021-09-30,117.33,119.0,116.0,118.56,2127141,False
2021-10-01,118.0,119.45,117.05,117.83,506091,False
2021-10-04,115.15,118.95,115.15,118.37,756651,False
2021-10-05,118.5,120.68,117.5,120.01,1526479,False
2021-10-06,120.9,122.49,119.0,121.92,1925997,False
2021-10-07,122.45,124.6,120.26,123.43,2340805,False
2021-10-08,124.39,124.65,121.61,123.72,670597,False
2021-10-11,124.1,124.1,122.71,123.08,255409,False
2021-10-12,123.99,127.49,121.6,125.73,1539298,False
2021-10-13,125.73,128.0,121.0,122.19,1418439,False
2021-10-14,122.19,128.5,122.1,127.84,1499969,False
2021-10-15,127.05,132.0,126.26,129.5,2167101,False
2021-10-18,130.98,132.89,127.7,130.02,638094,False
2021-10-20,128.99,135.0,128.1,133.37,2254113,False
2021-10-21,133.48,143.37,132.5,140.12,6530942,False
2021-10-22,138.65,143.0,138.5,142.25,2330869,False
2021-10-25,142.25,142.5,140.0,142.05,464348,False
2021-10-26,139.5,141.45,138.5,138.89,1419992,False
2021-10-27,143.0,143.0,140.01,140.43,831425,False
2021-10-28,139.01,142.5,138.01,142.32,1420966,False
2021-10-29,139.85,141.99,137.0,140.03,1112881,False
2021-11-01,141.5,142.9,138.51,138.98,623264,False
2021-11-02,140.48,140.5,139.0,140.06,4007890,False
2021-11-03,140.0,141.75,136.05,136.67,1912449,False
2021-11-04,136.5,137.85,135.99,136.78,476272,False
2021-11-05,137.65,139.89,135.51,139.29,953663,False
2021-11-08,139.0,139.9,136.75,138.25,432720,False
2021-11-09,139.24,139.24,134.9,135.52,4079560,False
2021-11-10,136.89,136.89,135.01,135.4,3771742,False
2021-11-11,136.9,136.9,134.23,134.91,437342,False
2021-11-12,134.9,137.0,133.5,133.84,1213978,False
2021-11-15,136.0,136.88,132.65,135.55,1894571,False
2021-11-16,134.5,137.25,134.5,137.05,1260174,False
2021-11-17,138.0,139.6,136.6,137.85,2906273,False
2021-11-18,138.7,139.5,137.0,138.79,1366743,False
2021-11-19,138.21,141.35,138.21,139.99,9707962,False
2021-11-22,142.5,145.0,139.51,141.04,4008696,False
2021-11-23,142.0,142.0,138.31,139.85,1588647,False
2021-11-24,141.0,142.82,137.01,142.04,1967508,False
2021-11-25,142.05,142.05,138.61,139.56,1641771,False
2021-11-26,139.5,141.78,138.06,140.46,3706110,False
2021-11-29,140.0,144.8,138.2,143.7,2397487,False
2021-11-30,144.5,146.9,138.01,141.25,20844716,False
2021-12-01,142.51,144.8,141.44,143.89,1819137,False
2021-12-02,142.13,143.9,137.11,139.84,1382287,False
2021-12-03,140.9,145.0,138.0,143.8,1937176,False
2021-12-06,144.75,145.0,139.1,140.84,1958728,False
2021-12-07,142.0,142.0,139.25,139.96,311337,False
2021-12-08,141.75,142.3,139.1,141.91,1140999,False
2021-12-09,141.91,142.95,138.45,141.17,418338,False
2021-12-10,141.99,141.99,138.9,140.11,362793,False
2021-12-13,141.0,142.5,136.0,137.25,5825167,False
2021-12-14,138.0,138.5,136.06,137.44,1024767,False
2021-12-15,138.87,138.94,136.55,137.61,1090914,False
2021-12-16,138.29,138.5,134.06,134.99,1440490,False
2021-12-17,136.7,136.7,134.01,134.82,764216,False
2021-12-20,135.99,136.3,133.75,134.14,392961,False
2021-12-21,135.5,135.5,134.0,134.22,120692,False
2021-12-22,135.4,135.4,133.0,133.33,573905,False
2021-12-23,133.25,134.85,133.25,134.43,362658,False
2021-12-24,134.6,135.45,133.7,135.01,120984,False
2021-12-27,135.85,135.85,134.0,134.29,932292,False
2021-12-28,135.0,135.2,134.5,134.94,68151,False
2021-12-29,135.15,135.15,132.5,133.43,322747,False
2021-12-30,133.03,137.0,133.03,135.29,769544,False
2021-12-31,136.65,137.5,134.03,136.58,823280,False
2022-01-03,136.95,138.0,135.51,137.4,342216,False
2022-01-04,137.97,137.97,136.46,136.92,430685,False
2022-01-05,137.49,137.5,136.3,137.23,301979,False
2022-01-06,137.84,138.5,137.0,138.09,533097,False
2022-01-07,138.8,140.9,137.9,140.59,865771,False
2022-01-10,140.99,142.9,140.0,142.06,629891,False
2022-01-11,143.49,143.49,140.4,142.99,846620,False
2022-01-12,143.9,144.0,142.6,143.05,467159,False
2022-01-13,142.9,143.5,141.5,142.28,269803,False
2022-01-14,142.85,143.2,142.02,142.13,1547436,False
2022-01-17,142.1,142.95,141.9,142.18,327738,False
2022-01-18,143.48,143.48,141.0,141.55,1802469,False
2022-01-19,142.0,142.0,139.75,140.09,911793,False
2022-01-20,140.75,142.5,139.55,140.11,376981,False
2022-01-21,140.4,142.5,139.01,141.02,127590,False
2022-01-24,141.44,141.5,139.85,140.01,665691,False
2022-01-25,140.75,141.4,140.03,140.64,121962,False
2022-01-26,140.95,140.95,139.8,140.46,138173,False
2022-01-27,140.95,141.45,140.02,140.52,289718,False
2022-01-28,141.0,141.0,139.74,140.08,554581,False
2022-01-31,140.95,141.48,139.51,139.78,568851,False
2022-02-01,139.5,141.0,139.5,140.45,184019,False
2022-02-02,140.7,142.49,140.0,140.92,910491,False
2022-02-03,142.46,142.55,140.65,140.72,264918,False
2022-02-04,141.4,141.4,140.11,140.81,103938,False
2022-02-07,141.45,141.45,139.55,139.96,221399,False
2022-02-08,139.5,141.05,139.5,139.62,365027,False
2022-02-09,139.65,142.0,139.65,140.84,149870,False
2022-02-10,140.11,141.7,140.11,140.93,457438,False
2022-02-11,140.45,143.99,140.45,143.52,1305115,False
2022-02-14,144.0,144.0,142.51,142.98,235106,False
2022-02-15,142.98,143.5,142.0,143.05,360503,False
2022-02-16,142.8,143.95,142.8,143.23,135924,False
2022-02-17,141.16,143.98,141.16,143.23,538022,False
2022-02-18,143.75,145.88,143.0,145.1,601918,False
2022-02-21,143.55,144.9,143.36,143.76,92045,False
2022-02-22,145.0,145.8,142.5,144.94,984313,False
2022-02-23,144.99,150.9,143.49,149.81,5367261,False
2022-02-24,146.1,149.97,146.0,148.52,2188665,False
2022-02-25,149.5,149.99,147.15,148.92,346362,False
2022-02-28,150.67,150.67,147.1,148.29,238610,False
2022-03-01,148.9,150.2,148.0,148.57,640665,False
2022-03-02,149.0,149.0,145.39,146.82,633200,False
2022-03-03,146.82,149.05,146.5,148.03,437945,False
2022-03-04,147.02,149.25,147.02,148.65,527273,False
2022-03-07,147.5,148.8,142.98,144.88,807788,False
2022-03-08,144.0,147.49,143.2,144.21,617410,False
2022-03-09,143.51,147.0,143.51,144.88,396170,False
2022-03-10,145.74,149.0,144.4,148.03,913077,False
2022-03-11,148.99,149.0,145.05,148.87,270839,False
2022-03-14,149.9,149.9,146.0,146.64,791356,False
2022-03-15,146.64,148.0,145.49,145.87,2075466,False
2022-03-16,146.85,148.95,146.01,147.22,1813245,False
2022-03-17,147.22,149.0,147.0,148.15,1261696,False
2022-03-18,142.99,142.99,139.25,140.28,2674075,False
2022-03-21,140.5,140.5,139.0,139.18,1838216,False
2022-03-22,139.98,140.0,138.61,138.99,4242170,False
2022-03-24,139.3,139.3,137.2,137.83,5341546,False
2022-03-25,138.0,138.0,136.5,136.91,782991,False
2022-03-28,137.45,138.5,136.0,137.82,2690686,False
2022-03-29,138.0,139.49,136.8,137.92,738537,False
2022-03-30,138.35,138.49,136.6,136.92,2722792,False
2022-03-31,136.51,137.5,135.95,136.39,2923383,False
2022-04-01,136.75,142.15,136.5,140.65,3714139,False
2022-04-04,136.51,139.99,136.51,138.22,593447,False
2022-04-05,137.01,138.79,136.05,137.56,383815,False
2022-04-06,139.0,139.02,137.06,137.53,686761,False
2022-04-07,137.49,137.49,132.3,133.14,3599394,False
2022-04-08,135.5,139.95,135.5,138.67,1701455,False
2022-04-11,142.0,144.2,142.0,143.36,1358852,False
2022-04-12,142.02,144.2,142.01,143.94,849721,False
2022-04-13,144.94,144.94,141.08,141.49,436996,False
2022-04-14,142.0,142.9,141.15,141.96,265920,False
2022-04-15,142.0,142.5,141.35,142.08,32226,False
2022-04-18,141.11,141.9,139.5,140.51,526241,False
2022-04-19,142.5,142.5,139.15,140.07,522173,False
2022-04-20,140.4,143.29,139.25,141.96,1746384,False
2022-04-21,142.0,142.01,140.51,141.35,452199,False
2022-04-22,141.5,141.95,140.52,141.29,387589,False
2022-04-25,143.74,143.74,140.9,141.22,1055552,False
2022-04-26,142.4,142.4,140.55,141.65,428037,False
2022-04-27,139.8,139.8,136.0,137.18,135520,False
2022-04-28,138.49,138.49,135.5,137.39,130423,False
2022-05-06,137.95,139.0,137.1,137.32,328772,False
2022-05-09,137.0,137.85,132.5,134.7,1266895,False
2022-05-10,135.5,136.67,133.3,134.09,116552,False
2022-05-11,135.9,135.9,129.5,131.55,756369,False
2022-05-12,132.99,133.0,129.0,129.41,902207,False
2022-05-13,130.0,132.95,130.0,132.09,260862,False
2022-05-16,132.0,132.0,129.11,130.72,505504,False
2022-05-17,131.85,132.44,130.62,132.0,682832,False
2022-05-18,132.48,133.99,131.2,131.38,584372,False
2022-05-19,133.79,133.79,131.5,131.96,260252,False
2022-05-20,132.75,133.32,131.54,131.99,526762,False
2022-05-23,132.0,132.01,129.75,130.36,328867,False
2022-05-24,131.99,131.99,125.51,126.5,729695,False
2022-05-25,126.11,127.8,124.71,126.81,619401,False
2022-05-26,126.98,129.29,125.61,128.36,746138,False
2022-05-27,130.0,132.55,129.1,129.64,1076420,False
2022-05-30,129.55,131.9,129.05,130.66,1346872,False
2022-05-31,131.75,131.99,129.99,131.11,4921434,False
2022-06-01,131.69,131.69,127.65,128.2,2525869,False
2022-06-02,128.75,128.75,125.73,126.11,534445,False
2022-06-03,127.97,127.97,125.0,125.67,360443,False
2022-06-06,127.0,127.0,124.3,125.8,400820,False
2022-06-07,125.15,127.4,125.15,125.44,33170,False
2022-06-08,125.99,125.99,124.3,124.96,316051,False
2022-06-09,124.05,126.68,124.05,126.22,609891,False
2022-06-10,126.22,126.98,125.0,126.21,599375,False
2022-06-13,124.5,124.5,118.5,118.99,1766437,False
2022-06-14,117.05,119.4,116.7,117.46,1242817,False
2022-06-15,119.85,119.85,117.5,118.54,379555,False
2022-06-16,118.6,119.7,117.0,118.55,589426,False
2022-06-17,118.9,121.2,118.26,120.12,504517,False
2022-06-20,122.4,122.4,120.6,121.54,611805,False
2022-06-21,119.0,122.89,119.0,120.39,1849402,False
2022-06-22,121.21,122.1,119.81,120.05,1560298,False
2022-06-23,120.9,120.9,119.7,119.97,1533425,False
2022-06-24,119.6,120.18,110.98,112.21,2429070,False
2022-06-27,113.0,115.1,113.0,114.21,639704,False
2022-06-28,112.55,115.25,112.52,113.34,335877,False
2022-06-29,114.89,114.89,110.0,111.57,1199217,False
2022-06-30,111.2,116.0,111.0,113.13,1306573,False
2022-07-01,111.56,115.0,111.56,114.51,293888,False
2022-07-04,114.99,115.38,112.75,113.01,1180326,False
2022-07-05,113.88,113.95,112.51,113.37,118301,False
2022-07-06,113.95,114.0,113.1,113.85,90349,False
2022-07-07,114.0,115.0,113.81,114.0,281957,False
2022-07-13,114.0,115.51,113.1,115.26,710552,False
2022-07-14,115.5,117.7,115.5,117.22,552747,False
2022-07-15,118.4,118.96,115.2,115.46,497759,False
2022-07-18,114.5,115.0,113.51,114.32,219270,False
2022-07-19,114.5,114.9,110.4,111.1,321305,False
2022-07-20,112.0,113.0,111.1,112.0,757517,False
2022-07-21,111.3,113.0,110.75,111.45,186947,False
2022-07-22,112.1,112.1,109.55,110.0,607672,False
2022-07-25,110.0,110.0,107.51,108.06,112520,False
2022-07-26,107.5,109.45,107.1,108.01,1988581,False
2022-07-27,111.95,111.95,107.5,109.16,1725777,False
2022-07-28,111.5,112.0,108.35,111.15,1625167,False
2022-07-29,111.98,111.98,110.0,110.33,3051581,False
