date,open,high,low,close,volume,is_anomaly
2021-09-13,7.85,8.35,7.8,7.89,1781500,False
2021-09-14,8.0,8.89,7.9,8.89,10982500,False
2021-09-15,9.09,9.19,8.16,8.52,5754500,False
2021-09-16,8.3,8.75,8.24,8.37,2200000,False
2021-09-17,8.5,9.29,8.4,8.71,7445000,False
2021-09-20,8.9,8.9,8.1,8.27,2636500,False
2021-09-21,8.47,8.47,7.55,7.79,2838500,False
2021-09-22,7.99,7.99,6.92,7.11,3260500,False
2021-09-23,7.3,7.65,6.85,7.01,2423000,False
2021-09-24,6.87,7.28,6.86,6.97,1116000,False
2021-09-27,7.15,7.15,6.35,6.71,778500,False
2021-09-28,7.11,7.61,6.8,7.46,1768000,False
2021-09-29,7.7,7.7,6.76,6.87,1777000,False
2021-09-30,6.9,7.18,6.65,7.01,1681500,False
2021-10-01,7.14,7.28,6.95,7.05,897500,False
2021-10-04,6.66,7.29,6.5,7.17,947500,False
2021-10-05,7.19,8.17,7.07,8.11,7218500,False
2021-10-06,8.18,8.85,8.03,8.17,8352500,False
2021-10-07,8.3,8.45,7.71,7.76,3248000,False
2021-10-08,7.55,7.94,7.12,7.22,3090500,False
2021-10-11,7.3,7.3,6.6,6.64,899500,False
2021-10-12,6.55,6.7,6.1,6.26,1702000,False
2021-10-13,6.39,6.55,5.9,5.93,1244000,False
2021-10-14,5.76,6.65,5.76,6.43,1633000,False
2021-10-15,6.41,6.7,6.25,6.49,1512500,False
2021-10-18,6.2,6.45,6.0,6.19,286500,False
2021-10-20,6.24,6.57,6.24,6.35,441000,False
2021-10-21,6.49,6.5,6.2,6.28,352500,False
2021-10-22,6.11,6.38,6.05,6.18,153500,False
2021-10-25,6.38,6.5,5.52,6.14,85500,False
2021-10-26,6.4,6.4,6.05,6.07,213500,False
2021-10-27,6.35,6.35,6.08,6.16,269500,False
2021-10-28,6.06,6.25,6.01,6.12,175500,False
2021-10-29,6.06,6.25,5.98,6.13,208000,False
2021-11-01,6.2,6.7,6.19,6.44,1455500,False
2021-11-02,6.5,6.6,6.2,6.22,698500,False
2021-11-03,6.26,6.79,6.26,6.54,3547500,False
2021-11-04,6.8,7.35,6.6,7.16,5227500,False
2021-11-05,7.34,7.35,6.9,6.99,2478500,False
2021-11-08,7.13,7.48,6.86,7.21,3047000,False
2021-11-09,7.3,7.34,6.7,6.8,1323500,False
2021-11-10,6.99,7.29,6.75,6.89,540500,False
2021-11-11,7.01,7.01,6.51,6.58,421500,False
2021-11-12,6.51,6.68,6.32,6.5,341500,False
2021-11-15,6.51,6.64,6.32,6.34,273000,False
2021-11-16,6.49,6.7,6.37,6.59,451500,False
2021-11-17,6.51,6.51,6.36,6.4,328000,False
2021-11-18,6.32,6.74,6.32,6.44,234500,False
2021-11-19,6.4,6.65,6.4,6.51,294500,False
2021-11-22,6.33,6.41,6.03,6.19,282000,False
2021-11-23,6.38,6.38,5.9,6.04,240000,False
2021-11-24,5.87,5.87,5.4,5.65,355500,False
2021-11-25,5.88,5.88,5.61,5.84,190000,False
2021-11-26,5.98,5.98,5.7,5.77,228000,False
2021-11-29,5.51,6.2,5.11,5.94,522000,False
2021-11-30,6.16,6.25,5.78,5.87,293500,False
2021-12-01,5.9,6.45,5.85,6.11,740000,False
2021-12-02,6.25,6.25,5.33,5.5,484500,False
2021-12-03,5.65,5.89,5.31,5.44,394000,False
2021-12-06,5.9,5.9,5.1,5.34,309500,False
2021-12-07,5.48,5.7,5.34,5.48,638000,False
2021-12-08,5.6,5.65,5.4,5.48,162500,False
2021-12-09,5.31,5.44,5.1,5.18,370000,False
2021-12-10,5.12,5.18,4.96,4.98,338500,False
2021-12-13,5.19,5.19,4.65,4.74,236000,False
2021-12-14,4.8,4.89,4.5,4.85,554500,False
2021-12-15,4.95,5.6,4.95,5.47,657000,False
2021-12-16,5.51,5.85,5.12,5.32,527500,False
